SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,17,0.8989,0.0036,7.9360,0.8459,0.0067,94.1176,0.0000,bio4
SRR11487932,17,0.8892,0.0035,7.6213,0.8506,0.0067,94.1176,0.0000,bio4
SRR11487933,17,0.8865,0.0033,8.6443,0.8581,0.0066,94.1176,0.0000,bio4
SRR11487934,17,0.8750,0.0035,8.3581,0.8500,0.0069,94.1176,0.0000,bio4
SRR11487935,17,0.8877,0.0032,7.9070,0.8623,0.0065,94.1176,0.0000,bio4
Average,17,0.8875,0.0034,8.0933,0.8534,0.0067,94.1176,0.0000,bio4
SRR11487931,19,0.7933,0.0060,11.3541,0.7092,0.0104,89.4737,0.0000,jams
SRR11487932,19,0.7891,0.0060,11.6996,0.7085,0.0104,89.4737,0.0000,jams
SRR11487933,19,0.8873,0.0047,10.2239,0.7819,0.0080,94.7368,0.0000,jams
SRR11487934,19,0.7868,0.0060,10.3781,0.7089,0.0103,84.2105,0.0000,jams
SRR11487935,19,0.8905,0.0047,10.1027,0.7826,0.0079,94.7368,0.0000,jams
Average,19,0.8294,0.0055,10.7517,0.7382,0.0094,90.5263,0.0000,jams
SRR11487931,17,0.7712,0.0088,11.4917,0.6257,0.0172,82.3529,0.0000,wgsa
SRR11487932,17,0.7710,0.0088,11.4919,0.6273,0.0170,82.3529,0.0000,wgsa
SRR11487933,17,0.7667,0.0087,11.4658,0.6281,0.0165,82.3529,0.0000,wgsa
SRR11487934,17,0.7688,0.0087,11.4443,0.6304,0.0167,82.3529,0.0000,wgsa
SRR11487935,17,0.7672,0.0087,11.4694,0.6295,0.0165,82.3529,0.0000,wgsa
Average,17,0.7690,0.0087,11.4726,0.6282,0.0168,82.3529,0.0000,wgsa
SRR11487931,18,0.1986,0.0117,11.2223,0.4683,0.0230,83.3333,0.0000,wol
SRR11487932,18,0.1880,0.0119,11.2103,0.4602,0.0234,83.3333,0.0000,wol
SRR11487933,18,0.1866,0.0118,11.2340,0.4593,0.0229,83.3333,0.0000,wol
SRR11487934,18,0.2285,0.0111,9.7604,0.5284,0.0223,88.8889,0.0000,wol
SRR11487935,18,0.1899,0.0117,11.2417,0.4625,0.0228,83.3333,0.0000,wol
Average,18,0.1983,0.0116,10.9337,0.4757,0.0229,84.4444,0.0000,wol
