SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,15,0.9163,0.0036,5.6916,0.8666,0.0064,100.0000,0.0000,bio4
SRR11487932,15,0.9048,0.0035,5.1170,0.8696,0.0065,93.3333,0.0000,bio4
SRR11487933,15,0.9085,0.0032,6.4876,0.8784,0.0062,93.3333,0.0000,bio4
SRR11487934,15,0.8969,0.0032,5.6939,0.8801,0.0065,100.0000,0.0000,bio4
SRR11487935,15,0.9133,0.0030,5.4241,0.8863,0.0059,93.3333,0.0000,bio4
Average,15,0.9080,0.0033,5.6828,0.8762,0.0063,96.0000,0.0000,bio4
SRR11487931,25,0.9125,0.0029,10.8285,0.8201,0.0055,93.7500,0.6694,jams
SRR11487932,27,0.9084,0.0027,13.0198,0.8181,0.0054,100.0000,0.6977,jams
SRR11487933,27,0.9212,0.0025,10.3103,0.8302,0.0049,93.7500,0.5897,jams
SRR11487934,26,0.9127,0.0027,11.0239,0.8231,0.0053,93.7500,0.6320,jams
SRR11487935,29,0.9268,0.0023,11.7006,0.8318,0.0046,93.7500,0.6166,jams
Average,27,0.9163,0.0026,11.3766,0.8247,0.0051,95.0000,0.6411,jams
SRR11487931,427,0.9199,0.0002,37.2220,0.7955,0.0015,100.0000,4.6483,wgsa
SRR11487932,444,0.9185,0.0002,38.0691,0.7936,0.0014,100.0000,4.7727,wgsa
SRR11487933,437,0.9269,0.0002,37.0029,0.8017,0.0014,100.0000,4.8449,wgsa
SRR11487934,414,0.9241,0.0002,36.9070,0.7999,0.0014,100.0000,4.7826,wgsa
SRR11487935,410,0.9296,0.0002,35.8737,0.8048,0.0014,100.0000,4.9640,wgsa
Average,426,0.9238,0.0002,37.0150,0.7991,0.0014,100.0000,4.8025,wgsa
SRR11487931,293,0.4880,0.0005,39.9833,0.5973,0.0039,100.0000,12.5540,wol
SRR11487932,290,0.4706,0.0006,39.9660,0.5887,0.0040,100.0000,12.7800,wol
SRR11487933,295,0.4796,0.0005,40.0556,0.5961,0.0039,100.0000,12.3991,wol
SRR11487934,280,0.4935,0.0006,38.0269,0.6025,0.0039,100.0000,12.2290,wol
SRR11487935,275,0.4860,0.0006,36.3362,0.6011,0.0040,100.0000,12.2742,wol
Average,287,0.4835,0.0006,38.8736,0.5971,0.0039,100.0000,12.4473,wol
