species,SRR11487932,tax_id
AKKERMANSIA_MUCINIPHILA,0.001057,239935
ALISTIPES_FINEGOLDII,0.00022329999999999998,214856
ANAEROSTIPES_HADRUS,0.0114646,649756
BACTEROIDES_THETAIOTAOMICRON,0.0805298,818
BACTEROIDES_UNIFORMIS,0.0019511,820
BIFIDOBACTERIUM_LONGUM,0.3888469,216816
BLAUTIA_WEXLERAE,0.0001686,418240
CLOSTRIDIUM_BUTYRICUM,0.0116334,1492
COLLINSELLA_AEROFACIENS,0.0195211,74426
ESCHERICHIA_COLI,0.16588799999999998,562
EUBACTERIUM_HALLII,0.0093881,39488
FAECALIBACTERIUM_PRAUSNITZII,0.0004064,853
LACTOBACILLUS_PARAGASSERI,0.0,2107999
PARABACTEROIDES_DISTASONIS,0.13470079999999998,823
PREVOTELLA_COPRI,0.1318842,165179
PREVOTELLA_MELANINOGENICA,0.0281209,28132
ROSEBURIA_HOMINIS,0.013682399999999999,301301
ROSEBURIA_INTESTINALIS,0.0005335,166486
