species,SRR11487931,tax_id
AKKERMANSIA_MUCINIPHILA,0.0015837000000000002,239935
ALISTIPES_FINEGOLDII,0.0105852,214856
ANAEROBUTYRICUM_HALLII,0.0064684,39488
ANAEROSTIPES_HADRUS,0.011549799999999999,649756
BACTEROIDES_THETAIOTAOMICRON,0.07016359999999999,818
BACTEROIDES_UNIFORMIS,0.0018506,820
BIFIDOBACTERIUM_LONGUM,0.5082115,216816
BLAUTIA_WEXLERAE,0.0005024,418240
CLOSTRIDIUM_BUTYRICUM,0.019614,1492
COLLINSELLA_AEROFACIENS,0.0094181,74426
ESCHERICHIA_COLI,0.1262839,562
FAECALIBACTERIUM_PRAUSNITZII,0.000795,853
LACTOBACILLUS_GASSERI,0.0005855,1596
PARABACTEROIDES_DISTASONIS,0.1022762,823
PREVOTELLA_COPRI,0.0941283,165179
PREVOTELLA_MELANINOGENICA,0.0226308,28132
ROSEBURIA_HOMINIS,0.011543600000000001,301301
ROSEBURIA_INTESTINALIS,0.0006296,166486
RUMINOCOCCUS_GAUVREAUII,0.0011798,438033
