genus,RA,genus_lineage
BIFIDOBACTERIUM,0.4941021,1678
ESCHERICHIA,0.1259323,561
PREVOTELLA,0.12289639999999999,838
PARABACTEROIDES,0.1046223999999999,375288
BACTEROIDES,0.073322,816
CLOSTRIDIUM,0.0233635999999999,1485
ANAEROSTIPES,0.0127074,207244
ROSEBURIA,0.0125592,841
ALISTIPES,0.0100767999999999,239759
ANAEROBUTYRICUM,0.0084216,2569097
COLLINSELLA,0.0074717,102106
AKKERMANSIA,0.0014717,239934
RUMINOCOCCUS,0.0013125,1263
LACTOBACILLUS,0.0006843,1578
FAECALIBACTERIUM,0.0006754,216851
BLAUTIA,0.0003805,572511
