Species,RA
Akkermansia muciniphila,0.0018
Alistipes finegoldii,0.013
Anaerostipes hadrus,0.0175
Bacteroides thetaiotaomicron,0.0772
Bacteroides uniformis,0.0105
Bifidobacterium longum,0.3702
Blautia wexlerae,0.0011
Clostridium butyricum,0.1059
Collinsella aerofaciens,0.0199
Escherichia coli,0.0933
Eubacterium hallii,0.0148
Faecalibacterium prausnitzii,0.0016
Lactobacillus gasseri,0.0026
Parabacteroides distasonis,0.101
Prevotella copri,0.1384
Prevotella melaninogenica,0.0153
Roseburia hominis,0.0135
Roseburia intestinalis,0.0011
Ruminococcus gauvreauii,0.0012
