species,SRR11487932,tax_id
BIFIDOBACTERIUM_LONGUM,0.40828418343163314,216816
ESCHERICHIA_COLI,0.17335565328869343,562
PARABACTEROIDES_DISTASONIS,0.1259257481485037,823
BACTEROIDES_THETAIOTAOMICRON,0.10081679836640327,818
PREVOTELLA_COPRI,0.09467981064037873,165179
PREVOTELLA_MELANINOGENICA,0.016828966342067316,28132
CLOSTRIDIUM_BUTYRICUM,0.01407997184005632,1492
COLLINSELLA_AEROFACIENS,0.010267979464041071,74426
ALISTIPES_FINEGOLDII,0.00723498553002894,214856
ROSEBURIA_HOMINIS,0.00693998612002776,301301
ANAEROSTIPES_HADRUS,0.005850988298023404,649756
ANAEROBUTYRICUM_HALLII,0.00398499203001594,39488
UNCLASSIFIED,0.0024969950060099878,12908
PARABACTEROIDES_SP._ZJ-118,0.000323999352001296,2709398
BACTEROIDES_OVATUS,0.000267999464001072,28116
CLOSTRIDIUM_SACCHAROBUTYLICUM,0.000201999596000808,169679
BACTEROIDES_FAECIS,0.000121999756000488,674529
BACTEROIDES_CELLULOSILYTICUS,0.000117999764000472,246787
BACTEROIDES_XYLANISOLVENS,0.000106999786000428,371601
AKKERMANSIA_MUCINIPHILA,0.000101999796000408,239935
LACTOBACILLUS_PARAGASSERI,0.000101999796000408,2107999
BACTEROIDES_BOUCHESDURHONENSIS,8.8999822000356e-05,1841855
CLOSTRIDIUM_PUNICEUM,8.0999838000324e-05,29367
RUMINOCOCCUS_GAUVREAUII,6.2999874000252e-05,438033
ROSEBURIA_INTESTINALIS,4.5999908000184e-05,166486
CLOSTRIDIUM_SP._SM-530-WT-3G,4.1999916000168e-05,2725303
FAECALIBACTERIUM_PRAUSNITZII,3.8999922000156e-05,853
BLAUTIA_WEXLERAE,3.5999928000144e-05,418240
BIFIDOBACTERIUM_BREVE,3.5999928000144e-05,1685
BACTEROIDES_UNIFORMIS,3.4999930000139996e-05,820
BACTEROIDES_SP._CBA7301,3.1999936000128e-05,2715212
CLOSTRIDIUM_BEIJERINCKII,2.7999944000112e-05,1520
ROSEBURIA_INULINIVORANS,2.7999944000112e-05,360807
SHIGELLA_SONNEI,2.7999944000112e-05,624
CLOSTRIDIUM_CHAUVOEI,2.6999946000108e-05,46867
PARABACTEROIDES_SP._D26,2.5999948000103998e-05,658662
CLOSTRIDIUM_SARDINIENSE,2.5999948000103998e-05,29369
CLOSTRIDIUM_SP._C2-6-12,2.1999956000088e-05,2698832
ANAEROSTIPES_SP._992A,1.7999964000072e-05,1261637
ALISTIPES_SP._AF14-19,1.6999966000068e-05,2292910
CLOSTRIDIUM_BOTULINUM,1.3999972000056e-05,1491
CLOSTRIDIUM_SP._AF36-18BH,9.99998000004e-06,2293014
BLAUTIA_SP._AF19-10LB,8.999982000036e-06,2292961
CLOSTRIDIUM_SP._D43T1-170807-H7,8.999982000036e-06,2787140
DOREA_LONGICATENA,8.999982000036e-06,88431
ALISTIPES_SHAHII,6.999986000028e-06,328814
PREVOTELLA_HISTICOLA,6.999986000028e-06,470565
LACHNOANAEROBACULUM_SP._OBRC5-5,6.999986000028e-06,936595
CLOSTRIDIUM_NEONATALE,5.999988000024e-06,137838
CLOSTRIDIUM_BARATII,5.999988000024e-06,1561
CLOSTRIDIUM_THERMOBUTYRICUM,5.999988000024e-06,29372
CLOSTRIDIUM_SP._IBUN22A,5.999988000024e-06,1523155
ANAEROTRUNCUS_RUBIINFANTIS,5.999988000024e-06,1720200
BACTEROIDES_RETICULOTERMITIS,5.999988000024e-06,1133319
CLOSTRIDIUM_TYROBUTYRICUM,4.99999000002e-06,1519
COPROCOCCUS_COMES,4.99999000002e-06,410072
