genus,SRR11487931,tax_id
BIFIDOBACTERIUM,0.41268411121122156,1678
ESCHERICHIA,0.17394878235852348,561
PARABACTEROIDES,0.12638611529719293,375288
PREVOTELLA,0.11353720523956332,838
BACTEROIDES,0.109959230285388,816
CLOSTRIDIUM,0.02176884761806667,1485
COLLINSELLA,0.010606925751519738,102106
ALISTIPES,0.007782945519381365,239759
ROSEBURIA,0.007281949026356815,841
ANAEROSTIPES,0.006174956775302573,207244
ANAEROBUTYRICUM,0.004103971272201094,2569097
UNCLASSIFIED,0.0013719903960672274,12908
SALMONELLA,0.0002409983130118089,590
LACTOBACILLUS,0.00017399878200852597,1578
AKKERMANSIA,9.399934200460596e-05,239934
BLAUTIA,7.099950300347897e-05,572511
RUMINOCOCCUS,2.799980400137199e-05,1263
COPROCOCCUS,2.5999818001273992e-05,33042
FAECALIBACTERIUM,2.5999818001273992e-05,216851
PHOCAEICOLA,2.199984600107799e-05,909656
PSEUDOFLAVONIFRACTOR,1.0999923000538997e-05,1017280
SHIGELLA,8.999937000440997e-06,620
INTESTINIMONAS,7.999944000391996e-06,1392389
GEMMIGER,6.9999510003429975e-06,204475
MEGASPHAERA,5.999958000293998e-06,906
AGATHOBACULUM,4.999965000244998e-06,2048137
ANAEROTRUNCUS,4.999965000244998e-06,244127
FAECALICATENA,2.999979000146999e-06,2005359
LACHNOSPIRA,0.0,28050
ENTEROBACTER,0.0,547
BUTYRICICOCCUS,0.0,580596
CLOSTRIDIOIDES,0.0,1870884
COLIDEXTRIBACTER,0.0,1980681
PSEUDORHODOFERAX,0.0,747294
DOREA,0.0,189330
ENTEROCLOSTER,0.0,2719313
LACTIPLANTIBACILLUS,0.0,2767842
EXTIBACTER,0.0,1918452
ODORIBACTER,0.0,283168
MASSOSPORA,0.0,348616
LONGICATENA,0.0,1918536
LIMOSILACTOBACILLUS,0.0,2742598
HUNGATELLA,0.0,1649459
FLAVONIFRACTOR,0.0,946234
