species,SRR11487931,tax_id
BIFIDOBACTERIUM_LONGUM,0.4117041180711735,216816.0
ESCHERICHIA_COLI,0.17285878998847007,562.0
PARABACTEROIDES_DISTASONIS,0.12397613216707483,823.0
BACTEROIDES_THETAIOTAOMICRON,0.10174728776898562,818.0
PREVOTELLA_COPRI,0.09595432831970176,165179.0
PREVOTELLA_MELANINOGENICA,0.01692388153282927,28132.0
CLOSTRIDIUM_BUTYRICUM,0.013736903841673108,1492.0
COLLINSELLA_AEROFACIENS,0.010390927263509155,74426.0
ROSEBURIA_HOMINIS,0.0070739504823466234,301301.0
ANAEROSTIPES_HADRUS,0.006158956887301789,649756.0
ALISTIPES_FINEGOLDII,0.006145956978301152,214856.0
ANAEROBUTYRICUM_HALLII,0.004038971727197909,39488.0
UNCLASSIFIED,0.0013719903960672274,12908.0
BACTEROIDES_OVATUS,0.0005309962830260188,28116.0
PARABACTEROIDES_SP._ZJ-118,0.00038299731901876685,2709398.0
PARABACTEROIDES_SP._AGMB00274,0.0002899979700142099,2924040.0
SALMONELLA_ENTERICA,0.0002409983130118089,28901.0
BACTEROIDES_CAECIMURIS,0.00022999839001126992,1796613.0
BACTEROIDES_ACIDIFACIENS,0.00020799854401019194,85831.0
CLOSTRIDIUM_SACCHAROBUTYLICUM,0.00019299864900945693,169679.0
BACTEROIDES_XYLANISOLVENS,0.00018899867700926094,371601.0
BACTEROIDES_UNIFORMIS,0.00018899867700926094,820.0
CLOSTRIDIUM_SP._SM-530-WT-3G,0.00013499905500661494,2725303.0
CLOSTRIDIUM_PUNICEUM,0.00010599925800519396,29367.0
LACTOBACILLUS_PARAGASSERI,9.799931400480197e-05,2107999.0
AKKERMANSIA_MUCINIPHILA,9.199935600450796e-05,239935.0
BACTEROIDES_EGGERTHII,6.699953100328298e-05,28111.0
BACTEROIDES_FAECIS,5.299962900259698e-05,674529.0
CLOSTRIDIUM_WEIZHOUENSE,5.299962900259698e-05,2859781.0
CLOSTRIDIUM_ULIGINOSUM,4.6999671002302985e-05,119641.0
BACTEROIDES_SP._CBA7301,4.099971300200899e-05,2715212.0
ROSEBURIA_INTESTINALIS,3.9999720001959984e-05,166486.0
CLOSTRIDIUM_SP._C2-6-12,3.399976200166599e-05,2698832.0
CLOSTRIDIUM_SARDINIENSE,3.399976200166599e-05,29369.0
BLAUTIA_WEXLERAE,3.099978300151899e-05,418240.0
ROSEBURIA_INULINIVORANS,2.9999790001469988e-05,360807.0
RUMINOCOCCUS_GAUVREAUII,2.799980400137199e-05,438033.0
CLOSTRIDIUM_CHAUVOEI,2.799980400137199e-05,46867.0
COPROCOCCUS_COMES,2.1999846001077993e-05,410072.0
CLOSTRIDIUM_SP._3-3,2.0999853001028993e-05,2070757.0
CLOSTRIDIUM_SARTAGOFORME,1.9999860000979992e-05,84031.0
PHOCAEICOLA_MASSILIENSIS,1.9999860000979992e-05,204516.0
CLOSTRIDIUM_GASIGENES,1.8999867000930995e-05,94869.0
ALISTIPES_SHAHII,1.3999902000685995e-05,328814.0
CLOSTRIDIUM_SP._AF36-18BH,1.2999909000636996e-05,2293014.0
CLOSTRIDIUM_SP._1001271B-151109-B4,1.2999909000636996e-05,2787148.0
CLOSTRIDIUM_ARGENTINENSE,1.2999909000636996e-05,29341.0
PSEUDOFLAVONIFRACTOR_PHOCAEENSIS,1.0999923000538997e-05,1870988.0
CLOSTRIDIUM_MAGNUM,1.0999923000538997e-05,33954.0
CLOSTRIDIUM_CHROMIIREDUCENS,9.999930000489996e-06,225345.0
CLOSTRIDIUM_SP._NSJ-6,9.999930000489996e-06,2763036.0
ALISTIPES_SP._AF14-19,9.999930000489996e-06,2292910.0
BACTEROIDES_SP._GM023,9.999930000489996e-06,2723058.0
CLOSTRIDIUM_GALLINARUM,9.999930000489996e-06,2762246.0
SHIGELLA_SONNEI,8.999937000440997e-06,624.0
PARABACTEROIDES_MERDAE,8.999937000440997e-06,46503.0
BLAUTIA_SP._AN81,8.999937000440997e-06,1965659.0
CLOSTRIDIUM_SP._YIM-B02555,7.999944000391996e-06,2911968.0
INTESTINIMONAS_MASSILIENSIS,7.999944000391996e-06,1673721.0
CLOSTRIDIUM_SACCHAROPERBUTYLACETONICUM,6.9999510003429975e-06,36745.0
GEMMIGER_FORMICILIS,6.9999510003429975e-06,745368.0
ALISTIPES_ONDERDONKII,6.9999510003429975e-06,328813.0
ROSEBURIA_SP._BX1005,6.9999510003429975e-06,2763064.0
MEGASPHAERA_STANTONII,5.999958000293998e-06,2144175.0
CLOSTRIDIUM_THERMOBUTYRICUM,5.999958000293998e-06,29372.0
BLAUTIA_SP._SC05B48,5.999958000293998e-06,2479767.0
FAECALIBACTERIUM_PRAUSNITZII,5.999958000293998e-06,853.0
ALISTIPES_SP._D31T1-170403-E11,5.999958000293998e-06,2787128.0
ANAEROTRUNCUS_COLIHOMINIS,4.999965000244998e-06,169435.0
CLOSTRIDIUM_SP._IBUN22A,4.999965000244998e-06,1523155.0
BLAUTIA_FAECIS,4.999965000244998e-06,871665.0
PREVOTELLA_SCOPOS,3.999972000195998e-06,589437.0
COLLINSELLA_SP._TF05-9AC,3.999972000195998e-06,2292330.0
CLOSTRIDIUM_SP._MSJ-8,3.999972000195998e-06,2841510.0
CLOSTRIDIUM_PARAPUTRIFICUM,3.999972000195998e-06,29363.0
CLOSTRIDIUM_VINCENTII,3.999972000195998e-06,52704.0
ALISTIPES_SENEGALENSIS,3.999972000195998e-06,1288121.0
COPROCOCCUS_SP._ART55-1,3.999972000195998e-06,751585.0
BACTEROIDES_FRAGILIS,3.999972000195998e-06,817.0
LACTOBACILLUS_GASSERI,3.999972000195998e-06,1596.0
PREVOTELLA_SP._ICM33,2.999979000146999e-06,1161412.0
CLOSTRIDIUM_BEIJERINCKII,2.999979000146999e-06,1520.0
ROSEBURIA_FAECIS,2.999979000146999e-06,301302.0
ALISTIPES_SP._HGB5,2.999979000146999e-06,908612.0
BLAUTIA_SP._AF19-10LB,2.999979000146999e-06,2292961.0
COLLINSELLA_SP._AM17-1,2.999979000146999e-06,2292027.0
CLOSTRIDIUM_SP._AM27-28,2.999979000146999e-06,2293025.0
ALISTIPES_TIMONENSIS,2.999979000146999e-06,1465754.0
ROSEBURIA_SP._AM16-25,1.999986000097999e-06,2292065.0
LACTOBACILLUS_HELVETICUS,1.999986000097999e-06,1587.0
FAECALIBACTERIUM_SP._BCRC-81149,1.999986000097999e-06,2315463.0
BACTEROIDES_HELCOGENES,9.999930000489996e-07,290053.0
MASSOSPORA_PLATYPEDIAE,0.0,2213018.0
ODORIBACTER_LANEUS,0.0,626933.0
LONGICATENA_CAECIMURIS,0.0,1796635.0
