Species,RA,TAX_ID
Bifidobacterium longum,0.38263488897482345,216816
Bacteroides thetaiotaomicron,0.09796518692959447,818
Parabacteroides distasonis,0.07957632404721399,823
Prevotella copri,0.06998710582680144,165179
Escherichia coli,0.05326119620094797,562
Clostridium butyricum,0.029838577402751955,1492
unclassified,0.028503665321378588,12908
Prevotella melaninogenica,0.017660946698097958,28132
Roseburia hominis,0.010747538793263423,301301
Alistipes finegoldii,0.010331501171490108,214856
Collinsella aerofaciens,0.008876866033491328,74426
Anaerostipes hadrus,0.00815912630902197,649756
Anaerobutyricum hallii,0.008059157556739749,39488
Bacteroides uniformis,0.002044869807162073,820
Akkermansia muciniphila,0.0013061785477832678,239935
Faecalibacterium prausnitzii,0.0010559573594361522,853
Roseburia intestinalis,0.0010068709062197325,166486
Escherichia albertii,0.0006081931276571036,208962
Escherichia marmotae,0.0004699129972547503,1499973
Escherichia fergusonii,0.00046931438197162325,564
Salmonella enterica,0.00046691992083911497,28901
Escherichia sp. E4742,0.0003813179353519439,2044467
Lactobacillus paragasseri,0.0003759303978038002,2107999
Bifidobacterium breve,0.00036754978384002127,1685
Staphylococcus aureus,0.0002873353359009938,1280
Shigella dysenteriae,0.00022029042419076194,622
Shigella flexneri,0.00021550150192574537,623
Shigella boydii,0.0001987402739981874,621
Klebsiella pneumoniae,0.00015264689719740298,573
Enterobacter cloacae,0.000144266283233624,550
Citrobacter freundii,0.00014127320681798863,546
Butyricimonas faecalis,0.00013947736096860743,2093856
Phocaeicola vulgatus,0.00013049813172170136,821
Leptolyngbya sp. PCC 7376,0.00011912444134228702,111781
Blautia sp. SC05B48,0.00011732859549290581,2479767
Lactobacillus phage phiadh,0.00011613136492665167,12417
Blautia obeum,0.0001155327496435246,40520
Bacteroides xylanisolvens,0.00011313828851101632,371601
Phocaeicola dorei,0.00011253967322788925,357276
Prevotella dentalis,0.00011014521209538097,52227
Prevotella ruminicola,8.979229246906056e-05,839
Prevotella denticola,8.201029378840865e-05,28129
Enterobacter hormaechei,7.90172173727733e-05,158836
Citrobacter sp. RHB25-C09,7.841860208964623e-05,2742624
Bifidobacterium bifidum,7.243244925837552e-05,1681
Citrobacter rodentium,7.123521869212138e-05,67825
Citrobacter sp. R56,6.764352699335896e-05,1573676
Klebsiella variicola,6.704491171023189e-05,244366
Bacteroides fragilis,6.405183529459654e-05,817
Parabacteroides goldsteinii,6.105875887896119e-05,328812
Eubacterium limosum,5.7467067180198765e-05,1736
Cedecea neteri,5.7467067180198765e-05,158822
