SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487937,16,0.6688,0.0252,5.7856,0.7986,0.0302,93.7500,0.0000,bio3
SRR11487938,16,0.6931,0.0249,5.3444,0.8009,0.0298,93.7500,0.0000,bio3
SRR11487939,16,0.6641,0.0248,7.1070,0.8019,0.0306,93.7500,0.0000,bio3
SRR11487940,16,0.6969,0.0237,5.9403,0.8102,0.0292,93.7500,0.0000,bio3
SRR11487941,16,0.6935,0.0246,7.0301,0.8033,0.0302,93.7500,0.0000,bio3
Average,16,0.6833,0.0246,6.2415,0.8030,0.0300,93.7500,0.0000,bio3
SRR11487937,17,0.5870,0.0227,3.0946,0.8074,0.0311,93.7500,3.7288,biobakery4
SRR11487938,17,0.5870,0.0234,4.3626,0.8015,0.0322,93.7500,3.5307,biobakery4
SRR11487939,17,0.5774,0.0232,2.7631,0.8032,0.0324,93.7500,3.8263,biobakery4
SRR11487940,17,0.5862,0.0226,2.5490,0.8076,0.0313,93.7500,3.8274,biobakery4
SRR11487941,17,0.5796,0.0228,4.0062,0.8060,0.0319,93.7500,3.9191,biobakery4
Average,17,0.5835,0.0229,3.3551,0.8051,0.0318,93.7500,3.7665,biobakery4
SRR11487937,25,0.6853,0.0172,11.4756,0.7854,0.0248,100.0000,3.8845,jams
SRR11487938,24,0.6760,0.0178,10.6507,0.7867,0.0253,100.0000,3.6807,jams
SRR11487939,27,0.7083,0.0158,13.1183,0.7862,0.0241,93.7500,3.9120,jams
SRR11487940,24,0.6800,0.0176,10.9265,0.7886,0.0252,100.0000,3.6508,jams
SRR11487941,24,0.6769,0.0178,10.2214,0.7865,0.0254,100.0000,3.8498,jams
Average,25,0.6853,0.0172,11.2785,0.7867,0.0250,98.7500,3.7956,jams
SRR11487937,23,0.6584,0.0187,9.3370,0.7844,0.0259,100.0000,3.9517,jams202212
SRR11487938,26,0.6944,0.0164,11.8921,0.7864,0.0244,93.7500,3.7108,jams202212
SRR11487939,28,0.7122,0.0154,11.2728,0.7851,0.0236,93.7500,3.9303,jams202212
SRR11487940,22,0.6501,0.0192,11.0501,0.7888,0.0263,100.0000,3.6702,jams202212
SRR11487941,24,0.6739,0.0178,10.1416,0.7859,0.0254,93.7500,3.8829,jams202212
Average,25,0.6778,0.0175,10.7387,0.7861,0.0251,96.2500,3.8292,jams202212
SRR11487937,48,0.6178,0.0124,12.9981,0.7017,0.0244,100.0000,14.3493,wgsa
SRR11487938,47,0.6183,0.0126,12.8668,0.7030,0.0247,100.0000,14.0208,wgsa
SRR11487939,48,0.6172,0.0125,14.9361,0.7007,0.0246,100.0000,14.2693,wgsa
SRR11487940,47,0.6187,0.0126,14.8738,0.7028,0.0246,100.0000,14.2064,wgsa
SRR11487941,48,0.6184,0.0124,14.5869,0.7013,0.0245,100.0000,14.2590,wgsa
Average,48,0.6181,0.0125,14.0523,0.7019,0.0245,100.0000,14.2209,wgsa
SRR11487937,77,0.5972,0.0076,14.0666,0.7090,0.0195,100.0000,7.0799,wol
SRR11487938,77,0.5910,0.0077,14.9303,0.7049,0.0197,100.0000,7.1348,wol
SRR11487939,76,0.5970,0.0076,16.3400,0.7107,0.0196,100.0000,7.0896,wol
SRR11487940,78,0.5934,0.0076,13.5947,0.7050,0.0195,100.0000,7.1597,wol
SRR11487941,78,0.5957,0.0075,15.8314,0.7075,0.0194,100.0000,7.1605,wol
Average,77,0.5949,0.0076,14.9526,0.7074,0.0195,100.0000,7.1249,wol
