SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487937,18,0.2996,0.0047,5.1875,0.7896,0.0063,100.0000,0.0000,bio4
SRR11487938,18,0.3547,0.0045,4.7066,0.7951,0.0062,100.0000,0.0000,bio4
SRR11487939,18,0.2928,0.0046,5.9450,0.7933,0.0063,100.0000,0.0000,bio4
SRR11487940,18,0.3277,0.0044,5.0307,0.8012,0.0061,100.0000,0.0000,bio4
SRR11487941,18,0.3332,0.0045,5.8823,0.7954,0.0063,100.0000,0.0000,bio4
Average,18,0.3216,0.0045,5.3504,0.7949,0.0062,100.0000,0.0000,bio4
SRR11487937,19,0.3708,0.0043,3.6003,0.7947,0.0060,100.0000,0.0000,jams
SRR11487938,19,0.3682,0.0044,3.6950,0.7941,0.0061,100.0000,0.0000,jams
SRR11487939,19,0.4162,0.0042,3.9369,0.7974,0.0060,100.0000,0.0000,jams
SRR11487940,19,0.3834,0.0043,3.4885,0.7968,0.0060,100.0000,0.0000,jams
SRR11487941,19,0.3887,0.0043,3.6944,0.7964,0.0060,100.0000,0.0000,jams
Average,19,0.3854,0.0043,3.6830,0.7959,0.0060,100.0000,0.0000,jams
SRR11487937,17,0.3833,0.0051,4.6362,0.7822,0.0074,100.0000,0.0000,wgsa
SRR11487938,17,0.3924,0.0051,4.7186,0.7819,0.0075,100.0000,0.0000,wgsa
SRR11487939,17,0.3983,0.0051,4.6751,0.7817,0.0075,100.0000,0.0000,wgsa
SRR11487940,17,0.3953,0.0051,4.6599,0.7834,0.0074,100.0000,0.0000,wgsa
SRR11487941,17,0.3961,0.0051,4.6848,0.7831,0.0074,100.0000,0.0000,wgsa
Average,17,0.3931,0.0051,4.6749,0.7825,0.0074,100.0000,0.0000,wgsa
SRR11487937,18,0.3474,0.0073,5.0119,0.6711,0.0107,94.4444,0.0000,wol
SRR11487938,18,0.3292,0.0073,5.0180,0.6718,0.0108,94.4444,0.0000,wol
SRR11487939,18,0.3437,0.0073,5.0346,0.6708,0.0107,94.4444,0.0000,wol
SRR11487940,18,0.3311,0.0072,5.0047,0.6739,0.0107,94.4444,0.0000,wol
SRR11487941,18,0.3330,0.0072,5.0042,0.6744,0.0107,94.4444,0.0000,wol
Average,18,0.3369,0.0073,5.0147,0.6724,0.0107,94.4444,0.0000,wol
