SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487937,15,0.6595,0.0047,4.5249,0.8220,0.0058,100.0000,0.0000,bio4
SRR11487938,15,0.6856,0.0047,4.1118,0.8243,0.0057,100.0000,0.0000,bio4
SRR11487939,15,0.6543,0.0046,5.3975,0.8253,0.0059,100.0000,0.0000,bio4
SRR11487940,15,0.6903,0.0044,4.4374,0.8336,0.0055,100.0000,0.0000,bio4
SRR11487941,15,0.6856,0.0046,5.3530,0.8267,0.0058,100.0000,0.0000,bio4
Average,15,0.6751,0.0046,4.7649,0.8264,0.0057,100.0000,0.0000,bio4
SRR11487937,36,0.7481,0.0024,14.1411,0.7853,0.0041,100.0000,3.9229,jams
SRR11487938,33,0.7383,0.0026,13.2931,0.7860,0.0043,100.0000,3.7227,jams
SRR11487939,42,0.7659,0.0020,13.8804,0.7875,0.0038,93.7500,3.9677,jams
SRR11487940,37,0.7552,0.0023,14.9164,0.7878,0.0041,100.0000,3.7017,jams
SRR11487941,34,0.7425,0.0025,13.2360,0.7863,0.0043,100.0000,3.9034,jams
Average,36,0.7500,0.0024,13.8934,0.7866,0.0041,98.7500,3.8437,jams
SRR11487937,172,0.6816,0.0007,24.0477,0.7009,0.0026,100.0000,14.6431,wgsa
SRR11487938,183,0.6847,0.0007,24.3332,0.7022,0.0025,100.0000,14.3302,wgsa
SRR11487939,174,0.6806,0.0007,23.7071,0.6997,0.0026,100.0000,14.5697,wgsa
SRR11487940,170,0.6838,0.0007,24.0438,0.7020,0.0026,100.0000,14.4936,wgsa
SRR11487941,173,0.6817,0.0007,23.8974,0.7004,0.0026,100.0000,14.5552,wgsa
Average,174,0.6825,0.0007,24.0059,0.7011,0.0026,100.0000,14.5183,wgsa
SRR11487937,166,0.6320,0.0007,22.7049,0.7078,0.0026,100.0000,7.3778,wol
SRR11487938,171,0.6269,0.0007,23.2651,0.7033,0.0026,100.0000,7.4397,wol
SRR11487939,163,0.6321,0.0007,22.3925,0.7091,0.0027,100.0000,7.3925,wol
SRR11487940,169,0.6280,0.0007,23.1877,0.7036,0.0026,100.0000,7.4452,wol
SRR11487941,170,0.6303,0.0007,23.0889,0.7060,0.0026,100.0000,7.4534,wol
Average,168,0.6299,0.0007,22.9278,0.7060,0.0026,100.0000,7.4217,wol
