SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487937,19,0.2750,0.0046,5.9654,0.7820,0.0062,100.0000,3.9799,bio4
SRR11487938,19,0.3349,0.0044,5.4644,0.7892,0.0060,100.0000,3.4926,bio4
SRR11487939,19,0.2702,0.0045,6.6548,0.7857,0.0062,100.0000,3.9371,bio4
SRR11487940,19,0.2963,0.0043,5.8315,0.7928,0.0061,100.0000,4.0588,bio4
SRR11487941,19,0.3061,0.0044,6.5860,0.7880,0.0061,100.0000,3.8522,bio4
Average,19,0.2965,0.0045,6.1004,0.7876,0.0061,100.0000,3.8641,bio4
SRR11487937,102,0.7518,0.0008,18.1398,0.7861,0.0025,100.0000,2.7689,jams
SRR11487938,91,0.7453,0.0009,18.0207,0.7860,0.0027,100.0000,2.6265,jams
SRR11487939,115,0.7524,0.0007,18.4371,0.7896,0.0024,100.0000,2.7115,jams
SRR11487940,91,0.7514,0.0009,17.1920,0.7891,0.0027,100.0000,2.6046,jams
SRR11487941,106,0.7541,0.0008,18.3704,0.7887,0.0025,100.0000,2.7112,jams
Average,101,0.7510,0.0008,18.0320,0.7879,0.0026,100.0000,2.6845,jams
SRR11487937,233,0.6505,0.0005,26.4373,0.7307,0.0022,100.0000,14.7047,wgsa
SRR11487938,221,0.6521,0.0005,25.8186,0.7311,0.0022,100.0000,14.4095,wgsa
SRR11487939,239,0.6528,0.0004,26.2756,0.7311,0.0021,100.0000,14.5567,wgsa
SRR11487940,212,0.6525,0.0005,25.5926,0.7316,0.0023,100.0000,14.5672,wgsa
SRR11487941,235,0.6535,0.0005,26.4268,0.7323,0.0022,100.0000,14.4634,wgsa
Average,228,0.6523,0.0005,26.1102,0.7314,0.0022,100.0000,14.5403,wgsa
SRR11487937,513,0.5341,0.0003,37.2640,0.6019,0.0015,100.0000,27.8243,wol
SRR11487938,513,0.5282,0.0003,37.3843,0.5964,0.0015,100.0000,28.3314,wol
SRR11487939,502,0.5355,0.0003,36.7337,0.6036,0.0015,100.0000,27.8255,wol
SRR11487940,514,0.5317,0.0003,37.3986,0.5967,0.0015,100.0000,28.4142,wol
SRR11487941,515,0.5327,0.0003,37.3882,0.5981,0.0015,100.0000,28.3472,wol
Average,511,0.5324,0.0003,37.2338,0.5993,0.0015,100.0000,28.1485,wol
