genus,RA,genus_lineage
BIFIDOBACTERIUM,0.2105125,1678
PREVOTELLA,0.1292382999999999,838
ROSEBURIA,0.0819822,841
BACTEROIDES,0.0792689999999999,816
AKKERMANSIA,0.0716489,239934
ALISTIPES,0.0488923,239759
RUMINOCOCCUS,0.0440033,1263
ANAEROSTIPES,0.0437516,207244
PARABACTEROIDES,0.0421563,375288
ESCHERICHIA,0.0420950999999999,561
COLLINSELLA,0.0409724999999999,102106
FAECALIBACTERIUM,0.0409145,216851
LACTOBACILLUS,0.0399543,1578
BLAUTIA,0.0375691,572511
ANAEROBUTYRICUM,0.0372876,2569097
CLOSTRIDIUM,0.0097524,1485
