species,SRR11487941,tax_id
AKKERMANSIA_MUCINIPHILA,0.0704126,239935
ALISTIPES_FINEGOLDII,0.049462400000000004,214856
ANAEROBUTYRICUM_HALLII,0.0391911,39488
ANAEROSTIPES_HADRUS,0.045326500000000006,649756
BACTEROIDES_THETAIOTAOMICRON,0.0428845,818
BACTEROIDES_UNIFORMIS,0.0361596,820
BIFIDOBACTERIUM_LONGUM,0.21352340000000003,216816
BLAUTIA_WEXLERAE,0.0371718,418240
CLOSTRIDIUM_BUTYRICUM,0.0087153,1492
COLLINSELLA_AEROFACIENS,0.0423975,74426
ESCHERICHIA_COLI,0.0399546,562
FAECALIBACTERIUM_PRAUSNITZII,0.042011200000000005,853
LACTOBACILLUS_GASSERI,0.0368258,1596
PARABACTEROIDES_DISTASONIS,0.041133800000000005,823
PREVOTELLA_COPRI,0.041886400000000004,165179
PREVOTELLA_MELANINOGENICA,0.0891276,28132
ROSEBURIA_HOMINIS,0.0489157,301301
ROSEBURIA_INTESTINALIS,0.0320528,166486
RUMINOCOCCUS_GAUVREAUII,0.042847600000000007,438033
