species,SRR11487937,tax_id
BIFIDOBACTERIUM_LONGUM,0.17454282545717453,216816.0
PREVOTELLA_MELANINOGENICA,0.07509292490707509,28132.0
BACTEROIDES_THETAIOTAOMICRON,0.060215939784060216,818.0
ALISTIPES_FINEGOLDII,0.05228994771005229,214856.0
COLLINSELLA_AEROFACIENS,0.05131994868005132,74426.0
AKKERMANSIA_MUCINIPHILA,0.04920995079004921,239935.0
ESCHERICHIA_COLI,0.04778395221604778,562.0
PARABACTEROIDES_DISTASONIS,0.047674952325047676,823.0
RUMINOCOCCUS_GAUVREAUII,0.046948953051046946,438033.0
ROSEBURIA_HOMINIS,0.0447999552000448,301301.0
BLAUTIA_WEXLERAE,0.04383095616904383,418240.0
PREVOTELLA_COPRI,0.04311095688904311,165179.0
ROSEBURIA_INTESTINALIS,0.037815962184037814,166486.0
ANAEROBUTYRICUM_HALLII,0.03506296493703506,39488.0
ANAEROSTIPES_HADRUS,0.03211096788903211,649756.0
BACTEROIDES_UNIFORMIS,0.025497974502025497,820.0
LACTOBACILLUS_PARAGASSERI,0.015811984188015812,2107999.0
FAECALIBACTERIUM_PRAUSNITZII,0.010298989701010298,853.0
LACTOBACILLUS_GASSERI,0.005587994412005588,1596.0
CLOSTRIDIUM_BUTYRICUM,0.005037994962005038,1492.0
UNCLASSIFIED,0.002167997832002168,12908.0
FAECALIBACTERIUM_DUNCANIAE,0.001914998085001915,411483.0
LACTOBACILLUS_TAIWANENSIS,0.001306998693001307,508451.0
LACTOBACILLUS_JOHNSONII,0.001097998902001098,33959.0
FAECALIBACTERIUM_SP._MARSEILLE-Q0746,0.00090999909000091,2817019.0
ESCHERICHIA_SP._MOD1-EC5990,0.000798999201000799,2093880.0
FAECALIBACTERIUM_SP._CLA-AA-H254,0.000695999304000696,2881273.0
FAECALIBACTERIUM_SP._I2392,0.000588999411000589,2929490.0
RUTHENIBACTERIUM_LACTATIFORMANS,0.00054999945000055,1550024.0
BACTEROIDES_RODENTIUM,0.000517999482000518,691816.0
ROSEBURIA_INULINIVORANS,0.000397999602000398,360807.0
PARABACTEROIDES_SP._ZJ-118,0.000366999633000367,2709398.0
KLEBSIELLA_PNEUMONIAE,0.00030999969000031,573.0
BROTOLIMICOLA_ACETIGIGNENS,0.000308999691000309,2981769.0
BACTEROIDES_MURIS,0.000296999703000297,2937417.0
BACTEROIDES_SP._L10-4,0.000272999727000273,2746063.0
FAECALIBACTERIUM_SP._BCRC-81149,0.000235999764000236,2315463.0
ENTEROCOCCUS_FAECIUM,0.000232999767000233,1352.0
PARABACTEROIDES_ACIDIFACIENS,0.000204999795000205,2290935.0
BACTEROIDES_OVATUS,0.00018999981000019,28116.0
FAECALIBACTERIUM_SP._CLA-AA-H283,0.000186999813000187,2881278.0
BACTEROIDES_XYLANISOLVENS,0.000186999813000187,371601.0
BACTEROIDES_CAECIMURIS,0.000178999821000179,1796613.0
RUMINOCOCCUS_GNAVUS,0.000174999825000175,33038.0
FAECALIBACTERIUM_SP._CLA-AA-H223,0.000158999841000159,2881265.0
ROSEBURIA_FAECIS,0.000144999855000145,301302.0
FAECALIBACTERIUM_SP._4P15,0.00013599986400013599,2763046.0
FAECALIBACTERIUM_HATTORII,0.000125999874000126,2935520.0
FAECALIBACTERIUM_SP._MARSEILLE-P9312,0.000121999878000122,2580425.0
BACTEROIDES_STERCORIROSORIS,0.000114999885000115,871324.0
BACTEROIDES_ACIDIFACIENS,0.00010999989000011,85831.0
PHOCAEICOLA_VULGATUS,0.000100999899000101,821.0
BACTEROIDES_HEPARINOLYTICUS,9.6999903000097e-05,28113.0
BLAUTIA_LUTI,9.5999904000096e-05,89014.0
FAECALIBACTERIUM_SP._MARSEILLE-Q3530,9.4999905000095e-05,2758403.0
GOLOVINOMYCES_CICHORACEARUM,9.3999906000094e-05,62708.0
PHOCAEICOLA_DOREI,9.2999907000093e-05,357276.0
LACTOBACILLUS_CRISPATUS,8.8999911000089e-05,47770.0
BACTEROIDES_SP._MARSEILLE-P8574,7.8999921000079e-05,2697504.0
FAECALIBACTERIUM_SP._HTFF,7.8999921000079e-05,2929491.0
BACTEROIDES_CLARUS,7.7999922000078e-05,626929.0
ROSEBURIA_SP._1XD42-69,7.5999924000076e-05,2320088.0
ALISTIPES_SHAHII,6.5999934000066e-05,328814.0
LACTOBACILLUS_MELLIVENTRIS,6.2999937000063e-05,1218507.0
BACTEROIDES_SP._AF29-11,5.999994000006e-05,2292928.0
COPROCOCCUS_SP._ART55-1,5.1999948000052e-05,751585.0
CLOSTRIDIOIDES_DIFFICILE,5.1999948000052e-05,1496.0
LACTOBACILLUS_HELVETICUS,5.1999948000052e-05,1587.0
BLAUTIA_OBEUM,5.0999949000051e-05,40520.0
PHOCAEICOLA_PLEBEIUS,4.8999951000049e-05,310297.0
RUMINOCOCCUS_SP._AM32-17LB,4.7999952000048e-05,2293204.0
BACTEROIDES_EGGERTHII,4.4999955000045e-05,28111.0
CLOSTRIDIUM_SP._AM49-4BH,4.1999958000042e-05,2293035.0
BACTEROIDES_SP._NM69-E16B,4.1999958000042e-05,2516960.0
SALMONELLA_ENTERICA,4.1999958000042e-05,28901.0
CLOSTRIDIUM_SP._AM45-5,4.1999958000042e-05,2292306.0
BACTEROIDES_FLUXUS,3.999996000004e-05,626930.0
BACTEROIDES_SP._AM32-11AC,3.7999962000038e-05,2292950.0
BLAUTIA_PRODUCTA,3.7999962000038e-05,33035.0
RUMINOCOCCUS_SP._OM02-16LB,3.7999962000038e-05,2302958.0
PREVOTELLA_MULTISACCHARIVORAX,3.7999962000038e-05,310514.0
LACTOBACILLUS_RODENTIUM,3.6999963000037e-05,947835.0
LACHNOANAEROBACULUM_SP._OBRC5-5,3.6999963000037e-05,936595.0
BACTEROIDES_SP._4-1-36,3.5999964000036e-05,457393.0
PARABACTEROIDES_SP._AF27-14,3.5999964000036e-05,2293116.0
PARABACTEROIDES_JOHNSONII,3.5999964000036e-05,387661.0
BLAUTIA_SP._MSJ-9,3.3999966000033997e-05,2841511.0
BACTEROIDES_ZOOGLEOFORMANS,3.3999966000033997e-05,28119.0
CLOSTRIDIUM_SACCHAROBUTYLICUM,3.2999967000033e-05,169679.0
ENTEROCLOSTER_CLOSTRIDIOFORMIS,3.2999967000033e-05,1531.0
BACTEROIDES_FRAGILIS,3.2999967000033e-05,817.0
BLAUTIA_SP._MARSEILLE-P3201T,2.999997000003e-05,1907659.0
RUMINOCOCCUS_SP._AM40-10AC,2.999997000003e-05,2293212.0
BLAUTIA_SP._KLE-1732,2.999997000003e-05,1226324.0
INTESTINIMONAS_MASSILIENSIS,2.8999971000029e-05,1673721.0
MASSILIIMALIA_TIMONENSIS,2.8999971000029e-05,1987501.0
BACTEROIDES_HELCOGENES,2.6999973000027e-05,290053.0
ODORIBACTER_SPLANCHNICUS,2.6999973000027e-05,28118.0
CLOSTRIDIUM_SP._SM-530-WT-3G,2.6999973000027e-05,2725303.0
BACTEROIDES_NEONATI,2.6999973000027e-05,1347393.0
FAECALIBACTERIUM_SP._IP329,2.5999974000026e-05,2929489.0
RUMINOCOCCUS_SP._AF41-9,2.4999975000025e-05,2292069.0
LACTOBACILLUS_AMYLOLYTICUS,2.4999975000025e-05,83683.0
ANAEROSTIPES_SP._MARSEILLE-Q3525,2.3999976000024e-05,2758418.0
BUTYRICICOCCUS_PULLICAECORUM,2.3999976000024e-05,501571.0
BACTEROIDES_FAECIS,2.2999977000023e-05,674529.0
BLAUTIA_SP._M29,2.0999979000021e-05,2763027.0
ESCHERICHIA_ALBERTII,2.0999979000021e-05,208962.0
RUMINOCOCCUS_SP._AM34-9LB,1.999998000002e-05,2293207.0
RUMINICLOSTRIDIUM_JOSUI,1.999998000002e-05,1499.0
EUBACTERIUM_SP._MSJ-33,1.999998000002e-05,2841528.0
CLOSTRIDIUM_SP._C2-6-12,1.999998000002e-05,2698832.0
BLAUTIA_SP._AF19-10LB,1.8999981000019e-05,2292961.0
RUMINOCOCCUS_SP._AM23-1LB,1.8999981000019e-05,2293189.0
RUMINOCOCCUS_SP._OF03-6AA,1.8999981000019e-05,2293229.0
LACTOBACILLUS_HOMINIS,1.6999983000016998e-05,1203033.0
BACTEROIDES_CACCAE,1.6999983000016998e-05,47678.0
BACTEROIDES_COPROSUIS,1.6999983000016998e-05,151276.0
RUMINOCOCCUS_SP._AM29-12LB,1.6999983000016998e-05,2293198.0
BACTEROIDES_RETICULOTERMITIS,1.5999984000016e-05,1133319.0
CLOSTRIDIUM_SARDINIENSE,1.5999984000016e-05,29369.0
CLOSTRIDIUM_PUNICEUM,1.3999986000014e-05,29367.0
LACTOBACILLUS_COLINI,1.2999987000013e-05,1819254.0
CLOSTRIDIUM_SP._MSJ-8,1.2999987000013e-05,2841510.0
LACTOBACILLUS_SP._PV034,1.2999987000013e-05,2594495.0
SPOROFACIENS_MUSCULI,1.1999988000012e-05,2681861.0
RUMINOCOCCUS_SP._AF14-5,1.1999988000012e-05,2293147.0
CLOSTRIDIUM_BEIJERINCKII,1.1999988000012e-05,1520.0
BIFIDOBACTERIUM_BREVE,1.0999989000011e-05,1685.0
PARABACTEROIDES_SP._Y3-G-102,9.99999000001e-06,2949649.0
LACRIMISPORA_AMYGDALINA,9.99999000001e-06,253257.0
CLOSTRIDIUM_SP._3-3,9.99999000001e-06,2070757.0
DOREA_LONGICATENA,9.99999000001e-06,88431.0
CLOSTRIDIUM_GALLINARUM,9.99999000001e-06,2762246.0
CLOSTRIDIUM_SP._OM08-29,8.999991000009e-06,2293049.0
CLOSTRIDIUM_GASIGENES,8.999991000009e-06,94869.0
LACTOBACILLUS_AMYLOVORUS,7.999992000008e-06,1604.0
LACTOBACILLUS_SP._JM1,7.999992000008e-06,2690380.0
BLAUTIA_HANSENII,7.999992000008e-06,1322.0
RUMINOCOCCUS_SP._AF16-50,7.999992000008e-06,2293149.0
CLOSTRIDIUM_SP._LS,6.999993000007e-06,1352601.0
