genus,SRR11487938,tax_id
BIFIDOBACTERIUM,0.177390580875353,1678
PREVOTELLA,0.11757005943952448,838
BACTEROIDES,0.10884912920696635,816
ROSEBURIA,0.0849563203494372,841
ESCHERICHIA,0.05426656586747306,561
ALISTIPES,0.05419956640346877,239759
COLLINSELLA,0.05254357965136279,102106
PARABACTEROIDES,0.050879592963256295,375288
AKKERMANSIA,0.05058959528323773,239934
RUMINOCOCCUS,0.04666162670698634,1263
BLAUTIA,0.045823633410932714,572511
FAECALIBACTERIUM,0.036506707946336425,216851
ANAEROBUTYRICUM,0.03340573275413796,2569097
LACTOBACILLUS,0.03225274197806418,1578
ANAEROSTIPES,0.03193174454604363,207244
CLOSTRIDIUM,0.007789937680498556,1485
UNCLASSIFIED,0.001632986936104511,12908
ENTEROCOCCUS,0.0004879960960312318,1350
DOREA,0.00026799785601715187,189330
KLEBSIELLA,0.0002239982080143359,570
ENTEROBACTER,0.00016499868001055993,547
GOLOVINOMYCES,0.00013499892000863993,184027
SPOROFACIENS,0.00012799897600819193,2811390
PHOCAEICOLA,0.00012699898400812793,909656
SHIGELLA,0.00012299901600787194,620
COPROCOCCUS,9.699922400620795e-05,33042
SALMONELLA,8.299933600531196e-05,590
BUTYRIVIBRIO,5.499956000351997e-05,830
PSEUDOFLAVONIFRACTOR,4.999960000319998e-05,1017280
HUNGATELLA,3.499972000223998e-05,1649459
INTESTINIMONAS,3.2999736002111985e-05,1392389
FAECALICATENA,3.199974400204798e-05,2005359
MASSILIIMALIA,2.2999816001471987e-05,2895461
SELLIMONAS,2.099983200134399e-05,1769710
LIMOSILACTOBACILLUS,1.899984800121599e-05,2742598
LACRIMISPORA,1.0999912000703995e-05,2719231
SPHINGOBACTERIUM,5.999952000383997e-06,28453
CLOSTRIDIOIDES,5.999952000383997e-06,1870884
LACHNOANAEROBACULUM,4.999960000319997e-06,1164882
NEOBACILLUS,1.999984000127999e-06,2675232
HOLDEMANELLA,9.999920000639994e-07,1573535
MARITIMIBACTER,9.999920000639994e-07,404235
STAPHYLOCOCCUS,9.999920000639994e-07,1279
MYCOBACTERIUM,9.999920000639994e-07,1763
BRACHYSPIRA,9.999920000639994e-07,29521
OTOOLEA,0.0,2941495
STREPTOCOCCUS,0.0,1301
NOVISYNTROPHOCOCCUS,0.0,2888809
ODORIBACTER,0.0,283168
SALINICOCCUS,0.0,45669
PSEUDOCITROBACTER,0.0,1504576
RUTHENIBACTERIUM,0.0,1905344
RAOULTELLA,0.0,160674
PARACLOSTRIDIUM,0.0,1849822
PEZICULA,0.0,101853
PSEUDOMONAS,0.0,286
RUMINICLOSTRIDIUM,0.0,1508657
ADLERCREUTZIA,0.0,447020
MEMBRANIHABITANS,0.0,2023705
ENTEROCLOSTER,0.0,2719313
ANAEROMASSILIBACILLUS,0.0,1924093
ANAEROTRUNCUS,0.0,244127
ASPERGILLUS,0.0,5052
BACILLUS,0.0,1386
BROTOLIMICOLA,0.0,2981631
BUTYRICICOCCUS,0.0,580596
CAMPYLOBACTER,0.0,194
CITROBACTER,0.0,544
DYSGONOMONAS,0.0,156973
DYSOSMOBACTER,0.0,2591381
EGGERTHELLA,0.0,84111
EUBACTERIUM,0.0,1730
LISTERIA,0.0,1637
EXTIBACTER,0.0,1918452
FLAVOBACTERIUM,0.0,237
GEMMIGER,0.0,204475
GORDONIBACTER,0.0,644652
HERBASPIRILLUM,0.0,963
AEROMONAS,0.0,642
INTESTINIRHABDUS,0.0,2899543
ISOTRICHA,0.0,5986
LACHNOCLOSTRIDIUM,0.0,1506553
LACTIPLANTIBACILLUS,0.0,2767842
LIGILACTOBACILLUS,0.0,2767887
VIBRIO,0.0,662
