Genus,RA,TAX_ID
Bifidobacterium,0.18441877389756842,1678
Bacteroides,0.10505620482822255,816
Prevotella,0.10115903637832278,838
Roseburia,0.0849533990232483,841
unclassified,0.08453458099117815,12908
Alistipes,0.054307504382418104,239759
Akkermansia,0.05035516780535214,239934
Parabacteroides,0.04986968828628948,375288
Collinsella,0.04487467410578212,102106
Faecalibacterium,0.03723756636840632,216851
Anaerobutyricum,0.034006093319645506,2569097
Anaerostipes,0.0296901068376756,207244
Lactobacillus,0.023117743954607663,1578
Escherichia,0.019872478874055303,561
Clostridium,0.011529219108951994,1485
Blautia,0.010459876910713605,572511
Staphylococcus,0.0025460090687206374,1279
Limosilactobacillus,0.002138224662083728,2742598
Coprococcus,0.001573211093023117,33042
Mediterraneibacter,0.001194389953148468,2316020
Faecalicatena,0.0010238284933262658,2005359
Lachnoclostridium,0.0008578643774345809,1506553
Enterocloster,0.0005673122410258697,2719313
Clostridioides,0.00048639898784876023,1870884
Citrobacter,0.00045927465865870654,544
Eubacterium,0.0004197375008562553,1730
Lacrimispora,0.00035307601386375034,2719231
Enterobacter,0.00033192823178336946,547
Olsenella,0.00029928708987669465,133925
Massilistercora,0.0002988273554836429,2717089
Paenibacillus,0.0002933105427670218,44249
Lactiplantibacillus,0.00026618621357696803,2767842
Klebsiella,0.00023124639970503443,570
Shigella,0.00022297118063010276,620
Flavonifractor,0.000222511446237051,946234
Butyrivibrio,0.00021745436791348167,830
Anaerocolumna,0.00020228313294277364,1843210
Salmonella,0.00019768578901225607,590
Streptococcus,0.00018619242918596212,1301
Gordonibacter,0.00017561853814577165,644652
Phocaeicola,0.00017102119421525408,909656
Bacillus,0.00017010172542915056,1386
Hungatella,0.0001365411147363722,1649459
Eggerthella,0.00011953094219345715,84111
Oscillibacter,0.0001135543950837843,459786
Pseudomonas,0.00010160130086443858,286
Ligilactobacillus,9.792342572002452e-05,2767887
Ruminococcus,9.516501936171396e-05,1263
Erysipelatoclostridium,9.424555057561044e-05,1505663
Enterococcus,8.04535187840577e-05,1350
Berryella,8.04535187840577e-05,2815775
