Species,RA,tax_id
HALOMONAS_SP._HL-93,0.3154948689733424,1666906
MURICAUDA_LUTIMARIS,0.17599225326052384,475082
MARINOBACTER_SP._LV10R510-11A,0.14822636752741178,1415568
PSYCHROBACTER_SP._72-O-C,0.1070826831933295,2774125
COHAESIBACTER_SP._ES-047,0.06859136797055462,1798205
MARINOBACTER_SP._LV10MA510-1,0.04835039014329413,1415567
HALOMONAS_SP._HL-4,0.03509601558088416,1761789
THIOCLAVA_SP._ES-031,0.02019231125588307,1798203
UNCLASSIFIED,0.013223257620698939,12908
MARINOBACTER_SP._LV10R520-4,0.012056682181991143,1761796
ENEMELLA_EVANSIAE,0.011258465399243276,2016499
MICROMONOSPORA_ECHINOFUSCA,0.01007289631594124,47858
MICROMONOSPORA_ECHINAURANTIACA,0.008415296936086631,47857
PSYCHROBACTER_SP._GP33,0.0038743936037126453,2758709
MARINOBACTER_GELIDIMURIAE,0.00381919052189647,2739064
THIOCLAVA_SP._JE-KL1,0.0032825518880644027,2651187
PSYCHROBACTER_FRIGIDICOLA,0.003193443472975544,45611
LITOREIBACTER_ARENAE,0.002136694172296598,491388
MURICAUDA_RUESTRINGENSIS,0.002091675142540435,111501
MARIBACTER_SP._RZ26,0.0008564357737959644,2578118
THIOCLAVA_SP._NG1,0.0008408755875294478,2182426
SAGITTULA_MARINA,0.0007688316116466859,943940
PSYCHROBACTER_IMMOBILIS,0.0005834438578693536,498
MARINOBACTER_SP._ELB17,0.0005830007762350005,270374
THIOCLAVA_SP._DLFJ5-1,0.000474669898780668,1915314
THIOCLAVA_SP._F28-4,0.00042448394273289275,1915315
PSYCHROBACTER_URATIVORANS,0.0003014444451493038,45610
WINOGRADSKYELLA_SCHLEIFERI,0.0002989035061394867,2686078
NOCARDIA_DONOSTIENSIS,0.0002470415754819587,1538463
AZOSPIRILLUM_SP._TSA6C,0.0002461359106986589,709813
THIOCLAVA_ELECTROTROPHA,0.0002381286610342994,1549850
THIOCLAVA_SP._F1MIRE-8,0.000209731494444703,1973006
PSYCHROBACTER_PISCATORII,0.00020550064085359023,554343
PSYCHROBACTER_SP._DAB-AL43B,0.00018882594302804118,1028416
THIOCLAVA_NITRATIREDUCENS,0.00018371329595204792,1915078
PSYCHROBACTER_SP._SARCOSINE-02U-2,0.00014458509593200065,2058324
PSYCHROBACTER_SP._ANT-H56B,0.00011700002296957005,2597353
PSEUDONOCARDIA_PINI,9.469386555200233e-05,2758030
MURICAUDA_SP._ARW1Y1,8.898382207895406e-05,2663843
THIOCLAVA_SP._L04-15,8.850867128726907e-05,1915318
WINOGRADSKYELLA_SP._E313,7.918272198329742e-05,2816852
HALOVULUM_MARINUM,7.066012673884028e-05,2662447
THIOCLAVA_SP._F36-7,5.18362897772288e-05,1915317
ALICYCLOBACILLUS_VULCANALIS,4.626152903319565e-05,252246
THIOCLAVA_DALIANENSIS,3.846745981447851e-05,1185766
PSYCHROBACTER_SP._FME5,3.760993488109248e-05,2487706
RHODOHALOBACTER_BARKOLENSIS,2.2514426370645724e-05,2053187
MARINOBACTER_SP._ARC7-DN-1,6.609677232390417e-06,2304594
SALINIBACTERIUM_SP._NK8237,4.4872985080205155e-06,2792038
MICROMONOSPORA_SP._TP-A0468,2.1333212408919464e-06,1182970
MARINOBACTER_SP._BSS20148,1.4842819440794115e-06,490759
MICROMONOSPORA_SP._S4605,1.031594008093148e-06,1420897
PSYCHROBACTER_SP._P11G5,9.635192765946154e-07,1699624
PSYCHROBACTER_CIBARIUS,1.9938492976307617e-07,282669
PSYCHROBACTER_SP._CMS30,1.6420997566250812e-07,2774126
HALOMONAS_AZERICA,1.5402585137466398e-07,2732867
PSYCHROBACTER_SP._CCUG-69069,1.4709197951911053e-07,2282777
BLASTOMONAS_SP._CCH5-A3,1.2885445198236837e-07,1768761
RHIZOPHLYCTIS_ROSEA,1.281682875799959e-07,64517
PSYCHROBACTER_GLACINCOLA,9.252385257254142e-08,56810
