Genus,RA,TAX_ID
Halomonas,0.36085911494500966,2745
unclassified,0.216181680230334,12908
Marinobacter,0.1738988095483304,2742
Cohaesibacter,0.06891379782893038,655352
Muricauda,0.051619948655646494,111500
Psychrobacter,0.04357704957676266,497
Thioclava,0.021448293541656966,285107
Micromonospora,0.018596337418968507,1873
Maribacter,0.002076935828078464,252356
Flavobacterium,0.0018668710157441,237
Acinetobacter,0.0012724057829626074,469
Pseudomonas,0.0012676834190750504,286
Cellulophaga,0.0009938064087622316,104264
Winogradskyella,0.0009714505371668827,286104
Streptomyces,0.0007095904358104851,1883
Polaribacter,0.0006744038010568168,52959
Flagellimonas,0.0005958116088685833,444459
Moraxella,0.0005746815423674513,475
Arenibacter,0.000509563158632864,178469
Vibrio,0.0004616361889655316,662
Zobellia,0.00040302863884612915,112040
Aquimarina,0.000401963595075744,290174
Costertonia,0.0003925791527970672,343334
Chryseobacterium,0.0003801603405310666,59732
Sediminicola,0.0003671889112143945,389486
Euzebyella,0.0003419996212865114,1287916
Gramella,0.0003411757195018738,292691
Tenacibaculum,0.0003313793263308782,104267
Lacinutrix,0.0003187897051583064,291183
Formosa,0.00030844069493663926,225842
Nocardioides,0.0003002318198384819,1839
Capnocytophaga,0.00029696635544815004,1016
Nonlabens,0.0002924449432153828,363408
Pseudoalteromonas,0.00028072946174114604,53246
Microlunatus,0.00027038045151947884,29404
Aequorivita,0.00023582681447839794,153265
Kordia,0.0002227247665861125,221065
Algibacter,0.00021952963527495703,261827
Shewanella,0.00021706797750378377,22
Xanthomonas,0.00020761320214593058,338
Dokdonia,0.00020535249602954695,326319
Mycolicibacterium,0.0001895677435458197,1866885
Galbibacter,0.000173149993349505,379068
Microbacterium,0.00014609185303207813,33882
Sphingobacterium,0.0001376920738618706,28453
Salegentibacter,0.00012802629926648827,143222
Seonamhaeicola,0.00012792582343909345,1649495
Mucilaginibacter,0.00012068151628392644,423349
Leeuwenhoekiella,0.00011999828065764162,283735
Tessaracoccus,0.00011907390304560921,72763
Changchengzhania,0.00011527591677008476,2049301
Pedobacter,0.00011387930276929667,84567
Myroides,0.00010971960351515084,76831
Elizabethkingia,0.00010873494040668154,308865
Polynucleobacter,0.00010325900781366348,44013
Homo,0.00010192267930931228,9605
Psychroflexus,0.00010116911060385108,83612
Gilvibacter,0.00010083754037344815,379070
Corynebacterium,9.817493094748525e-05,1716
Olleya,9.776298005516646e-05,336276
Auraticoccus,9.232723779310633e-05,1278221
Mycobacterium,9.179471590791374e-05,1763
Marinomonas,9.17042876632584e-05,28253
Antarcticibacterium,9.122200369176323e-05,2058174
Muriicola,9.07698624684865e-05,762641
Paracoccus,8.849910876936342e-05,265
Rhodococcus,8.591688000531637e-05,1827
Tamlana,8.552502427847655e-05,393005
Flavivirga,8.289255760073209e-05,1209327
Serratia,8.232989296732106e-05,613
Polaromonas,8.007923443367694e-05,52972
Nocardia,7.964718837587919e-05,1817
Mariniflexile,7.726591126662179e-05,527198
Oceanihabitans,7.687405553978197e-05,2045416
Echinicola,7.589944001405214e-05,390846
Legionella,7.525639471872526e-05,445
Syntrophotalea,7.466358733709577e-05,2812025
Pukyongia,7.319664025713131e-05,2831916
Alteromonas,7.283492727850993e-05,226
Urechidicola,7.280478453029148e-05,2700084
Robiginitalea,7.107660029910046e-05,252306
Nitrosomonas,7.04134598382946e-05,914
Siansivirga,6.975031937748874e-05,1204360
Colwellia,6.960965321913599e-05,28228
Algoriphagus,6.947903464352271e-05,246875
Mesorhizobium,6.836375295944014e-05,68287
Arthrobacter,6.663556872824912e-05,1663
Acidipropionibacterium,6.63542364115436e-05,1912215
Chitinophaga,6.599252343292222e-05,79328
Zunongwangia,6.521885956198206e-05,417127
Brevilactibacter,6.435476744638655e-05,2717325
Gordonia,6.372176973379914e-05,2053
Bacillus,6.367153182010173e-05,1386
Brevibacterium,6.298829619381691e-05,1696
Marinobacterium,6.25863928842376e-05,48075
Bacteroides,6.22347274883557e-05,816
Mesoflavibacter,6.038597226429089e-05,444051
Amycolatopsis,6.005440203388796e-05,1813
Streptococcus,5.895921551528435e-05,1301
Akkermansia,5.8597502536662974e-05,239934
Kaistella,5.854726462296556e-05,2782231
Bradyrhizobium,5.832621780269694e-05,374
Citrobacter,5.813531373064677e-05,544
Pantoea,5.793436207585712e-05,53335
Escherichia,5.596503585891851e-05,561
Yersinia,5.546265672194438e-05,629
Haemophilus,5.452823152717249e-05,724
Spirosoma,5.410623305211422e-05,107
Neisseria,5.402585239019836e-05,482
Pseudonocardia,5.215700200065458e-05,1847
Providencia,5.204647859052027e-05,586
Klebsiella,5.191586001490699e-05,570
Roseivivax,5.183547935299113e-05,93682
Rhodobacter,5.066995975521114e-05,1060
Paraburkholderia,5.032834194206873e-05,1822464
Friedmanniella,4.993648621522891e-05,53387
Cupriavidus,4.939391674729684e-05,106589
Aeromonas,4.830877781143271e-05,642
Actinoplanes,4.830877781143271e-05,1865
Cellulomonas,4.817815923581944e-05,1707
Burkholderia,4.722363887556858e-05,32008
Lutibacter,4.634949917723359e-05,358023
Aquiflexum,4.58772627884779e-05,280472
Gillisia,4.422945921920275e-05,244698
