Species,RA,TAX_ID
Bordetella pertussis,0.36653399999999997,520
Achromobacter xylosoxidans,0.14740999999999999,85698
Clostridium botulinum,0.123973,1491
Roseburia hominis,0.087649,301301
Clostridium perfringens,0.085108,1502
Bacteroides fragilis,0.037627,817
Clostridium scatologenes,0.035857,1548
Bacteroides thetaiotaomicron,0.023904,818
Bacteroides dorei,0.01815,357276
Clostridium cellulovorans,0.015936,1493
Clostridium butyricum,0.012607,1492
Ruminiclostridium thermocellum,0.007968,1515
Clostridium aceticum,0.007501,84022
Parabacteroides distasonis,0.005504,823
Butyrivibrio hungatei,0.003984,185008
Desulfovibrio africanus,0.003984,873
Clostridium pasteurianum,0.003984,1501
[Clostridium] stercorarium,0.003984,1510
Clostridium saccharobutylicum,0.003329,169679
Clostridium sporogenes,0.002542,1509
Parabacteroides sp. YL27,0.002464,1834200
Burkholderia stabilis,0.0,95485
Lactobacillus reuteri,0.0,1598
Gramella flava,0.0,1486245
Mannheimia varigena,0.0,85404
Zunongwangia profunda,0.0,398743
Streptococcus mitis,0.0,28037
Flavobacteriaceae bacterium 3519-10,0.0,531844
Burkholderia sp. Bp5365,0.0,1740162
Bifidobacterium animalis,0.0,28025
Campylobacter iguaniorum,0.0,1244531
Maribacter sp. T28,0.0,1836467
Tenacibaculum dicentrarchi,0.0,669041
[Eubacterium] eligens,0.0,39485
Lacinutrix venerupis,0.0,1486034
Lachnoclostridium sp. YL32,0.0,1834196
Atopobium parvulum,0.0,1382
Alkaliphilus metalliredigens,0.0,208226
Ruminiclostridium sp. KB18,0.0,1834198
Prevotella sp. oral taxon 299,0.0,652716
Burkholderia sp. RPE64,0.0,758793
Aerococcus urinae,0.0,1376
Burkholderia pseudomultivorans,0.0,1207504
Porphyromonas asaccharolytica,0.0,28123
Formosa sp. Hel1_33_131,0.0,1336794
Clostridium formicaceticum,0.0,1497
Clostridioides difficile,0.0,1496
Desulfotomaculum ruminis,0.0,1564
Odoribacter splanchnicus,0.0,28118
Lachnoclostridium phocaeense,0.0,1871021
Collimonas fungivorans,0.0,158899
Sphaerochaeta globosa,0.0,1131703
Salegentibacter sp. T436,0.0,1729720
Tannerella forsythia,0.0,28112
Elizabethkingia anophelis,0.0,1117645
Burkholderia ubonensis,0.0,101571
Polaribacter reichenbachii,0.0,996801
Burkholderia gladioli,0.0,28095
Neisseria weaveri,0.0,28091
Actinomyces sp. oral taxon 414,0.0,712122
Aerococcus viridans,0.0,1377
Lactococcus piscium,0.0,1364
Burkholderia cenocepacia,0.0,95486
Streptococcus thermophilus,0.0,1308
Riemerella anatipestifer,0.0,34085
Candidatus Arthromitus sp. SFB-mouse-NL,0.0,1508644
Paraburkholderia rhizoxinica,0.0,412963
Streptococcus pyogenes,0.0,1314
Streptococcus pneumoniae,0.0,1313
Streptococcus agalactiae,0.0,1311
Streptococcus mutans,0.0,1309
Streptococcus suis,0.0,1307
Streptococcus parasanguinis,0.0,1318
Burkholderia metallica,0.0,488729
Streptococcus salivarius,0.0,1304
Streptococcus oralis,0.0,1303
Streptococcus gordonii,0.0,1302
Bordetella sp. H567,0.0,1697043
Staphylococcus xylosus,0.0,1288
Bacteroides helcogenes,0.0,290053
Clostridium estertheticum,0.0,238834
Sediminicola sp. YIK13,0.0,1453352
Lactococcus garvieae,0.0,1363
Erysipelotrichaceae bacterium I46,0.0,1834207
Streptococcus sp. I-P16,0.0,1156433
Streptococcus sp. I-G2,0.0,1156431
Lactococcus lactis,0.0,1358
Enterococcus faecalis,0.0,1351
Streptococcus uberis,0.0,1349
Streptococcus parauberis,0.0,1348
Streptococcus iniae,0.0,1346
Treponema sp. OMZ 838,0.0,1539298
Treponema azotonutricium,0.0,150829
Streptobacillus moniliformis,0.0,34105
Treponema caldarium,0.0,215591
Streptococcus equi,0.0,1336
Ethanoligenens harbinense,0.0,253239
Streptococcus dysgalactiae,0.0,1334
Streptococcus anginosus,0.0,1328
Ruminococcus albus,0.0,1264
Streptococcus intermedius,0.0,1338
Filifactor alocis,0.0,143361
Prevotella denticola,0.0,28129
Treponema putidum,0.0,221027
Gardnerella vaginalis,0.0,2702
Burkholderia territorii,0.0,1503055
Burkholderia multivorans,0.0,87883
Alistipes finegoldii,0.0,214856
Actinomyces oris,0.0,544580
Burkholderia pseudomallei,0.0,28450
Anaerotignum propionicum,0.0,28446
Deinococcus geothermalis,0.0,68909
Corynebacterium casei,0.0,160386
Bifidobacterium longum,0.0,216816
Clostridium sp. SY8519,0.0,1042156
Streptococcus pseudopneumoniae,0.0,257758
Ilyobacter polytropus,0.0,167642
Carnobacterium sp. 17-4,0.0,208596
Propionibacterium freudenreichii,0.0,1744
Clostridium taeniosporum,0.0,394958
Burkholderia thailandensis,0.0,57975
Eubacterium limosum,0.0,1736
Peptoclostridium acidaminophilum,0.0,1731
Selenomonas sp. oral taxon 478,0.0,712538
Bifidobacterium bifidum,0.0,1681
Prevotella intermedia,0.0,28131
Pseudomonas stutzeri,0.0,316
Myroides sp. A21,0.0,1583100
Treponema primitia,0.0,88058
[Mannheimia] succiniciproducens,0.0,157673
Bacteroides salanitronis,0.0,376805
Algibacter alginicilyticus,0.0,1736674
