Genus,RA,TAX_ID
Bordetella,0.3376996326321346,517
Clostridium,0.25900808091482674,1485
Achromobacter,0.20715404629738,222
Bacteroides,0.07697683171320095,816
Roseburia,0.06768644566886373,841
Phocaeicola,0.020897883299132107,909656
Acetivibrio,0.006310109502229857,35829
Parabacteroides,0.005915648760180793,375288
Desulfocurvibacter,0.0037639682053340687,2582840
Butyrivibrio,0.003031733170451464,830
Thermoclostridium,0.0026405786369992756,2304691
Muribaculum,0.0018073539577030122,1918540
unclassified,0.0006135722026965558,12908
Butyricimonas,6.1435367018309e-05,574697
Blautia,5.079538662472711e-05,572511
Faecalibacterium,3.444468229108714e-05,216851
Burkholderia,2.5487862637732895e-05,32008
Alistipes,2.296312152739143e-05,239759
Mediterraneibacter,2.188108962295937e-05,2316020
Enterocloster,2.097939636926599e-05,2719313
Coprococcus,1.959680004693614e-05,33042
Homo,1.7372623354492467e-05,9605
Oscillibacter,1.6531042984378645e-05,459786
Cupriavidus,1.5929914148583057e-05,106589
Lachnoclostridium,1.3705737456139386e-05,1506553
Clostridioides,1.3345060154662034e-05,1870884
Pusillimonas,1.2804044202446006e-05,305976
Staphylococcus,1.2323141133809536e-05,1279
Streptomyces,1.1842238065173065e-05,1883
Pigmentiphaga,1.1541673647275273e-05,152267
Flavonifractor,8.956819653354248e-06,946234
Pseudomonas,8.89670676977469e-06,286
Lachnospira,8.475916584717779e-06,28050
Bacillus,8.475916584717779e-06,1386
Lacrimispora,8.175352166819985e-06,2719231
Anaerobutyricum,8.175352166819985e-06,2569097
Alcaligenes,7.87478774892219e-06,507
Paraburkholderia,7.333771796706163e-06,1822464
Eubacterium,6.371965659433224e-06,1730
Taylorella,5.830949707217195e-06,29574
Castellaniella,5.770836823637636e-06,359336
Orrella,5.470272405739842e-06,1921582
Prevotella,5.229820871421608e-06,838
Variovorax,4.989369337103373e-06,34072
Acutalibacter,4.8090306863646966e-06,1918385
Faecalicatena,4.62869203562602e-06,2005359
Dysosmobacter,4.087676083409992e-06,2591381
Acidovorax,4.027563199830434e-06,12916
Ralstonia,3.847224549091758e-06,48736
Bifidobacterium,3.7871116655121987e-06,1678
Sodaliphilus,3.546660131193964e-06,2815786
Massilia,3.486547247614405e-06,149698
Oligella,3.3663214804552877e-06,90243
Anaerostipes,3.3663214804552877e-06,207244
Neisseria,3.306208596875729e-06,482
Kerstersia,3.306208596875729e-06,257820
Algicoccus,3.2460957132961703e-06,2782172
Enterococcus,3.2460957132961703e-06,1350
Streptococcus,3.185982829716612e-06,1301
Polynucleobacter,3.125869946137053e-06,44013
Plasmodium,3.065757062557494e-06,5820
Pandoraea,3.0056441789779356e-06,93217
Advenella,2.9455312953983767e-06,290425
Ruthenibacterium,2.885418411818818e-06,1905344
Megasphaera,2.885418411818818e-06,906
Thiomonas,2.885418411818818e-06,32012
Candidatus Kinetoplastibacterium,2.8253055282392593e-06,33055
Sutterella,2.705079761080142e-06,40544
