Species,RA,TAX_ID
Achromobacter xylosoxidans,0.19960356755536954,85698
Bordetella pertussis,0.1402567625641487,520
Clostridium botulinum,0.1033461896757445,1491
Roseburia hominis,0.06659906371779309,301301
Clostridium perfringens,0.05877386909782404,1502
Bacteroides fragilis,0.04296267789431061,817
Clostridium scatologenes,0.04133908902171031,1548
Bacteroides thetaiotaomicron,0.03176779547240581,818
Phocaeicola dorei,0.019556945205122894,357276
Clostridium cellulovorans,0.018777220992212434,1493
Bordetella bronchiseptica,0.014060884372327418,518
Clostridium butyricum,0.012946511736529559,1492
Clostridium aceticum,0.0070727015433201396,84022
Acetivibrio thermocellus,0.006287507058003943,1515
Bordetella parapertussis,0.004326444456987999,519
Clostridium pasteurianum,0.0038835928436573904,1501
Clostridium saccharobutylicum,0.0037860296336077667,169679
Desulfocurvibacter africanus,0.0037639682053340687,873
Parabacteroides distasonis,0.003503438967900261,823
Butyrivibrio hungatei,0.0030225358992637917,185008
Thermoclostridium stercorarium,0.0026405786369992756,1510
Bordetella genomosp. 6,0.0025034010366707226,463024
Muribaculum intestinale,0.0017927465269931794,1796646
Bordetella holmesii,0.0012421726262880012,35814
Bordetella petrii,0.0009720854403650439,94624
Bordetella genomosp. 13,0.0008778284389122958,463040
Bordetella hinzii,0.0008521001247402447,103855
Clostridium sporogenes,0.0007928889344143794,1509
Bordetella trematum,0.0007675814104273851,123899
Bordetella bronchialis,0.0006613018322587254,463025
unclassified,0.0006135722026965558,12908
Bordetella pseudohinzii,0.0005890461461960958,1331258
Clostridium carboxidivorans,0.0005083145435487485,217159
Bordetella avium,0.0004961116281820981,521
Bordetella sp. N,0.00048258622937669734,1746199
Bordetella genomosp. 9,0.0004457971446260074,1416803
Bordetella flabilis,0.000440266759336688,463014
Clostridium drakei,0.0004396656305008924,332101
Bordetella genomosp. 8,0.0004314902783340724,1416806
Bordetella sp. H567,0.0003757656352558215,1697043
Achromobacter spanius,0.0002540370460072151,217203
Achromobacter deleyi,0.00025109151471181673,1353891
Achromobacter denitrificans,0.00020708888393157975,32002
Achromobacter insolitus,0.00014054392180900827,217204
Achromobacter sp. AONIH1,0.00013399161749883638,1758194
Phocaeicola vulgatus,8.944797076638336e-05,821
Achromobacter sp. MFA1 R4,8.854627751268998e-05,1881016
Achromobacter sp. B7,8.524006891581425e-05,2282475
Roseburia intestinalis,7.952934497575618e-05,166486
Achromobacter pestifer,6.720620384194664e-05,1353889
Butyricimonas virosa,5.79488197706946e-05,544645
Faecalibacterium prausnitzii,3.444468229108714e-05,853
Clostridium beijerinckii,3.3362650386655085e-05,1520
Clostridium taeniosporum,2.9635651604722443e-05,394958
Bacteroides xylanisolvens,2.9094635652506417e-05,371601
Bacteroides caecimuris,2.380470189750525e-05,1796613
Clostridium argentinense,2.2842895760232308e-05,29341
Bacteroides eggerthii,2.1640638088641135e-05,28111
Blautia sp. SC05B48,2.0799057718527313e-05,2479767
Clostridium sp. CT4,2.049849330062952e-05,2320868
Clostridium sp. JN-1,2.001759023199305e-05,2483110
Clostridium kluyveri,1.869510679324276e-05,1534
Homo sapiens,1.7372623354492467e-05,9606
Clostridium sp. 001,1.6170365682901294e-05,1970093
Clostridium saccharoperbutylacetonicum,1.6110252799321735e-05,36745
Clostridium sp. AWRP,1.5929914148583057e-05,2212991
Clostridium tetani,1.5869801265003498e-05,1513
Clostridium acetobutylicum,1.574957549784438e-05,1488
Bacteroides uniformis,1.4787769360571442e-05,820
Clostridium estertheticum,1.448720494267365e-05,238834
Blautia obeum,1.442709205909409e-05,40520
Clostridium fermenticellae,1.4246753408355414e-05,2068654
Ruminococcus torques,1.3645624572559828e-05,33039
Clostridioides difficile,1.3345060154662034e-05,1496
Clostridium sp. JN-9,1.2984382853184681e-05,2507159
Bacteroides ovatus,1.2683818435286887e-05,28116
Bacteroides zhangwenhongi,1.2623705551707329e-05,2650157
Parabacteroides merdae,1.2383254017389095e-05,46503
Alistipes finegoldii,1.1541673647275273e-05,214856
Clostridium sp. DL-VIII,1.1241109229377479e-05,641107
Clostridium baratii,1.0940544811479685e-05,1561
Enterocloster clostridioformis,1.070009327716145e-05,1531
Blautia hansenii,1.070009327716145e-05,1322
Clostridium intestinale,1.0459641742843215e-05,36845
Clostridium tyrobutyricum,9.738287139888512e-06,1519
Enterocloster bolteae,9.25738407125204e-06,208479
Staphylococcus aureus,9.197271187672482e-06,1280
Bacteroides caccae,9.137158304092924e-06,47678
Clostridium chauvoei,9.077045420513365e-06,46867
Flavonifractor plautii,8.956819653354248e-06,292800
Bacteroides cellulosilyticus,8.776481002615571e-06,246787
Clostridium novyi,8.656255235456454e-06,1542
Lachnospira eligens,8.475916584717779e-06,39485
Clostridium gasigenes,8.35569081755866e-06,94869
Coprococcus sp. ART55/1,8.295577933979102e-06,751585
Parabacteroides goldsteinii,8.235465050399543e-06,328812
Anaerobutyricum hallii,8.175352166819985e-06,39488
Lacrimispora saccharolytica,8.115239283240426e-06,84030
Ruminococcus gnavus,8.055126399660868e-06,33038
Clostridium thermarum,7.814674865342632e-06,1716543
Achromobacter ruhlandii,7.814674865342632e-06,72557
Coprococcus comes,7.814674865342632e-06,410072
Clostridium cochlearium,7.754561981763074e-06,1494
Lachnoclostridium sp. YL32,7.514110447444839e-06,1834196
