Genus,RA
Bordetella,0.5468999999999999
Clostridium,0.2164
Bacteroides,0.1229
Phocaeicola,0.0262
Lachnoclostridium,0.0084
Eubacterium,0.008199999999999999
Burkholderia,0.0066
Escherichia,0.0064
Achromobacter,0.0058
Thermoclostridium,0.005600000000000001
Akkermansia,0.0052
Ruminococcus,0.0043
Odoribacter,0.0040999999999999995
Butyrivibrio,0.0032
Bifidobacterium,0.0018
Erysipelothrix,0.0017000000000000001
Cellulosilyticum,0.0008
Pseudomonas,0.0006
Citrobacter,0.0002
Petrimonas,0.0002
Cupriavidus,0.0001
Salmonella,0.0001
Klebsiella,0.0001
Xanthomonas,0.0001
Enterobacter,0.0001
Proteiniphilum,0.0001
Parabacteroides,0.0001
Shigella,0.0001
Brevibacterium,0.0
Ornithinimicrobium,0.0
Pedococcus,0.0
Pseudarthrobacter,0.0
Cellulosimicrobium,0.0
Arsenicicoccus,0.0
Isoptericola,0.0
Serinicoccus,0.0
Cellulomonas,0.0
Marseillevirus,0.0
Mycobacterium,0.0
Brachybacterium,0.0
Gordonia,0.0
Actinocatenispora,0.0
Phytohabitans,0.0
Plantactinospora,0.0
Actinoplanes,0.0
Micromonospora,0.0
Tomitella,0.0
Corynebacterium,0.0
Georgenia,0.0
Rhodococcus,0.0
Nocardia,0.0
Mycolicibacter,0.0
Mycobacteroides,0.0
Rothia,0.0
Mycolicibacterium,0.0
Paenarthrobacter,0.0
Humibacter,0.0
Micrococcus,0.0
Kocuria,0.0
Peptoniphilus,0.0
Schnuerera,0.0
Tissierella,0.0
Keratinibaculum,0.0
Gottschalkia,0.0
Sedimentibacter,0.0
Phascolarctobacterium,0.0
Megasphaera,0.0
Veillonella,0.0
Dialister,0.0
Selenomonas,0.0
Megamonas,0.0
Ndongobacter,0.0
Gardnerella,0.0
Streptomyces,0.0
Streptacidiphilus,0.0
Kitasatospora,0.0
Herbiconiux,0.0
Microbacterium,0.0
Curtobacterium,0.0
Agromyces,0.0
Clavibacter,0.0
Mycetocola,0.0
Frigoribacterium,0.0
Microlunatus,0.0
Frondihabitans,0.0
Arthrobacter,0.0
Catellatospora,0.0
Marmoricola,0.0
Tessaracoccus,0.0
Anabaenopsis,0.0
Leptolyngbya,0.0
Prochlorococcus,0.0
Synechococcus,0.0
Thermosynechococcus,0.0
Scytonema,0.0
Calothrix,0.0
Dolichospermum,0.0
Propionibacterium,0.0
Fischerella,0.0
Microchaete,0.0
Rivularia,0.0
Anabaena,0.0
Nostoc,0.0
Cryptobacterium,0.0
Synechocystis,0.0
Pseudanabaena,0.0
Thermoleptolyngbya,0.0
Halothece,0.0
Euhalothece,0.0
Gloeothece,0.0
Crocosphaera,0.0
Geminocystis,0.0
Trichodesmium,0.0
Arthrospira,0.0
Planktothrix,0.0
Moorea,0.0
Stanieria,0.0
Mycoplasma,0.0
Mycoplasmopsis,0.0
Spiroplasma,0.0
Mesoplasma,0.0
Slackia,0.0
Coriobacterium,0.0
Olsenella,0.0
