genus,RA,genus_lineage
ALISTIPES,0.4012072,239759
BACTEROIDES,0.1997187999999998,816
PREVOTELLA,0.1323781,838
PARABACTEROIDES,0.09789709999999999,375288
BACTEROIDES,0.0419132,909656
BUTYRICIMONAS,0.024576200000000003,574697
AKKERMANSIA,0.0211344999999999,239934
ODORIBACTER,0.0130555,283168
FAECALIBACTERIUM,0.012364,216851
RUTHENIBACTERIUM,0.0096815,1905344
PHASCOLARCTOBACTERIUM,0.0091439,33024
CLOSTRIDIUM,0.0056728,552397
DIALISTER,0.0053881999999999,39948
OSCILLIBACTER,0.0053457,459786
EUBACTERIUM,0.0048459,2840493
FLAVONIFRACTOR,0.0041565,946234
RUMINOCOCCUS,0.0039707,2316020
COLLINSELLA,0.0023585,102106
BACTEROIDES,0.0016222,538999
BIFIDOBACTERIUM,0.0015111,1678
FUSICATENIBACTER,0.0011582,1407607
FIRMICUTES,0.0007634,47928
PARASUTTERELLA,7.53e-05,577310
OLSENELLA,6.15e-05,2847313
STREPTOCOCCUS,0.0,1301
ACIDAMINOCOCCUS,0.0,904
ROSEBURIA,0.0,841
COPROBACTER,0.0,1348911
INTESTINIMONAS,0.0,1392389
HAEMOPHILUS,0.0,724
PARAPREVOTELLA,0.0,577309
BLAUTIA,0.0,572511
ESCHERICHIA,0.0,561
CLOSTRIDIUM,0.0,1485
GORDONIBACTER,0.0,644652
AGATHOBACULUM,0.0,2048137
HOLDEMANELLA,0.0,1573535
GEMMIGER,0.0,204475
BARNESIELLA,0.0,397864
EUBACTERIUM,0.0,1730
COPROCOCCUS,0.0,33042
DOREA,0.0,189330
VEILLONELLA,0.0,29465
RUMINOCOCCUS,0.0,1263
TURICIBACTER,0.0,191303
EUBACTERIUM,0.0,28050
EUBACTERIUM,0.0,2569097
ANAEROTIGNUM,0.0,2039240
MONOGLOBUS,0.0,2039302
LAWSONIBACTER,0.0,2172004
SUTTERELLA,0.0,40544
