species,SRR540637,tax_id
ACIDAMINOCOCCUS_INTESTINI,0.0,187327
AGATHOBACULUM_BUTYRICIPRODUCENS,0.0,1628085
AKKERMANSIA_MUCINIPHILA,0.0009531,239935
ALISTIPES_FINEGOLDII,0.008155,214856
ALISTIPES_INDISTINCTUS,0.0005322,626932
ALISTIPES_INOPS,0.0,1501391
ALISTIPES_PUTREDINIS,0.0257483,28117
ALISTIPES_SHAHII,0.0,328814
ANAEROTIGNUM_LACTATIFERMENTANS,0.0,160404
BACTEROIDES_CACCAE,0.0055464,47678
BACTEROIDES_CELLULOSILYTICUS,0.0009994000000000001,246787
BACTEROIDES_COPROCOLA,0.0007505000000000001,310298
BACTEROIDES_COPROPHILUS,0.0,387090
BACTEROIDES_DOREI,0.0,357276
BACTEROIDES_EGGERTHII,0.0,28111
BACTEROIDES_FAECIS,0.0,674529
BACTEROIDES_FAECIS_CAG-32,0.0,1263044
BACTEROIDES_FINEGOLDII,0.0,338188
BACTEROIDES_FRAGILIS,0.0,817
BACTEROIDES_MASSILIENSIS,0.020833900000000002,204516
BACTEROIDES_OVATUS,0.0415205,28116
BACTEROIDES_PECTINOPHILUS,0.0,384638
BACTEROIDES_SALYERSIAE,0.0,291644
BACTEROIDES_SP._CAG-144,0.0,1262736
BACTEROIDES_STERCORIS,0.0,46506
BACTEROIDES_THETAIOTAOMICRON,0.0,818
BACTEROIDES_UNIFORMIS,0.05988,820
BACTEROIDES_VULGATUS,0.1482935,821
BACTEROIDES_XYLANISOLVENS,0.029189600000000003,371601
BARNESIELLA_INTESTINIHOMINIS,0.0,487174
BIFIDOBACTERIUM_ADOLESCENTIS,0.0,1680
BIFIDOBACTERIUM_BIFIDUM,0.0,1681
BIFIDOBACTERIUM_LONGUM,0.0,216816
BLAUTIA_HYDROGENOTROPHICA,0.0,53443
BLAUTIA_OBEUM,0.0,40520
BLAUTIA_WEXLERAE,4.8100000000000004e-05,418240
BUTYRICIMONAS_SYNERGISTICA,0.0,544644
BUTYRICIMONAS_VIROSA,0.0,544645
CLOSTRIDIUM_DISPORICUM,0.0,84024
CLOSTRIDIUM_LEPTUM,0.0,1535
COLLINSELLA_AEROFACIENS,0.000995,74426
COPROBACTER_SP.,0.0014639,1941478
COPROCOCCUS_COMES,0.0145901,410072
COPROCOCCUS_EUTACTUS,0.0,33043
DIALISTER_INVISUS,0.0,218538
DOREA_FORMICIGENERANS,0.0001087,39486
DOREA_LONGICATENA,0.0006734,88431
ESCHERICHIA_COLI,0.0,562
EUBACTERIUM_ELIGENS,0.0021285,39485
EUBACTERIUM_HALLII,0.0,39488
EUBACTERIUM_RAMULUS,0.0003938,39490
EUBACTERIUM_RECTALE,0.0017438,39491
EUBACTERIUM_SIRAEUM,0.0110386,39492
EUBACTERIUM_SP._CAG-180,0.0,1262882
EUBACTERIUM_SP._CAG-251,0.0,1262886
EUBACTERIUM_SP._CAG-38,0.0,1262889
EUBACTERIUM_VENTRIOSUM,0.0,39496
FAECALIBACTERIUM_PRAUSNITZII,0.2818516,853
FIRMICUTES_BACTERIUM_CAG-110,0.0175176,1263000
FIRMICUTES_BACTERIUM_CAG-83,0.11425039999999999,1262992
FIRMICUTES_BACTERIUM_CAG-94,0.0,1262989
FLAVONIFRACTOR_PLAUTII,0.0,292800
FUSICATENIBACTER_SACCHARIVORANS,0.0001084,1150298
GEMMIGER_FORMICILIS,0.0,745368
GORDONIBACTER_PAMELAEAE,0.0,471189
HAEMOPHILUS_PARAINFLUENZAE,0.0,729
HOLDEMANELLA_BIFORMIS,0.0,1735
INTESTINIMONAS_BUTYRICIPRODUCENS,0.0,1297617
LACHNOSPIRA_PECTINOSCHIZA,0.0042003000000000006,28052
LAWSONIBACTER_ASACCHAROLYTICUS,0.0,2108523
MONOGLOBUS_PECTINILYTICUS,0.0,1981510
ODORIBACTER_SPLANCHNICUS,0.0033894000000000003,28118
OLSENELLA_SCATOLIGENES,0.0,1299998
OSCILLIBACTER_SP._57-20,0.0,1897011
OSCILLIBACTER_SP._CAG-241,0.0665405,1262911
PARABACTEROIDES_DISTASONIS,0.0,823
PARABACTEROIDES_GOLDSTEINII,0.0,328812
PARABACTEROIDES_MERDAE,0.0,46503
PARAPREVOTELLA_CLARA,0.0,454154
PARAPREVOTELLA_XYLANIPHILA,0.0,454155
PARASUTTERELLA_EXCREMENTIHOMINIS,0.0,487175
PHASCOLARCTOBACTERIUM_FAECIUM,0.0,33025
PHASCOLARCTOBACTERIUM_SUCCINATUTENS,0.10655200000000001,626940
PREVOTELLA_COPRI,0.0,165179
PREVOTELLA_SP._CAG-279,0.0,1262924
PREVOTELLA_SP._CAG-520,0.0,1262929
PREVOTELLA_STERCOREA,0.0,363265
ROSEBURIA_FAECIS,0.0057669999999999996,301302
ROSEBURIA_HOMINIS,0.0,301301
ROSEBURIA_INTESTINALIS,0.010190600000000001,166486
ROSEBURIA_INULINIVORANS,0.0041941,360807
RUMINOCOCCUS_BICIRCULANS,0.0,1160721
RUMINOCOCCUS_BROMII,0.0,40518
RUMINOCOCCUS_GNAVUS,0.0050659,33038
RUMINOCOCCUS_LACTARIS,0.0,46228
RUMINOCOCCUS_TORQUES,0.0026473,33039
RUTHENIBACTERIUM_LACTATIFORMANS,0.0010134999999999999,1550024
STREPTOCOCCUS_MITIS,0.0007215,28037
STREPTOCOCCUS_PARASANGUINIS,0.00032030000000000003,1318
STREPTOCOCCUS_PASTEURIANUS,0.0,197614
SUTTERELLA_PARVIRUBRA,0.0,437898
TURICIBACTER_SANGUINIS,0.0,154288
VEILLONELLA_ATYPICA,8.33e-05,39777
VEILLONELLA_DISPAR,0.0,39778
VEILLONELLA_PARVULA,0.0,29466
