genus,SRR540371,tax_id
ALISTIPES,0.25298722908939636,239759
BACTEROIDES,0.2091185361702468,816
PREVOTELLA,0.13534205260563176,838
PARABACTEROIDES,0.09688832178174753,375288
CYCLOSPORA,0.03510975423172038,44417
UNCLASSIFIED,0.03182877719855961,12908
DIALISTER,0.024677827255209214,39948
VESCIMONAS,0.02265484141611009,2892396
PHOCAEICOLA,0.020987853085028405,909656
OSCILLIBACTER,0.020644855486011596,459786
ANAEROTRUNCUS,0.006122957139300025,244127
BUTYRICIMONAS,0.005758959687282189,574697
FLAVONIFRACTOR,0.005079964440248918,946234
AKKERMANSIA,0.004960965273243087,239934
FAECALIBACTERIUM,0.0048889657772395595,216851
BLAUTIA,0.004745966778232552,572511
ODORIBACTER,0.004639967520227359,283168
INTESTINIMONAS,0.004299969900210698,1392389
PHASCOLARCTOBACTERIUM,0.0039209725531921275,33024
PSEUDOFLAVONIFRACTOR,0.003404976165166844,1017280
CLOSTRIDIUM,0.002806980351137542,1485
RUTHENIBACTERIUM,0.0024629827591206863,1905344
DYSOSMOBACTER,0.002304983865112944,2591381
COLIDEXTRIBACTER,0.0020279858040993712,1980681
RUMINOCOCCUS,0.0017189879670842304,1263
ACETIVIBRIO,0.0013769903610674726,35829
SUBDOLIGRANULUM,0.0007289948970357207,292632
STAPHYLOCOCCUS,0.0006429954990315068,1279
INTESTINIBACILLUS,0.0005359962480262639,1928820
ANAEROMASSILIBACILLUS,0.0005239963320256758,1924093
STREPTOMYCES,0.0005089964370249408,1883
SPHINGOMONAS,0.00045399682202224587,13687
AGATHOBACULUM,0.0004379969340214618,2048137
BUTYRICICOCCUS,0.0004159970880203839,580596
BACILLUS,0.00039999720001959987,1386
ANAEROTIGNUM,0.0003529975290172969,2039240
PHOCEA,0.0003249977250159249,1926663
LACTOCOCCUS,0.0003009978930147489,1357
MESORHIZOBIUM,0.0002879979840141119,68287
ROSEBURIA,0.0002789980470136709,841
CRASSPHAGE,0.0002719980960133279,1211417
CRASSPHAGE,0.0002719980960133279,1211417
MASSOSPORA,0.00023799833401166192,348616
EISENBERGIELLA,0.00023799833401166192,1432051
ENTODINIUM,0.00023599834801156392,40635
BARNESIELLA,0.00021299850901043693,397864
HUNGATELLA,0.00021299850901043693,1649459
PSEUDOGRACILIBACILLUS,0.00020899853701024092,1494958
SALINISPHAERA,0.00020799854401019194,180541
DESULFITOBACTERIUM,0.00020799854401019194,36853
PSEUDOMONAS,0.00020399857200999592,286
DOREA,0.00019499863500955494,189330
STREPTOCOCCUS,0.00018799868400921194,1301
PISTRICOCCUS,0.00017199879600842793,1897649
DESULFOSPIRA,0.00016899881700828095,53328
EUBACTERIUM,0.00015899888700779093,1730
LACRIMISPORA,0.00015099894300739895,2719231
MYCOPLASMOPSIS,0.00015099894300739895,2767358
GALLALISTIPES,0.00015099894300739895,2884610
CRONOBACTER,0.00013499905500661494,413496
CAMPYLOBACTER,0.00013099908300641896,194
GEMELLA,0.00012599911800617396,1378
ENTEROCLOSTER,0.00012199914600597796,2719313
PUSILLIMONAS,0.00011999916000587995,305976
SUTTERELLA,0.00011499919500563496,40544
HOLDEMANELLA,0.00011299920900553696,1573535
PUCCINIA,0.00011299920900553696,5296
MARIBACTER,0.00010599925800519396,252356
LACHNOANAEROBACULUM,0.00010399927200509597,1164882
PSYCHROFLEXUS,0.00010299927900504697,83612
NIABELLA,0.00010199928600499796,379899
EVTEPIA,9.799931400480197e-05,2211178
RACOCETRA,9.799931400480197e-05,940663
MACROCYSTIS,9.599932800470396e-05,35121
FUSIBACTER,9.499933500465497e-05,76008
HYPHOPICHIA,9.499933500465497e-05,507510
PARAMIKROCYTOS,9.299934900455697e-05,1483956
RUMINICLOSTRIDIUM,8.599939800421397e-05,1508657
PARAFILIMONAS,8.399941200411597e-05,1649476
ALTERIBACILLUS,8.299941900406697e-05,1433300
FLINTIBACTER,8.299941900406697e-05,1918454
LACTOBACILLUS,8.099943300396897e-05,1578
SPATHASPORA,7.899944700387098e-05,412764
BLASTOMYCES,7.699946100377297e-05,229219
MASSILIMICROBIOTA,7.699946100377297e-05,1924110
TERMITOMYCES,7.699946100377297e-05,71927
LENTIBACILLUS,7.499947500367498e-05,175304
UREIBACILLUS,7.399948200362597e-05,160795
LEUCOCOPRINUS,7.299948900357698e-05,34431
WALTERA,7.099950300347897e-05,2815781
XYLOGONE,6.799952400333197e-05,756023
BIFIDOBACTERIUM,6.699953100328298e-05,1678
DICTYOSTELIUM,6.599953800323398e-05,5782
TETRAHYMENA,6.599953800323398e-05,5890
GARCIELLA,6.599953800323398e-05,218204
COPROCOCCUS,6.499954500318498e-05,33042
PANTOEA,6.499954500318498e-05,53335
SALITERRIBACILLUS,6.399955200313597e-05,1434043
BARIATRICUS,6.399955200313597e-05,1924081
CLOSTRIDIOIDES,6.299955900308698e-05,1870884
VITRELLA,6.099957300298898e-05,1169538
CLATHRUS,6.099957300298898e-05,112985
MYCOPLASMA,6.099957300298898e-05,2093
PAENIBACILLUS,5.9999580002939976e-05,44249
ANAEROSTIPES,5.899958700289098e-05,207244
RHIZOPHAGUS,5.899958700289098e-05,295919
CARNOBACTERIUM,5.899958700289098e-05,2747
ACINETOBACTER,5.799959400284198e-05,469
ANAEROCOCCUS,5.699960100279298e-05,165779
VIBRIO,5.599960800274398e-05,662
THERMOANAEROBACTERIUM,5.299962900259698e-05,28895
PSYCHROBACTER,5.299962900259698e-05,497
FRANCISELLA,5.299962900259698e-05,262
ERYSIPHE,4.9999650002449983e-05,5121
RHODOPIRELLULA,4.8999657002400986e-05,265488
PROTEINIBORUS,4.8999657002400986e-05,415014
