Species,RA,TAX_ID
unclassified,0.3930311481772314,12908
Bacteroides uniformis,0.07069625337340807,820
Prevotella copri,0.06073578655691244,165179
Parabacteroides merdae,0.04283934905634833,46503
Phocaeicola dorei,0.026735894867004232,357276
Alistipes finegoldii,0.02556253553924887,214856
Alistipes shahii,0.01918216854855451,328814
Butyricimonas virosa,0.015483378913830297,544645
Alistipes onderdonkii,0.014591174532687084,328813
Bacteroides caccae,0.014139882483550404,47678
Alistipes indistinctus,0.013992309983482712,626932
Akkermansia muciniphila,0.013428646214111,239935
Parabacteroides distasonis,0.012487250999611888,823
Faecalibacterium prausnitzii,0.011539086404375728,853
Phascolarctobacterium faecium,0.01061213253544899,33025
Odoribacter splanchnicus,0.007583962885741879,28118
Bacteroides ovatus,0.007156138023160308,28116
Bacteroides fragilis,0.0068569313945826904,817
Phocaeicola vulgatus,0.006539673084039605,821
Ruthenibacterium lactatiformans,0.0064873232063397505,1550024
Bacteroides cellulosilyticus,0.006131705071620048,246787
Bacteroides zhangwenhongi,0.005127580262290939,2650157
Bacteroides xylanisolvens,0.0049014829456734636,371601
Oscillibacter sp. MM50,0.004635220636682823,2714355
Alistipes communis,0.004402805231377434,2585118
Sutterella wadsworthensis,0.0038969068442952174,40545
Dysosmobacter welbionis,0.003849521179135866,2093857
Flavonifractor plautii,0.003700594802920762,292800
Oscillibacter sp. MM35,0.0036482449252209074,2714353
Oscillibacter sp. MM59,0.0035218831514626375,2714358
Bacteroides thetaiotaomicron,0.0033463305443484697,818
Oscillibacter sp. PEA192,0.002077748594225267,2109687
Dysosmobacter sp. Marseille-Q4140,0.0019094166598972858,2830675
Collinsella aerofaciens,0.0012153294883250746,74426
Intestinimonas butyriciproducens,0.0011652360708709034,1297617
Roseburia intestinalis,0.001014053234410116,166486
Oscillibacter sp. NSJ-62,0.0009513236395801178,2763056
Clostridioides difficile,0.0009152202756491836,1496
Paraprevotella xylaniphila,0.0008804707878656594,454155
Faecalicatena sp. Marseille-Q4148,0.0008804707878656594,2823316
Massilistercora timonensis,0.000829023494264078,2086584
Phocaeicola coprophilus,0.0008281209101658047,387090
Flintibacter sp. KGMB00164,0.0007838942893504102,2610895
Bacteroides eggerthii,0.0007780274927116334,28111
Butyricimonas faecalis,0.0007581706425496196,2093856
Alistipes dispar,0.0007432780049281091,2585119
Roseburia hominis,0.0007013078443583981,301301
Barnesiella viscericola,0.0006615941440343704,397865
Bacteroides sp. M10,0.0006331627449387597,2763022
Bacteroides caecimuris,0.0005862283718285451,1796613
Ruminococcus torques,0.0005749460706001282,33039
Alistipes megaguti,0.0005731409024035814,2364787
Desulfovibrio fairfieldensis,0.0005573456806837977,44742
Bacteroides sp. CACC 737,0.0005271091133916403,2755405
Bifidobacterium adolescentis,0.0005189858565071801,1680
Blautia sp. SC05B48,0.0004882979971658859,2479767
Alistipes sp. dk3624,0.0004720514833969655,2662363
Bifidobacterium longum,0.0004445226683996281,216816
Solibaculum mannosilyticum,0.0004409123320065347,2780922
Phocaeicola salanitronis,0.0004102244726652406,376805
Coprococcus comes,0.00040616284422301046,410072
Oscillibacter valericigenes,0.0003808904894713565,351091
Lacrimispora saccharolytica,0.0003808904894713565,84030
Ruminococcus gnavus,0.0003799879053730831,33038
Anaerostipes hadrus,0.00037953661332394646,649756
Bacteroides sp. HF-162,0.00037773144512739975,2785531
Bacteroides luhongzhouii,0.0003289919038206385,2650158
Anaerobutyricum hallii,0.00031906347873963156,39488
Bacteroides sp. CBA7301,0.0003150018502974015,2715212
Enterocloster bolteae,0.0003140992661991281,208479
Xanthomonas euvesicatoria,0.00031048892980603467,456327
Bacteroides intestinalis,0.0003091350536586246,329854
Coprococcus catus,0.0003055247172655312,116085
Blautia obeum,0.0002933398319388409,40520
Escherichia coli,0.00028160623866128724,562
Christensenella minuta,0.00026355455669582013,626937
Faecalitalea cylindroides,0.00024279512243553293,39483
Coprococcus sp. ART55/1,0.00022970765301056926,751585
Enterocloster clostridioformis,0.00022970765301056926,1531
Longibaculum sp. KGMB06250,0.00020939951079941875,2584943
Bacteroides salyersiae,0.00019631204137445508,291644
Acutalibacter muris,0.00018864007653913154,1796620
Parabacteroides goldsteinii,0.00018864007653913154,328812
Clostridium scindens,0.00018051681965467132,29347
Hungatella hathewayi,0.0001791629435072613,154046
Lachnoclostridium phocaeense,0.00017826035940898794,1871021
Pseudomonas aeruginosa,0.00017374743891762114,287
Bacteroides sp. A1C1,0.00015434188080474398,2528203
Bacteroides helcogenes,0.00014035182728150696,290053
Christensenella sp. Marseille-P3954,0.00013990053523237026,2086585
Muribaculum gordoncarteri,0.0001394492431832336,2530390
Lachnospira eligens,0.00013629019883927684,39485
Dialister pneumosintes,0.00012906952605309,39950
Coprobacter secundus,0.00012771564990567995,1501392
Blautia hansenii,0.00012591048170913324,1322
Blautia producta,0.00012094626916862979,33035
Parabacteroides sp. CT06,0.00011282301228416957,2025876
Prevotella melaninogenica,0.00011146913613675954,28132
Megamonas funiformis,0.00010650492359625608,437897
Clostridium innocuum,0.0001042484633505727,1522
Adlercreutzia equolifaciens,0.00010063812695747926,446660
Ethanoligenens harbinense,9.296616212215574e-05,253239
Eubacterium sp. NSJ-61,9.251487007301906e-05,2764325
Prevotella denticola,8.980711777819898e-05,28129
Bacteroides zoogleoformans,8.980711777819898e-05,28119
Tannerella sp. oral taxon HOT-286,8.980711777819898e-05,712710
Bacteroides heparinolyticus,8.574548933596888e-05,28113
Lachnoclostridium sp. YL32,8.213515294287546e-05,1834196
Duncaniella dubosii,8.213515294287546e-05,2518971
Blautia argi,7.942740064805538e-05,1912897
Enterococcus faecium,7.89761085989187e-05,1352
Oxalobacter formigenes,7.626835630409863e-05,847
Sodaliphilus pleomorphus,7.581706425496196e-05,2606626
Ruminococcus champanellensis,6.995026761618513e-05,1161942
Muribaculum intestinale,6.724251532136507e-05,1796646
Clostridium sp. C1,6.588863917395503e-05,1155388
Gordonibacter pamelaeae,6.408347097740832e-05,471189
Prevotella dentalis,6.363217892827164e-05,52227
Petrimonas mucosa,5.957055048604154e-05,1642646
Butyrivibrio fibrisolvens,5.8216674338631504e-05,831
Blautia sp. LZLJ-3,5.7765382289494826e-05,2779518
Ruminococcus bicirculans,5.731409024035815e-05,1160721
Eubacterium maltosivorans,5.550892204381143e-05,2041044
Longicatena caecimuris,5.4606337945538075e-05,1796635
Adlercreutzia sp. 8CFCBH1,5.325246179812804e-05,2707299
Eubacterium limosum,5.1447293601581324e-05,1736
Prevotella multiformis,5.054470950330797e-05,282402
Caproiciproducens sp. NJN-50,4.9190833355897935e-05,2507162
Blautia sp. YL58,4.7385665159351224e-05,1796616
Caproiciproducens sp. 7D4C2,4.6031789011941184e-05,2721621
Prevotella ruminicola,4.467791286453115e-05,839
Haemophilus parainfluenzae,4.332403671712112e-05,729
Erysipelatoclostridium ramosum,4.287274466798444e-05,1547
Clostridium sp. SY8519,4.106757647143773e-05,1042156
Porphyromonas gingivalis,4.016499237316437e-05,837
Eubacterium callanderi,3.971370032402769e-05,53442
Komagataeibacter oboediens,3.971370032402769e-05,65958
Streptococcus pasteurianus,3.971370032402769e-05,197614
Prevotella sp. oral taxon 475,3.8811116225754334e-05,712471
Prevotella jejuni,3.8359824176617656e-05,1177574
Clostridium hylemonae,3.8359824176617656e-05,89153
Caproicibacterium amylolyticum,3.790853212748098e-05,2766537
Fretibacterium fastidiosum,3.790853212748098e-05,651822
Monoglobus pectinilyticus,3.74572400783443e-05,1981510
Prevotella intermedia,3.700594802920762e-05,28131
Ruminococcus albus,3.6554655980070945e-05,1264
Streptococcus suis,3.6554655980070945e-05,1307
Lachnoanaerobaculum umeaense,3.565207188179759e-05,617123
Clostridium botulinum,3.5200779832660905e-05,1491
Tannerella forsythia,3.5200779832660905e-05,28112
Amedibacterium intestinale,3.2944319586977516e-05,2583452
Pseudobutyrivibrio xylanivorans,3.2944319586977516e-05,185007
Slackia heliotrinireducens,3.249302753784084e-05,84110
Porphyromonas sp. oral taxon 275,3.204173548870416e-05,712435
Megasphaera elsdenii,3.204173548870416e-05,907
Eubacterium cellulosolvens,3.159044343956748e-05,29322
Megasphaera stantonii,3.1139151390430805e-05,2144175
Proteiniphilum saccharofermentans,3.068785934129413e-05,1642647
Desulfovibrio vulgaris,3.068785934129413e-05,881
Streptococcus mitis,2.978527524302077e-05,28037
Hymenobacter jejuensis,2.978527524302077e-05,2502781
Pseudomonas putida,2.933398319388409e-05,303
Spirosoma rigui,2.8882691144747413e-05,564064
Campylobacter coli,2.8882691144747413e-05,195
Homo sapiens,2.8431399095610732e-05,9606
Bacteroides coprosuis,2.8431399095610732e-05,151276
Olsenella uli,2.70775229482007e-05,133926
Faecalibaculum rodentium,2.70775229482007e-05,1702221
Acidaminococcus fermentans,2.70775229482007e-05,905
Pontibacter russatus,2.662623089906402e-05,2694929
Aminipila sp. JN-18,2.6174938849927343e-05,2507160
Anaerocolumna sp. CTTW,2.6174938849927343e-05,2736602
Stenotrophomonas maltophilia,2.5723646800790662e-05,40324
Streptococcus gallolyticus,2.5723646800790662e-05,315405
Bifidobacterium catenulatum,2.5272354751653984e-05,1686
Butyrivibrio proteoclasticus,2.5272354751653984e-05,43305
Bifidobacterium dentium,2.436977065338063e-05,1689
Porphyromonas asaccharolytica,2.436977065338063e-05,28123
Mucilaginibacter mali,2.391847860424395e-05,2740462
Candidatus Solibacter usitatus,2.391847860424395e-05,332163
Treponema sp. RCC2812,2.3467186555107273e-05,2787628
Mageeibacillus indolicus,2.3467186555107273e-05,884684
Sorangium cellulosum,2.3467186555107273e-05,56
Bifidobacterium breve,2.3467186555107273e-05,1685
Pseudomonas fluorescens,2.3015894505970592e-05,294
Olsenella sp. GAM18,2.3015894505970592e-05,2109685
Hymenobacter sp. PAMC 26628,2.3015894505970592e-05,1484118
Prevotella nigrescens,2.2564602456833914e-05,28133
Alicyclobacillus acidocaldarius,2.2564602456833914e-05,405212
Olsenella umbonata,2.2564602456833914e-05,604330
Olsenella timonensis,2.2564602456833914e-05,1805478
Schaalia odontolytica,2.2113310407697237e-05,1660
Butyrivibrio hungatei,2.2113310407697237e-05,185008
Parolsenella massiliensis,2.2113310407697237e-05,1871022
Hymenobacter busanensis,2.2113310407697237e-05,2607656
Salmonella enterica,2.166201835856056e-05,28901
Clostridium perfringens,2.166201835856056e-05,1502
Rothia mucilaginosa,2.166201835856056e-05,43675
Selenomonas sputigena,2.166201835856056e-05,69823
Rhizobium leguminosarum,2.166201835856056e-05,384
Phascolarctobacterium sp. Marseille-Q4147,2.166201835856056e-05,2823317
Anaerostipes caccae,2.166201835856056e-05,105841
Alloprevotella sp. E39,2.121072630942388e-05,2133944
Variovorax paradoxus,2.121072630942388e-05,34073
Rhodopseudomonas palustris,2.121072630942388e-05,1076
Eggerthella sp. HF-1101,2.121072630942388e-05,2690837
Bacteroides sp. ZJ-18,2.0759434260287203e-05,2709390
Ruminococcus sp. JE7A12,2.0759434260287203e-05,2564099
Cloacibacillus porcorum,2.0308142211150522e-05,1197717
Runella sp. HYN0085,1.9856850162013845e-05,2259595
Anaerocolumna sedimenticola,1.9856850162013845e-05,2696063
Parolsenella catena,1.9856850162013845e-05,2003188
Eggerthella lenta,1.9856850162013845e-05,84112
Lacrimispora sphenoides,1.9856850162013845e-05,29370
Prevotella sp. WR041,1.9856850162013845e-05,2801997
Pseudomonas stutzeri,1.9405558112877167e-05,316
Porphyromonas cangingivalis,1.9405558112877167e-05,36874
Arabia massiliensis,1.895426606374049e-05,1870985
Thermoclostridium stercorarium,1.895426606374049e-05,1510
Clostridium baratii,1.895426606374049e-05,1561
Rhodothermus marinus,1.895426606374049e-05,29549
Hymenobacter sp. BT18,1.895426606374049e-05,2835648
Murdochiella vaginalis,1.850297401460381e-05,1852373
Prevotella fusca,1.850297401460381e-05,589436
Chitinophaga alhagiae,1.8051681965467134e-05,2203219
Prevotella enoeca,1.8051681965467134e-05,76123
Hymenobacter sp. NBH84,1.7600389916330452e-05,2596915
Anaerotignum propionicum,1.7600389916330452e-05,28446
Rhizobacter gummiphilus,1.7600389916330452e-05,946333
Paludibacter propionicigenes,1.7600389916330452e-05,185300
Prevotella oris,1.7600389916330452e-05,28135
Cystobacter fuscus,1.7149097867193775e-05,43
Acidaminococcus intestini,1.7149097867193775e-05,187327
Hymenobacter sp. APR13,1.7149097867193775e-05,1356852
Hymenobacter sp. PAMC 26554,1.7149097867193775e-05,1484116
Prevotella scopos,1.7149097867193775e-05,589437
Ndongobacter massiliensis,1.7149097867193775e-05,1871025
Veillonella parvula,1.6697805818057097e-05,29466
Lachnoclostridium phytofermentans,1.6697805818057097e-05,66219
Nocardia mangyaensis,1.6697805818057097e-05,2213200
Hymenobacter sp. DG01,1.624651376892042e-05,2584940
Streptococcus oralis,1.624651376892042e-05,1303
Paenibacillus sp. 32O-W,1.624651376892042e-05,1695218
Anaerostipes rhamnosivorans,1.624651376892042e-05,1229621
Desulfarculus baarsii,1.579522171978374e-05,453230
Gardnerella vaginalis,1.579522171978374e-05,2702
Oceanithermus profundus,1.579522171978374e-05,187137
Syntrophobacter fumaroxidans,1.579522171978374e-05,119484
Ligilactobacillus ruminis,1.579522171978374e-05,1623
Pandoraea pnomenusa,1.579522171978374e-05,93220
Hymenobacter sedentarius,1.579522171978374e-05,1411621
Robiginitalea biformata,1.579522171978374e-05,252307
Chlorobium phaeobacteroides,1.5343929670647064e-05,1096
Lautropia mirabilis,1.5343929670647064e-05,47671
Parasphingopyxis algicola,1.5343929670647064e-05,2026624
Desulfovibrio desulfuricans,1.5343929670647064e-05,876
Tardibacter chloracetimidivorans,1.5343929670647064e-05,1921510
Buchnera aphidicola,1.5343929670647064e-05,9
Heliomicrobium modesticaldum,1.5343929670647064e-05,35701
Prevotella histicola,1.5343929670647064e-05,470565
Anaerocolumna cellulosilytica,1.5343929670647064e-05,433286
Desulfovibrio piger,1.5343929670647064e-05,901
Aminomonas paucivorans,1.5343929670647064e-05,81412
Gordonibacter urolithinfaciens,1.5343929670647064e-05,1335613
Berryella intestinalis,1.5343929670647064e-05,1531429
Aeromonas hydrophila,1.4892637621510384e-05,644
Mycolicibacterium sediminis,1.4892637621510384e-05,1286180
Clostridium thermarum,1.4892637621510384e-05,1716543
Rhodoferax sp. BAB1,1.4441345572373707e-05,2741720
Flavobacterium sp. CJ74,1.4441345572373707e-05,2294119
Alicyclobacillus sp. SO9,1.4441345572373707e-05,2665646
Clostridium isatidis,1.4441345572373707e-05,182773
Roseimicrobium sp. ORNL1,1.4441345572373707e-05,2711231
Bifidobacterium bifidum,1.4441345572373707e-05,1681
Rhodovulum sulfidophilum,1.4441345572373707e-05,35806
Filifactor alocis,1.3990053523237027e-05,143361
Clostridium beijerinckii,1.3990053523237027e-05,1520
Desulfovibrio marinus,1.3990053523237027e-05,370038
Schleiferilactobacillus harbinensis,1.3990053523237027e-05,304207
Streptomyces griseorubiginosus,1.3990053523237027e-05,67304
Streptococcus parasanguinis,1.3990053523237027e-05,1318
Thioalkalivibrio versutus,1.3990053523237027e-05,106634
Acetivibrio thermocellus,1.3990053523237027e-05,1515
Olsenella sp. LZLJ-2,1.353876147410035e-05,2779519
Campylobacter hominis,1.353876147410035e-05,76517
Capnocytophaga sputigena,1.353876147410035e-05,1019
Faecalibacillus intestinalis,1.353876147410035e-05,1982626
Denitrobacterium detoxificans,1.353876147410035e-05,79604
Desulfitobacterium hafniense,1.353876147410035e-05,49338
Eggerthella sp. YY7918,1.353876147410035e-05,502558
Desulfocurvibacter africanus,1.353876147410035e-05,873
Pectinatus frisingensis,1.353876147410035e-05,865
Desulfococcus oleovorans,1.353876147410035e-05,181663
Prevotella sp. oral taxon 299,1.353876147410035e-05,652716
Chryseobacterium taklimakanense,1.3087469424963672e-05,536441
Intestinibaculum porci,1.3087469424963672e-05,2487118
Campylobacter concisus,1.3087469424963672e-05,199
Chlorobium phaeovibrioides,1.3087469424963672e-05,1094
Selenomonas ruminantium,1.3087469424963672e-05,971
Deinococcus wulumuqiensis,1.3087469424963672e-05,980427
