Genus,RA,TAX_ID
unclassified,0.39149103745046165,12908
Bacteroides,0.16313988164494198,816
Alistipes,0.08253314192224939,239759
Parabacteroides,0.06928747104668688,375288
Prevotella,0.06215609550028819,838
Phocaeicola,0.0390671931664811,909656
Butyricimonas,0.01610752911441347,574697
Oscillibacter,0.016095357087878452,459786
Akkermansia,0.013026216397151746,239934
Faecalibacterium,0.011508293088078932,216851
Phascolarctobacterium,0.010687397298526111,33024
Odoribacter,0.00762362661950603,283168
Ruthenibacterium,0.006469790104142427,1905344
Dysosmobacter,0.005885532830461571,2591381
Sutterella,0.003946958604369758,40544
Flavonifractor,0.0037045920760107255,946234
Roseburia,0.0017710298608450967,841
Blautia,0.0013027648400273512,572511
Bifidobacterium,0.0012193506581844348,1678
Collinsella,0.0011792545707749642,102106
Intestinimonas,0.0011509725091200698,1392389
Coprococcus,0.0009587260900228762,33042
Mediterraneibacter,0.0009576520876815512,2316020
Clostridioides,0.0009411840517812329,1870884
Paraprevotella,0.0009028779682739708,577309
Streptococcus,0.0008821139230083522,1301
Faecalicatena,0.0008634978824253837,2005359
Massilistercora,0.0008527578590121327,2717089
Flintibacter,0.0007954777341414605,1918454
Desulfovibrio,0.0007722076834127498,872
Streptomyces,0.0007034715335679432,1883
Pseudomonas,0.000677337476595699,286
Barnesiella,0.0006637334469389143,397864
Enterocloster,0.0005391491753452023,2719313
Clostridium,0.000513015118372958,1485
Lachnoclostridium,0.0005051391012032406,1506553
Dialister,0.0004668330176959786,39948
Solibaculum,0.0004496489802347769,2842531
Anaerostipes,0.0004453529708694765,207244
Lacrimispora,0.00041062689516663145,2719231
Christensenella,0.0004023928772164723,990721
Paenibacillus,0.0003959488631685217,44249
Escherichia,0.0003429647476631499,561
Hymenobacter,0.00032470670786062316,89966
Anaerobutyricum,0.0003168306906909057,2569097
Eubacterium,0.0002906966337186615,1730
Faecalitalea,0.00022733049558048036,1573534
Ruminococcus,0.00022446648933694677,1263
Acutalibacter,0.00021480046826502082,1918385
Duncaniella,0.0002083564542170702,2518495
Muribaculum,0.00020692445109530338,1918540
Bacillus,0.00020012243626691106,1386
Corynebacterium,0.00019153041753631022,1716
Longibaculum,0.00019009841441454343,1918538
Porphyromonas,0.00016647036290539115,836
