Species,RA,TAX_ID
Prevotella copri,0.13071695256291319,165179
Bacteroides vulgatus,0.09412800154689777,821
Prevotella stercorea,0.08705724824951122,363265
Prevotella stercorea CAG:629,0.08186859430817998,1263103
Bacteroides vulgatus CAG:6,0.06625656499592211,1263056
Bacteroides dorei CAG:222,0.03424178218139862,1263042
Bacteroides thetaiotaomicron,0.0282705870907381,818
Prevotellamassilia timonensis,0.02004147892397258,1852370
Bacteroides stercoris,0.01958519863725096,46506
Mediterranea massiliensis,0.018118615902315102,1841865
Parabacteroides merdae CAG:48,0.017740680653200613,1263094
Prevotella sp. CAG:520,0.017232574442181816,1262929
Bacteroides ovatus,0.014429428396424072,28116
Bacteroides ovatus CAG:22,0.014262433751466507,1263050
Bacteroides uniformis,0.013836915636184437,820
Dialister invisus,0.012934811170274832,218538
Dialister invisus CAG:218,0.01239867046804265,1263072
Oscillibacter sp. ER4,0.011339118237967067,1519439
Bacteroides sp. D2,0.008553095962518038,556259
Bacteroides thetaiotaomicron CAG:40,0.008447625660439575,1263054
Bacteroides fragilis,0.00842944112559846,817
Paraprevotella clara CAG:116,0.007799346993353855,1263095
Bacteroides coprophilus,0.007625836223411558,387090
Cellulomonas carbonis,0.007479602255730932,1386092
Eubacterium eligens,0.007338672110712297,39485
Bacteroides plebeius,0.007244870218490217,310297
Culturomica massiliensis,0.007066055625885928,1841857
Bacteroides oleiciplenus,0.00695270535870965,626931
Bacteroides coprocola,0.006892696393733973,310298
Paraprevotella xylaniphila,0.005559466914299621,454155
Prevotella sp. CAG:604,0.005151072569326266,1262932
Sutterella sp. CAG:397,0.004724342151721454,1262976
Prevotella sp. S7-1-8,0.0045232515039368,1284775
Barnesiella intestinihominis,0.0044999146842240375,487174
Bacteroides faecichinchillae,0.004383836736821592,871325
Alistipes putredinis,0.004327767754394823,28117
Parabacteroides johnsonii,0.004256999606304821,387661
Ruminococcus sp. CAG:177,0.004086519592169375,1262952
Haemophilus parainfluenzae,0.0040743965689419665,729
Prevotella sp. CAG:386,0.004063182772456613,1262925
Porphyromonas somerae,0.0037443472615757444,322095
Barnesiella viscericola,0.0035103729132867426,397865
Prevotella corporis,0.003447484730294556,28128
Bacteroides barnesiae,0.003375201204301127,376804
Rikenella microfusus,0.00327230704465849,28139
Odoribacter laneus,0.0032276033965074175,626933
Riemerella columbina,0.0031900220245024485,103810
Alistipes shahii,0.003167897507112426,328814
Bacteroides neonati,0.0030492434172741563,1347393
Eubacterium rectale,0.002970898379667023,39491
Prevotella bivia,0.002839969728811001,28125
Odoribacter splanchnicus,0.0026808550489512526,28118
Bacteroides salyersiae,0.0025734147555983365,291644
Prevotella buccalis,0.0024733998139722085,28127
Butyricimonas synergistica,0.0024079354885441977,544644
Roseburia inulinivorans,0.0023712633432812842,360807
Prevotella sp. 109,0.002332015055582546,1676614
Parabacteroides distasonis,0.0022783706778012596,823
Bacteroides fluxus,0.002183811096627466,626930
Bacteroides cellulosilyticus,0.0021481997158969506,246787
Bacteroides salanitronis,0.002140016675218449,376805
Alistipes finegoldii,0.0020495486143839066,214856
Prevotella multisaccharivorax,0.001994237320908851,310514
Collinsella aerofaciens,0.0019583228645976506,74426
Prevotella disiens,0.0019533221175163443,28130
Alistipes obesi,0.0019455936902088705,1118061
Prevotella sp. CAG:732,0.0019451390768378428,1262934
Bacteroides finegoldii CAG:203,0.0018942223792827232,1263045
Prevotella amnii,0.0018178473329500437,419005
Roseburia hominis,0.0017569291412323114,301301
Odoribacter splanchnicus CAG:14,0.0016078159555351754,1263090
Prevotella sp. P4-76,0.0015546261911249166,1602169
Eubacterium sp. CAG:248,0.0015312893714121533,1262885
Faecalibacterium prausnitzii,0.001458096618676669,853
Blautia obeum,0.0014194544821393015,40520
Bacteroides sp. 43_46,0.0013535355433402627,1897051
Prevotella scopos,0.0012512475348589957,589437
Alistipes senegalensis,0.0012457921744066613,1288121
Bacteroides faecis CAG:32,0.0012379122093088453,1263044
Prevotella sp. S7 MS 2,0.001220939976790472,1287488
Prevotella melaninogenica,0.0012129084739023132,28132
Prevotella timonensis,0.0011763878664297423,386414
Sutterella wadsworthensis,0.0011741147995746031,40545
Prevotella baroniae,0.001139261107795801,305719
Parabacteroides gordonii,0.0011189550438898902,574930
Eubacterium sp. CAG:251,0.001084555965482116,1262886
Prevotella salivae,0.0010791006050297816,228604
Prevotella bryantii,0.0010700083376092245,77095
Dorea formicigenerans,0.0010386400150083027,39486
Butyricimonas virosa,0.0010181824133120494,544645
Firmicutes bacterium CAG:41,0.0010175762621506788,1263021
Ruminococcaceae bacterium D16,0.0009515057855612975,552398
Coprobacter secundus,0.0009368066198980635,1501392
Odoribacter sp. 43_10,0.0009363520065270357,1897010
Eubacterium sp. CAG:180,0.0009224105298155148,1262882
Bacteroides finegoldii,0.0009107421199591333,338188
Prevotella oryzae,0.0008904360560532225,185293
Roseburia faecis,0.0008007256841703927,301302
Alloprevotella tannerae,0.0007960280126697715,76122
Fusicatenibacter saccharivorans,0.0007911788033788078,1150298
Roseburia intestinalis,0.0007899665010560669,166486
Sutterella wadsworthensis CAG:135,0.0007832988382809917,1263111
Bacteroides pectinophilus,0.0007584466406648023,384638
Ruminococcus faecis,0.0007364736610651227,592978
Clostridium sp. M62/1,0.0007363221232747801,411486
Angelakisella massiliensis,0.0007342005942099835,1871018
Oscillibacter sp. 57_20,0.0007331398296775852,1897011
Tyzzerella nexilis,0.0007326852163065574,29361
Porphyromonas crevioricanis,0.0007304121494514181,393921
Oscillibacter sp. KLE 1745,0.0007235929488860003,1226323
Clostridium sp. CAG:91,0.0007161675971592119,1262845
Parabacteroides goldsteinii,0.0007035899605607747,328812
Prevotella marshii,0.0006614624548455269,189722
Eubacterium ventriosum,0.0006258510741150117,39496
Firmicutes bacterium CAG:65,0.0006199411002916496,1262994
Coprococcus comes,0.0006028173299829338,410072
Intestinimonas massiliensis,0.0005975135073209422,1673721
Pseudoflavonifractor capillosus,0.0005891789288520982,106588
Prevotella fusca,0.00057538898993092,589436
Veillonella parvula,0.0005750859143502348,29466
Prevotella dentalis,0.0005735705364468085,52227
Clostridiales bacterium 59_14,0.0005687213271558448,1897049
Coprococcus eutactus,0.0005649328823972794,33043
Prevotella intermedia,0.0005609928998483713,28131
Collinsella sp. CAG:166,0.0005593259841546025,1262850
Prevotella multiformis,0.0005575075306704911,282402
Bacteroides sp. CAG:98,0.0005565983039284353,1262754
Coprococcus sp. CAG:131,0.0005558406149767223,1262862
Eubacterium ramulus,0.0005499306411533602,39490
Prevotella histicola,0.0005067423709057141,470565
Ruminococcus obeum CAG:39,0.0005015900860340651,1263107
Dorea longicatena,0.0004935585831459063,88431
Prevotella pallens,0.00048749707153220164,60133
Fournierella massiliensis,0.0004859816936287754,1650663
Prevotella ruminicola,0.0004829509378219231,839
Intestinimonas butyriciproducens,0.0004805263331764412,1297617
Tannerella forsythia,0.00047643481283719054,28112
Subdoligranulum variabile,0.0004735555948206808,214851
Blautia sp. KLE 1732,0.0004626448739160123,1226324
Bacteroides caccae CAG:21,0.000458401815786419,1263037
Prevotella oulorum,0.00045355260649545523,28136
Prevotella sp. CAG:5226,0.0004303673245730347,1262930
Lactobacillus ruminis,0.00042915502225029375,1623
Clostridium symbiosum,0.00042551811528207095,1512
Clostridium sp. L2-50,0.0004203658304104219,411489
Turicibacter sanguinis,0.0004182443013456253,154288
Anaerotruncus colihominis,0.00040263590894033563,169435
Fibrobacter sp. UWB12,0.0003965743973266309,1896203
Porphyromonas sp. COT-239 OH1446,0.0003958167083749178,1515613
Prevotella albensis,0.00038096600492134127,77768
Turicibacter sp. H121,0.0003777837113241463,1712675
Butyrivibrio crossotus,0.00037732909795311847,45851
Faecalitalea cylindroides,0.0003670245282098204,39483
Firmicutes bacterium CAG:176,0.00036308454566091235,1263007
Bacteroides sp. 41_26,0.00036202378112851403,1896973
Prevotella nanceiensis,0.00035080998464316035,425941
Ruthenibacterium lactatiformans,0.0003499007579011046,1550024
Ruminococcus bicirculans,0.0003444453974487704,1160721
Clostridia bacterium UC5.1-1E11,0.0003438392462873999,1697793
Escherichia coli,0.00033914157478677877,562
Lactonifactor longoviformis,0.0003377777346736952,341220
Bacteroides sp. CAG:530,0.000336262356770269,1262741
Bacteroides reticulotermitis,0.00033398928991512975,1133319
Coprococcus sp. CAG:131_42_139,0.00033292852538273143,1896997
Prevotella denticola,0.00033126160968896263,28129
Prevotella sp. HUN102,0.0003264124003979989,1392486
Prevotella enoeca,0.00031959319983258105,76123
Bifidobacterium adolescentis,0.0003173201329774418,1680
Gabonia massiliensis,0.0003083794033472273,1686296
Eubacterium hallii,0.00029837790918461454,39488
Clostridium glycyrrhizinilyticum,0.0002976202202329015,342942
Prevotella bergensis,0.0002920133219902246,242750
Bacteroidales bacterium 55_9,0.00027807184527870376,1897041
Massilioclostridium coli,0.00027307109819739737,1870991
Ruminococcus callidus,0.00026897957785814667,40519
Candidatus Gastranaerophilales bacterium MH_37,0.00026519113309958123,1906168
Gabonibacter massiliensis,0.00026519113309958123,1720195
Lachnospiraceae bacterium TF01-11,0.0002647365197285534,1703332
Prevotella saccharolytica,0.0002570080924210799,633701
Clostridium leptum,0.0002567050168403946,1535
Prevotella oris,0.000249431202903949,28135
Clostridium innocuum,0.0002476127494198376,1522
Firmicutes bacterium CAG:83,0.00024685506046812447,1262992
Clostridium citroniae,0.00024655198488743925,358743
Dialister succinatiphilus,0.0002464004470970966,487173
Alistipes ihumii,0.0002392781709509936,1470347
Prevotella sp. CAG:1092,0.0002392781709509936,1262919
Prevotella sp. CAG:891,0.00023518665061174291,1262937
Porphyromonas gingivalis,0.000232762045966261,837
Alistipes timonensis,0.0002241243919167318,1465754
Clostridioides difficile,0.0002215482494809073,1496
Ruminococcus lactaris,0.00022018440936782374,46228
Anaerostipes hadrus,0.0002198813337871385,649756
Faecalibacterium sp. CAG:82-related_59_9,0.00021957825820645327,1897006
Clostridium phoceensis,0.00021957825820645327,1650661
Roseburia sp. CAG:380,0.0002189721070450828,1262946
Traorella massiliensis,0.00020518216812390457,1903263
Eubacterium contortum,0.00020518216812390457,39482
Holdemania filiformis,0.0002029091012687653,61171
Clostridium clostridioforme,0.00019760527860677367,1531
Sanguibacteroides justesenii,0.00019760527860677367,1547597
Emergencia timonensis,0.00019578682512266227,1776384
Christensenellaceae bacterium Phil1,0.00019502913617094918,1930012
Bacteroides pyogenes,0.00019502913617094918,310300
Eubacterium sp. CAG:252,0.00019063454025101327,1262887
Blautia schinkii,0.00018396687747593808,180164
Lachnoanaerobaculum sp. OBRC5-5,0.00018366380189525284,936595
Haemophilus influenzae,0.0001807845838787431,727
Erysipelotrichaceae bacterium 5_2_54FAA,0.00017638998795880718,552396
Clostridium lactatifermentans,0.00016881309844167628,160404
Bifidobacterium longum,0.00016775233390927796,216816
Prevotella nigrescens,0.00016669156937687964,28133
Coprobacillus sp. D6,0.00016487311589276823,556262
Anaerotruncus sp. G3(2012),0.00016426696473139776,1235835
Clostridium scindens,0.00016108467113420277,29347
bacterium P201,0.00015578084847221114,1768112
Ruminococcus torques,0.00015578084847221114,33039
Clostridium sp. CAG:167,0.00015547777289152593,1262777
Ruminococcus gnavus,0.0001553262351011833,33038
Bacteroides sp. CAG:770,0.00015487162173015545,1262751
Prevotella dentasini,0.00015426547056878498,589537
