Species,RA,TAX_ID
Bacteroides,0.45242018019067837,816
Ruminococcus,0.1845836652957516,1263
Alistipes,0.06248012975350128,239759
Prevotella,0.04558757031375674,838
Oscillibacter,0.025960833290056835,459786
Parabacteroides,0.015549932425329038,375288
Phascolarctobacterium,0.015405061703844347,33024
Dialister,0.015122445050456176,39948
Clostridium,0.013617056176274261,1485
Roseburia,0.0120204699954528,841
Blautia,0.010356435806595845,572511
Ruminiclostridium,0.00852932310065776,1508657
Eubacterium,0.008281855409203582,1730
Odoribacter,0.00809281099231536,283168
Lachnoclostridium,0.00797865603035857,1506553
Akkermansia,0.007787711669582025,239934
Faecalibacterium,0.0072503442065011015,216851
Dorea,0.006354520663156415,189330
Barnesiella,0.004789441885149659,397864
Coprococcus,0.004245582947116962,33042
Mediterranea,0.0038576777365841794,1926659
Collinsella,0.0035527367425082046,102106
Fusicatenibacter,0.003137282345594727,1407607
Intestinimonas,0.003051151555990713,1392389
Tyzzerella,0.002981803604066893,1506577
Angelakisella,0.0027047284536863346,1935176
Porphyromonas,0.002541333279290485,836
Anaerotruncus,0.0025109341770773036,244127
Culturomica,0.0024761018724580334,1926651
Holdemania,0.0024700853834783414,61170
Erysipelatoclostridium,0.0021569112992196296,1505663
Bifidobacterium,0.002152636425470901,1678
Rikenella,0.0020386397921714713,28138
Emergencia,0.001954567275113142,1926556
Riemerella,0.0018964606578619045,34084
Ruthenibacterium,0.0018815777640700344,1905344
Sanguibacteroides,0.0017856305977096809,1635148
Prevotellamassilia,0.0016687840485777653,1926672
Pseudoflavonifractor,0.001637434974420422,1017280
Clostridioides,0.0015891447339255248,1870884
Fournierella,0.0015041222449230333,1940255
Subdoligranulum,0.001466281695813917,292632
Butyricicoccus,0.0014377825374890594,580596
Massilioclostridium,0.0013806258921819842,1935927
Paraprevotella,0.0013543433350601713,577309
Faecalitalea,0.001238288429215057,1573534
Hungatella,0.0011847733430272692,1649459
Traorella,0.0010402192788572977,1929045
Merdibacter,0.000872232573397999,1935200
Parasutterella,0.0008476916315071494,577310
Anaerostipes,0.0008337587096594414,207244
Butyrivibrio,0.0008272672347076683,830
Bittarella,0.0007883183849970298,1929297
Coprobacillus,0.0007786603368980503,100883
Flavonifractor,0.0007571276394970468,946234
Neglecta,0.0007121623008067161,1924105
Phocea,0.0007032958959945383,1926663
Solobacterium,0.0006849297717407412,123375
Lactonifactor,0.0006755883809564824,420345
Criibacterium,0.0006684635913752681,1937664
Acetivibrio,0.0006350562446722406,35829
Lachnoanaerobaculum,0.0006185900643067675,1164882
Streptococcus,0.000556366901964162,1301
Coprobacter,0.0005348342045631586,1348911
Bariatricus,0.0005288177155834664,1924081
Veillonella,0.00048733560735506276,29465
Intestinibacter,0.00046026140694644817,1505657
Lactobacillus,0.0004338205211672749,1578
Holdemanella,0.0004243208017256557,1573535
Fibrobacter,0.0004238458157535747,832
Acidaminococcus,0.00038078042095156787,904
Enterococcus,0.0003687474429921836,1350
Butyricimonas,0.00034895636082214374,574697
Gabonia,0.0003388233267510833,1923867
Pontibacillus,0.0003133324129160719,289201
Megasphaera,0.0003060492946774972,906
Hespellia,0.0002997161483830844,241189
Gabonibacter,0.00028435826861913346,1911312
Murdochiella,0.0002473093627968187,1161127
Eggerthella,0.00024572607622321555,84111
Faecalicoccus,0.00024493443293641397,1573536
Stomatobaculum,0.00024002624455824405,1213720
Heliobacterium,0.0002257766653958153,2697
Mobiluncus,0.000210260456974504,2050
Staphylococcus,0.0002093104850303421,1279
Gardnerella,0.0002045606253095325,2701
Bacillus,0.0001869861443425371,1386
Adlercreutzia,0.0001861945010557355,447020
Sellimonas,0.00018318625656588941,1769710
Eisenbergiella,0.00017336987980954964,1432051
Bilophila,0.0001724199078653877,35832
Actinomyces,0.00016767004814457814,1654
Oribacterium,0.00016022860124864313,265975
Allisonella,0.00015627038481463515,209879
Alloprevotella,0.0001534204689821494,1283313
Sharpea,0.00014502905014205248,519427
Gordonibacter,0.0001443957355126112,644652
Treponema,0.00013394604412683011,157
Acinetobacter,0.00013157111426642532,469
Johnsonella,0.00012412966737049034,43994
Enorma,0.00012349635274104906,1472762
Marvinbryantia,0.00011795484973343787,248744
Catabacter,0.00011462994792887117,270497
Catonella,0.00011193836075374574,43996
Haemophilus,0.00010877178760653935,724
Cellulomonas,0.00010449691385781074,1707
Turicibacter,0.00010069702608116307,191303
Tidjanibacter,9.895541085019955e-05,1929083
Varibaculum,9.309725052786774e-05,184869
Acetitomaculum,9.103897798218359e-05,31980
Campylobacter,9.056399201010264e-05,194
Allobaculum,8.280588779944699e-05,174708
Selenomonas,7.932265733751997e-05,970
