Species,RA,TAX_ID
Haemophilus parainfluenzae,0.1690004812776448,729
Rothia mucilaginosa,0.1469612391426055,43675
unclassified,0.12643392909176032,12908
Neisseria subflava,0.10466249995907503,28449
Neisseria mucosa,0.04882381636802352,488
Schaalia odontolytica,0.03419166636655022,1660
Neisseria flavescens,0.023992509093528288,484
Streptococcus salivarius,0.023874645180511855,1304
Veillonella parvula,0.016332664346493712,29466
Streptococcus sp. LPB0220,0.016113961307896555,2610896
Streptococcus parasanguinis,0.01576560796498132,1318
Streptococcus sp. HSISM1,0.0143564794049182,1316408
Streptococcus sp. oral taxon 061,0.013833294591028592,712623
Streptococcus sp. oral taxon 431,0.012050275506896677,712633
Veillonella nakazawae,0.010019742205430253,2682456
Neisseria meningitidis,0.009725082422889171,487
Veillonella dispar,0.00866168800767425,39778
Gemella sanguinis,0.008454116560861978,84135
Veillonella sp. S12025-13,0.008037664068203918,2682455
Streptococcus mitis,0.00592855482472654,28037
Prevotella melaninogenica,0.005192560167890596,28132
Fusobacterium pseudoperiodonticum,0.005002668308030788,2663009
Campylobacter concisus,0.004178930515949279,199
Neisseria sicca,0.004054518607765268,490
Neisseria lactamica,0.0036603292986769776,486
Streptococcus oralis,0.0033525735258007378,1303
Neisseria elongata,0.0031030949099159566,495
Veillonella atypica,0.002992433791583862,39777
Streptococcus lactarius,0.0028117091249586657,684066
Haemophilus haemolyticus,0.0026480092457691765,726
Haemophilus sp. oral taxon 036,0.0020338072990502133,712310
Neisseria cinerea,0.0019886261323939143,483
Streptococcus australis,0.00190350219521538,113107
Streptococcus pneumoniae,0.0018340934464390365,1313
Haemophilus influenzae,0.0017470051107102284,727
Aggregatibacter aphrophilus,0.0016867635551684962,732
Xanthomonas euvesicatoria,0.0016834895575847065,456327
Rothia dentocariosa,0.0013704953885744031,2047
Streptococcus sp. A12,0.0013547802001722122,1759399
Neisseria gonorrhoeae,0.001102027586703641,485
Streptococcus thermophilus,0.0010778000045835966,1308
Streptococcus gwangjuense,0.001074526006999807,1433513
