species,Mix-A,tax_id
ACHROMOBACTER_DENITRIFICANS,0.0,32002
ACHROMOBACTER_RUHLANDII,0.0,72557
ACHROMOBACTER_XYLOSOXIDANS,0.0,85698
ACINETOBACTER_BAUMANNII,0.0058909,470
ACINETOBACTER_NOSOCOMIALIS,0.0,106654
ACINETOBACTER_PITTII,0.0018059,48296
AEROMONAS_HYDROPHILA,0.0024087,644
ENTEROCOCCUS_FAECALIS,9.78e-05,1351
ESCHERICHIA_COLI,0.34512790000000004,562
KLEBSIELLA_PNEUMONIAE,0.0213261,573
KLEBSIELLA_QUASIPNEUMONIAE,0.000575,1463165
KLEBSIELLA_VARIICOLA,0.003609,244366
LEGIONELLA_PNEUMOPHILA,0.0055674,446
LISTERIA_MONOCYTOGENES,0.0,1639
NEISSERIA_MENINGITIDIS,0.2971352,487
SALMONELLA_ENTERICA,0.024478,28901
STAPHYLOCOCCUS_ARGENTEUS,0.0024741,985002
STAPHYLOCOCCUS_AUREUS,0.28950410000000004,1280
STREPTOCOCCUS_PYOGENES,0.0,1314
VIBRIO_FURNISSII,0.0,29494
