species,Mix-A,tax_id
ACHROMOBACTER_XYLOSOXIDANS,0.0,85698
ACINETOBACTER_BAUMANNII,0.022742,470
ACINETOBACTER_SEIFERTII,0.0,1530123
AEROMONAS_HYDROPHILA,0.0022756,644
ENTEROCOCCUS_FAECALIS,0.0001693,1351
ESCHERICHIA_COLI,0.3143587,562
KLEBSIELLA_PNEUMONIAE,0.021208499999999998,573
LEGIONELLA_PNEUMOPHILA,0.005849299999999999,446
LISTERIA_MONOCYTOGENES,0.0,1639
NEISSERIA_MENINGITIDIS,0.3147723,487
SALMONELLA_ENTERICA,0.023447,28901
STAPHYLOCOCCUS_AUREUS,0.2950138,1280
STREPTOCOCCUS_PYOGENES,0.0,1314
VIBRIO_FURNISSII,0.00016340000000000001,29494
