species,Mix-C,tax_id
ACHROMOBACTER_XYLOSOXIDANS,0.1371243,85698
ACINETOBACTER_BAUMANNII,0.0,470
ACINETOBACTER_SEIFERTII,0.0,1530123
AEROMONAS_HYDROPHILA,0.0030055,644
ENTEROCOCCUS_FAECALIS,0.05487739999999999,1351
ESCHERICHIA_COLI,0.3230945,562
KLEBSIELLA_PNEUMONIAE,0.0,573
LEGIONELLA_PNEUMOPHILA,0.0087848,446
LISTERIA_MONOCYTOGENES,0.036518,1639
NEISSERIA_MENINGITIDIS,0.0,487
SALMONELLA_ENTERICA,0.0,28901
STAPHYLOCOCCUS_AUREUS,0.0,1280
STREPTOCOCCUS_PYOGENES,0.391626,1314
VIBRIO_FURNISSII,0.0449696,29494
