genus,RA,genus_lineage
ESCHERICHIA,0.192194846830919,561
VIBRIO,0.11880228718627686,662
ENTEROCOCCUS,0.09507842952942262,1350
STAPHYLOCOCCUS,0.06788159271044365,1279
LISTERIA,0.06710059739641556,1637
ACHROMOBACTER,0.0637986172082967,222
ACINETOBACTER,0.06048563708617735,469
KLEBSIELLA,0.05876164743011539,570
NEISSERIA,0.05076469541182753,482
STREPTOCOCCUS,0.041364751811489,1301
SALMONELLA,0.024567852592884378,590
UNCLASSIFIED,0.0066789599262404,12908
SHIGELLA,0.002282986302082088,620
STREPTOCOCCUS,5.299968200190799e-05,2788787
PSEUDOMONAS,4.099975400147599e-05,286
LACTOCOCCUS,3.799977200136799e-05,1357
TRABULSIELLA,3.399979600122399e-05,158851
ENTAMOEBA,1.9999880000719995e-05,5758
PANTOEA,1.0999934000395996e-05,53335
CITROBACTER,1.0999934000395996e-05,544
SPHINGOMONAS,9.999940000359996e-06,13687
NOCARDIOPSIS,7.999952000287998e-06,2013
LEGIONELLA,6.999958000251998e-06,445
AEROMICROBIUM,0.0,2040
HAEMOPHILUS,0.0,724
ENTEROBACTER,0.0,1330546
AEROMONAS,0.0,642
KOSAKONIA,0.0,1330547
SULFITOBACTER,0.0,60136
ENTEROBACTER,0.0,547
LIMOSILACTOBACILLUS,0.0,2742598
GIGASPORA,0.0,4873
LEPTOSPIRA,0.0,171
CLOSTRIDIOIDES,0.0,1870884
DANKOOKIA,0.0,1940143
FIBROBACTER,0.0,832
