genus,RA,genus_lineage
KLEBSIELLA,0.3593047186094372,570
SALMONELLA,0.31499662999326,590
ACINETOBACTER,0.2462524925049849,469
ACHROMOBACTER,0.01582403164806327,222
STREPTOCOCCUS,0.009909019818039632,1301
ESCHERICHIA,0.003781007562015048,561
SHIGELLA,0.0011290022580044761,620
UNCLASSIFIED,0.0006370012740025,12908
LEGIONELLA,0.0002980005960011,445
AEROMONAS,2.2000044000088e-05,642
PSEUDOMONAS,1.3000026000052e-05,286
ENTEROBACTER,1.2000024000048e-05,547
ENTEROBACTER,6.000012000024e-06,1330546
KOSAKONIA,5.00001000002e-06,1330547
SULFITOBACTER,4.000008000016e-06,60136
CITROBACTER,4.000008000016e-06,544
ENTAMOEBA,0.0,5758
GIGASPORA,0.0,4873
PANTOEA,0.0,53335
VIBRIO,0.0,662
HAEMOPHILUS,0.0,724
STAPHYLOCOCCUS,0.0,1279
NEISSERIA,0.0,482
STREPTOCOCCUS,0.0,2788787
LIMOSILACTOBACILLUS,0.0,2742598
AEROMICROBIUM,0.0,2040
NOCARDIOPSIS,0.0,2013
DANKOOKIA,0.0,1940143
CLOSTRIDIOIDES,0.0,1870884
LEPTOSPIRA,0.0,171
LISTERIA,0.0,1637
TRABULSIELLA,0.0,158851
SPHINGOMONAS,0.0,13687
LACTOCOCCUS,0.0,1357
ENTEROCOCCUS,0.0,1350
FIBROBACTER,0.0,832
