genus,RA,genus_lineage
ACHROMOBACTER,0.427878,222
ESCHERICHIA,0.218059,561
STREPTOCOCCUS,0.14349299999999998,1301
SHIGELLA,0.072436,620
VIBRIO,0.035108,662
ENTEROCOCCUS,0.022974,1350
LISTERIA,0.015403,1637
UNCLASSIFIED,0.005378,12908
SALMONELLA,0.000207,590
LEGIONELLA,0.000181,445
AEROMONAS,1.3e-05,642
GIGASPORA,1.1e-05,4873
KLEBSIELLA,1.1e-05,570
LIMOSILACTOBACILLUS,7e-06,2742598
CITROBACTER,0.0,544
STAPHYLOCOCCUS,0.0,1279
ENTEROBACTER,0.0,547
ENTAMOEBA,0.0,5758
SULFITOBACTER,0.0,60136
HAEMOPHILUS,0.0,724
PANTOEA,0.0,53335
PSEUDOMONAS,0.0,286
NEISSERIA,0.0,482
ACINETOBACTER,0.0,469
STREPTOCOCCUS,0.0,2788787
AEROMICROBIUM,0.0,2040
NOCARDIOPSIS,0.0,2013
DANKOOKIA,0.0,1940143
CLOSTRIDIOIDES,0.0,1870884
LEPTOSPIRA,0.0,171
TRABULSIELLA,0.0,158851
SPHINGOMONAS,0.0,13687
LACTOCOCCUS,0.0,1357
KOSAKONIA,0.0,1330547
ENTEROBACTER,0.0,1330546
FIBROBACTER,0.0,832
