genus,RA,genus_lineage
VIBRIO,0.4256524256524256,662
ENTEROCOCCUS,0.2768752768752769,1350
LISTERIA,0.2099362099362099,1637
ESCHERICHIA,0.03588103588103584,561
NEISSERIA,0.013731013731013724,482
STAPHYLOCOCCUS,0.00871400871400864,1279
UNCLASSIFIED,0.0011000011000011,12908
LEGIONELLA,0.0002720002720002,445
SALMONELLA,0.0001940001940001,590
SHIGELLA,5.2000052000052e-05,620
AEROMONAS,2.9000029000029e-05,642
ENTEROBACTER,2.5000025000025e-05,547
CITROBACTER,1.4000014000014e-05,544
AEROMICROBIUM,1.000001000001e-05,2040
CLOSTRIDIOIDES,9.000009000009e-06,1870884
STREPTOCOCCUS,6.000006000006e-06,1301
LEPTOSPIRA,5.000005000005e-06,171
ENTAMOEBA,5.000005000005e-06,5758
HAEMOPHILUS,4.000004000004e-06,724
SULFITOBACTER,0.0,60136
PANTOEA,0.0,53335
KLEBSIELLA,0.0,570
PSEUDOMONAS,0.0,286
GIGASPORA,0.0,4873
ACINETOBACTER,0.0,469
STREPTOCOCCUS,0.0,2788787
LIMOSILACTOBACILLUS,0.0,2742598
ACHROMOBACTER,0.0,222
NOCARDIOPSIS,0.0,2013
DANKOOKIA,0.0,1940143
TRABULSIELLA,0.0,158851
SPHINGOMONAS,0.0,13687
LACTOCOCCUS,0.0,1357
KOSAKONIA,0.0,1330547
ENTEROBACTER,0.0,1330546
FIBROBACTER,0.0,832
