Genus,RA,TAX_ID
Vibrio,0.10928234245848184,662
Achromobacter,0.09078401076818078,222
Enterococcus,0.0872952529005839,1350
Klebsiella,0.08110402290134223,570
Salmonella,0.07889066884052476,590
Escherichia,0.07218567528626678,561
Staphylococcus,0.0686462045954349,1279
Acinetobacter,0.06852582088420414,469
Listeria,0.06299006597406537,1637
Neisseria,0.05247260559642072,482
Streptococcus,0.03914840373094715,1301
unclassified,0.0033029688329415333,12908
Legionella,0.001697220747706074,445
Shigella,0.0012882005004929097,620
Aeromonas,0.0008862895275650261,642
Citrobacter,0.0003943277470235838,544
Enterobacter,0.0003056987942670812,547
Paenibacillus,9.716008189883977e-05,44249
Raoultella,5.5452339425191476e-05,160674
Kosakonia,4.881701675892925e-05,1330547
Erwinia,4.075983923561083e-05,551
Leclercia,3.791612952149845e-05,83654
Streptomyces,2.606733904603018e-05,1883
Bordetella,2.464548418897399e-05,517
Cronobacter,2.2749677712899067e-05,413496
Bacillus,2.2749677712899067e-05,1386
Homo,2.1327822855842875e-05,9605
Pseudomonas,2.0853871236824145e-05,286
Atlantibacter,1.7536209903693032e-05,1903434
Serratia,1.7062258284674302e-05,613
Cedecea,1.658830666565557e-05,158483
Pluralibacter,1.5640403427618107e-05,1330546
Phietavirus,1.3744596951543187e-05,1623298
Yokenella,1.2796693713505725e-05,158876
Haemophilus,1.2796693713505725e-05,724
Buttiauxella,1.2322742094486994e-05,82976
Kluyvera,1.1848790475468264e-05,579
Jejubacter,1.0900887237430803e-05,2815296
Cupriavidus,1.0900887237430803e-05,106589
Lactococcus,1.0900887237430803e-05,1357
Mammaliicoccus,1.0900887237430803e-05,2803850
Jeotgalibaca,1.0426935618412073e-05,1470540
Plesiomonas,9.479032380374612e-06,702
Xanthomonas,9.005080761355881e-06,338
Lelliottia,7.583225904299689e-06,1330545
Clostridium,7.109274285280959e-06,1485
Plasmodium,6.635322666262228e-06,5820
Burkholderia,6.161371047243497e-06,32008
Carnobacterium,6.161371047243497e-06,2747
Scandinavium,6.161371047243497e-06,2726810
Mycobacterium,5.687419428224767e-06,1763
Methylobacterium,5.687419428224767e-06,407
Pectobacterium,5.687419428224767e-06,122277
Arcobacter,5.213467809206036e-06,28196
Tetragenococcus,5.213467809206036e-06,51668
Chryseobacterium,5.213467809206036e-06,59732
Phytobacter,5.213467809206036e-06,447792
Yersinia,4.739516190187306e-06,629
Alcaligenes,4.739516190187306e-06,507
Variovorax,4.2655645711685754e-06,34072
Pantoea,4.2655645711685754e-06,53335
Proteus,4.2655645711685754e-06,583
Pseudescherichia,4.2655645711685754e-06,2055880
Vagococcus,4.2655645711685754e-06,2737
Mycolicibacterium,4.2655645711685754e-06,1866885
Sphingomonas,4.2655645711685754e-06,13687
Ralstonia,3.7916129521498446e-06,48736
Peptoniphilus,3.7916129521498446e-06,162289
Chromobacterium,3.7916129521498446e-06,535
Longibaculum,3.7916129521498446e-06,1918538
Shimwellia,3.317661333131114e-06,1335483
Corynebacterium,3.317661333131114e-06,1716
Pseudoalteromonas,3.317661333131114e-06,53246
Heyndrickxia,3.317661333131114e-06,2837504
Photobacterium,3.317661333131114e-06,657
Dickeya,2.8437097141123833e-06,204037
Acidovorax,2.8437097141123833e-06,12916
Hydrogenophaga,2.8437097141123833e-06,47420
Janthinobacterium,2.8437097141123833e-06,29580
Buchnera,2.8437097141123833e-06,32199
Mucilaginibacter,2.8437097141123833e-06,423349
Moraxella,2.8437097141123833e-06,475
Halomonas,2.8437097141123833e-06,2745
Apibacter,2.8437097141123833e-06,1778601
Alteromonas,2.8437097141123833e-06,226
Mycoplasmopsis,2.8437097141123833e-06,2767358
Sodalis,2.8437097141123833e-06,84565
Lactobacillus,2.8437097141123833e-06,1578
Dictyostelium,2.8437097141123833e-06,5782
Saccharothrix,2.369758095093653e-06,2071
Gordonia,2.369758095093653e-06,2053
Virgibacillus,2.369758095093653e-06,84406
Delftia,2.369758095093653e-06,80865
Priestia,2.369758095093653e-06,2800373
Micromonospora,2.369758095093653e-06,1873
Triavirus,2.369758095093653e-06,1623273
Alphaentomopoxvirus,2.369758095093653e-06,62098
Shewanella,2.369758095093653e-06,22
Aerococcus,1.8958064760749223e-06,1375
Loigolactobacillus,1.8958064760749223e-06,2767889
Amycolatopsis,1.8958064760749223e-06,1813
Candidatus Thioglobus,1.8958064760749223e-06,655184
Stenotrophomonas,1.8958064760749223e-06,40323
Lacticaseibacillus,1.8958064760749223e-06,2759736
Pseudonocardia,1.8958064760749223e-06,1847
Nocardia,1.8958064760749223e-06,1817
Rhodococcus,1.8958064760749223e-06,1827
Pandoraea,1.8958064760749223e-06,93217
Polynucleobacter,1.8958064760749223e-06,44013
Persicimonas,1.8958064760749223e-06,2766927
Clostridioides,1.8958064760749223e-06,1870884
Nocardioides,1.8958064760749223e-06,1839
Castellaniella,1.8958064760749223e-06,359336
Azotobacter,1.8958064760749223e-06,352
Brucella,1.8958064760749223e-06,234
Mesorhizobium,1.4218548570561917e-06,68287
Polaribacter,1.4218548570561917e-06,52959
Actinomadura,1.4218548570561917e-06,1988
Tatumella,1.4218548570561917e-06,82986
Exiguobacterium,1.4218548570561917e-06,33986
Rubrobacter,1.4218548570561917e-06,42255
Fusarium,1.4218548570561917e-06,5506
Weizmannia,1.4218548570561917e-06,2817139
Niallia,1.4218548570561917e-06,2837506
Cyanobium,1.4218548570561917e-06,167375
Cyanobacterium,1.4218548570561917e-06,102234
Cyclobacterium,1.4218548570561917e-06,68288
Desulfopila,1.4218548570561917e-06,429014
Elizabethkingia,1.4218548570561917e-06,308865
Flavobacterium,1.4218548570561917e-06,237
Lysinibacillus,1.4218548570561917e-06,400634
Candidatus Pelagibacter,1.4218548570561917e-06,198251
Candidatus Hamiltonella,1.4218548570561917e-06,568987
Actinoplanes,1.4218548570561917e-06,1865
Thiodictyon,1.4218548570561917e-06,53392
Xenorhabdus,1.4218548570561917e-06,626
Agromyces,1.4218548570561917e-06,33877
Actinosynnema,1.4218548570561917e-06,40566
Biseptimavirus,1.4218548570561917e-06,1623274
Massilia,1.4218548570561917e-06,149698
Candidatus Blochmannia,1.4218548570561917e-06,203804
Morganella,1.4218548570561917e-06,581
Phytohabitans,9.479032380374611e-07,907364
Synechococcus,9.479032380374611e-07,1129
Cohnella,9.479032380374611e-07,329857
Leptolyngbya,9.479032380374611e-07,47251
Mycoplasma,9.479032380374611e-07,2093
Calothrix,9.479032380374611e-07,1186
Ruania,9.479032380374611e-07,626119
Deinococcus,9.479032380374611e-07,1298
Citricoccus,9.479032380374611e-07,169133
Sorangium,9.479032380374611e-07,39643
Curtobacterium,9.479032380374611e-07,2034
Archangium,9.479032380374611e-07,47
Melittangium,9.479032380374611e-07,44
Brevibacterium,9.479032380374611e-07,1696
Psychrobacillus,9.479032380374611e-07,1221880
Kitasatospora,9.479032380374611e-07,2063
Alkalihalobacillus,9.479032380374611e-07,2675234
Aeromicrobium,9.479032380374611e-07,2040
Kutzneria,9.479032380374611e-07,43356
Companilactobacillus,9.479032380374611e-07,2767879
Saccharomonospora,9.479032380374611e-07,1851
Levilactobacillus,9.479032380374611e-07,2767886
Anoxybacter,9.479032380374611e-07,1769008
Arcanobacterium,9.479032380374611e-07,28263
Frankia,9.479032380374611e-07,1854
Melissococcus,9.479032380374611e-07,33969
Lysobacter,9.479032380374611e-07,68
Faecalibacillus,9.479032380374611e-07,2678885
Luteimonas,9.479032380374611e-07,83614
Pseudoxanthomonas,9.479032380374611e-07,83618
Gottschalkia,9.479032380374611e-07,1505664
Sporosarcina,9.479032380374611e-07,1569
Edwardsiella,9.479032380374611e-07,635
Anoxybacillus,9.479032380374611e-07,150247
Weissella,9.479032380374611e-07,46255
Microbacterium,9.479032380374611e-07,33882
Brevundimonas,9.479032380374611e-07,41275
Hymenobacter,9.479032380374611e-07,89966
Oceanicola,9.479032380374611e-07,252301
Qipengyuania,9.479032380374611e-07,1855416
Spirosoma,9.479032380374611e-07,107
Thiomicrorhabdus,9.479032380374611e-07,2039723
Bacteroides,9.479032380374611e-07,816
Leishmania,9.479032380374611e-07,5658
Tetrapisispora,9.479032380374611e-07,113604
Candidatus Hodgkinia,9.479032380374611e-07,573657
Bradyrhizobium,9.479032380374611e-07,374
Botrytis,9.479032380374611e-07,33196
Eikenella,9.479032380374611e-07,538
Caulobacter,9.479032380374611e-07,75
Rhizobium,9.479032380374611e-07,379
Azoarcus,9.479032380374611e-07,12960
Candidatus Accumulibacter,9.479032380374611e-07,327159
Paraoceanicella,9.479032380374611e-07,2683599
Sphingobium,9.479032380374611e-07,165695
Comamonas,9.479032380374611e-07,283
Alicycliphilus,9.479032380374611e-07,201096
Capnocytophaga,9.479032380374611e-07,1016
Orrella,9.479032380374611e-07,1921582
Maribacter,9.479032380374611e-07,252356
Azospirillum,9.479032380374611e-07,191
Komagataeibacter,9.479032380374611e-07,1434011
