Genus,RA,TAX_ID
Vibrio,0.41384247107040023,662
Enterococcus,0.26138178900363757,1350
Listeria,0.20166360687492005,1637
Escherichia,0.023027472486991142,561
Staphylococcus,0.021067352703009537,1279
Neisseria,0.019324912375646423,482
Legionella,0.005318746353869102,445
Aeromonas,0.0035833387474121263,642
unclassified,0.0018010463349142443,12908
Salmonella,0.0015897298162584452,590
Achromobacter,0.00045612218448367437,222
Streptococcus,0.00019390216212631972,1301
Klebsiella,5.458730989048379e-05,570
Enterobacter,4.521034868230252e-05,547
Citrobacter,4.353589132369873e-05,544
Shigella,4.286610838025721e-05,620
Lactococcus,3.047512392658911e-05,1357
Bacillus,2.2437728605290883e-05,1386
Carnobacterium,1.674457358603797e-05,2747
Acinetobacter,1.5405007699154935e-05,469
Paenibacillus,1.4735224755713415e-05,44249
Tetragenococcus,1.3730550340551138e-05,51668
Vagococcus,1.205609298194734e-05,2737
Gordonia,1.1386310038505822e-05,2053
Plasmodium,9.711852679902025e-06,5820
Kosakonia,9.376961208181264e-06,1330547
Shewanella,8.707178264739746e-06,22
Mammaliicoccus,8.037395321298227e-06,2803850
Jeotgalibaca,8.037395321298227e-06,1470540
Bartonella,7.702503849577468e-06,773
Homo,6.36293796269443e-06,9605
Rhodococcus,6.02804649097367e-06,1827
Streptomyces,6.02804649097367e-06,1883
Loigolactobacillus,5.693155019252911e-06,2767889
Leclercia,5.693155019252911e-06,83654
Peptoniphilus,5.358263547532151e-06,162289
Phietavirus,5.023372075811392e-06,1623298
Haemophilus,5.023372075811392e-06,724
Proteus,4.688480604090632e-06,583
Nocardia,4.688480604090632e-06,1817
Longibaculum,4.688480604090632e-06,1918538
Alcaligenes,4.353589132369873e-06,507
Methylobacterium,4.018697660649113e-06,407
Sodalis,4.018697660649113e-06,84565
Pseudomonas,3.683806188928354e-06,286
Raoultella,3.683806188928354e-06,160674
Mycolicibacterium,3.3489147172075944e-06,1866885
Cronobacter,3.3489147172075944e-06,413496
Lacticaseibacillus,3.3489147172075944e-06,2759736
Anaerostipes,3.014023245486835e-06,207244
Lactobacillus,3.014023245486835e-06,1578
Clostridium,3.014023245486835e-06,1485
Kluyvera,3.014023245486835e-06,579
Planococcus,3.014023245486835e-06,1372
Pseudoalteromonas,2.6791317737660755e-06,53246
Halomonas,2.6791317737660755e-06,2745
Atlantibacter,2.6791317737660755e-06,1903434
Cedecea,2.6791317737660755e-06,158483
Mycoplasmopsis,2.344240302045316e-06,2767358
Synechococcus,2.344240302045316e-06,1129
Lelliottia,2.344240302045316e-06,1330545
Priestia,2.344240302045316e-06,2800373
Mycobacterium,2.344240302045316e-06,1763
Lysinibacillus,2.0093488303245566e-06,400634
Helicobacter,2.0093488303245566e-06,209
Buttiauxella,2.0093488303245566e-06,82976
Treponema,2.0093488303245566e-06,157
Jejubacter,2.0093488303245566e-06,2815296
Chryseobacterium,2.0093488303245566e-06,59732
Photobacterium,2.0093488303245566e-06,657
Mucilaginibacter,2.0093488303245566e-06,423349
Phytobacter,2.0093488303245566e-06,447792
Pontibacillus,1.6744573586037972e-06,289201
Faecalibacillus,1.6744573586037972e-06,2678885
Planktothrix,1.6744573586037972e-06,54304
Yersinia,1.6744573586037972e-06,629
Serratia,1.6744573586037972e-06,613
Exiguobacterium,1.3395658868830378e-06,33986
Anoxybacillus,1.3395658868830378e-06,150247
Aureimonas,1.3395658868830378e-06,414371
Polynucleobacter,1.3395658868830378e-06,44013
Rossellomorea,1.3395658868830378e-06,2837508
Heyndrickxia,1.3395658868830378e-06,2837504
Ligilactobacillus,1.3395658868830378e-06,2767887
Microbacterium,1.3395658868830378e-06,33882
Botrytis,1.3395658868830378e-06,33196
Latilactobacillus,1.0046744151622783e-06,2767885
Arcobacter,1.0046744151622783e-06,28196
Desulfopila,1.0046744151622783e-06,429014
Peribacillus,1.0046744151622783e-06,2675229
Companilactobacillus,1.0046744151622783e-06,2767879
Wolbachia,1.0046744151622783e-06,953
Alkalihalobacillus,1.0046744151622783e-06,2675234
Levilactobacillus,1.0046744151622783e-06,2767886
Sporosarcina,1.0046744151622783e-06,1569
Paucilactobacillus,1.0046744151622783e-06,2767890
Leuconostoc,1.0046744151622783e-06,1243
Flavobacterium,1.0046744151622783e-06,237
Xanthomonas,1.0046744151622783e-06,338
Gottschalkia,1.0046744151622783e-06,1505664
Theileria,1.0046744151622783e-06,5873
Pantoea,1.0046744151622783e-06,53335
Tenacibaculum,1.0046744151622783e-06,104267
Mycoplasma,1.0046744151622783e-06,2093
Arcanobacterium,1.0046744151622783e-06,28263
Clostridioides,1.0046744151622783e-06,1870884
Pectobacterium,1.0046744151622783e-06,122277
Pluralibacter,1.0046744151622783e-06,1330546
Saccharothrix,6.697829434415189e-07,2071
Blattabacterium,6.697829434415189e-07,34098
Phifelvirus,6.697829434415189e-07,1623299
