Species,RA,TAX_ID
Vibrio furnissii,0.3902811815774862,29494
Enterococcus faecalis,0.25543344668293344,1351
Listeria monocytogenes,0.1859083026963452,1639
Escherichia coli,0.02084029628518286,562
Neisseria meningitidis,0.01458318402755219,487
Legionella pneumophila,0.005179096610161545,446
Staphylococcus aureus,0.0024678152551102766,1280
Aeromonas hydrophila,0.002317783875779376,644
unclassified,0.0018010463349142443,12908
Salmonella enterica,0.0014999789018372816,28901
Achromobacter xylosoxidans,0.0004109118358013719,85698
Listeria innocua,0.00023274957284592782,1642
Vibrio fluvialis,0.00018318563503125543,676
Enterococcus faecium,0.00015840366612391923,1352
Listeria welshimeri,0.0001346263716317453,1643
Streptococcus pyogenes,0.00012089582129119417,1314
Listeria ivanovii,9.042069736460505e-05,1638
Listeria seeligeri,6.999231758963873e-05,1640
Neisseria gonorrhoeae,4.2196325436815693e-05,485
Escherichia albertii,3.784273630444582e-05,208962
Enterococcus durans,2.9135558039706073e-05,53345
Vibrio parahaemolyticus,2.7126209209381516e-05,670
Enterococcus sp. M190262,2.47819689073362e-05,2582830
Neisseria lactamica,2.444707743561544e-05,486
Escherichia marmotae,2.2102837133570125e-05,1499973
Escherichia fergusonii,2.2102837133570125e-05,564
Klebsiella pneumoniae,2.1433054190128604e-05,573
Streptococcus thermophilus,2.1098162718407847e-05,1308
Staphylococcus schweitzeri,1.9758596831524807e-05,1654388
Enterococcus avium,1.942370535980405e-05,33945
Listeria weihenstephanensis,1.875392241636253e-05,1006155
Vibrio campbellii,1.808413947292101e-05,680
Lactococcus cremoris,1.6409682114317214e-05,1359
Shigella dysenteriae,1.6074790642596453e-05,622
Escherichia sp. E4742,1.5739899170875696e-05,2044467
Vibrio coralliilyticus,1.5739899170875696e-05,190893
Staphylococcus simiae,1.5070116227434176e-05,308354
Enterococcus hirae,1.4065441812271897e-05,1354
Staphylococcus cohnii,1.4065441812271897e-05,29382
Enterococcus phage phiEf11,1.3730550340551138e-05,663241
Staphylococcus haemolyticus,1.3060767397109619e-05,1283
Neisseria cinerea,1.23909844536681e-05,483
Staphylococcus argenteus,1.172120151022658e-05,985002
Tetragenococcus halophilus,1.1051418566785063e-05,51669
Shigella boydii,1.1051418566785063e-05,621
Vibrio vulnificus,1.0716527095064302e-05,672
Carnobacterium maltaromaticum,1.0381635623343543e-05,2751
Shigella flexneri,1.0381635623343543e-05,623
Vibrio casei,1.0381635623343543e-05,673372
Vibrio ziniensis,1.0381635623343543e-05,2711221
Staphylococcus epidermidis,1.0046744151622784e-05,1282
Vibrio cholerae,9.711852679902025e-06,666
Enterococcus cecorum,9.376961208181264e-06,44008
Enterococcus casseliflavus,9.376961208181264e-06,37734
Staphylococcus pseudintermedius,9.042069736460505e-06,283734
Enterobacter kobei,9.042069736460505e-06,208224
Enterococcus gilvus,8.707178264739746e-06,160453
Listeria grayi,8.707178264739746e-06,1641
Paenibacillus sp. JNUCC-31,8.372286793018986e-06,2777983
Plasmodium cynomolgi,8.372286793018986e-06,5827
Bartonella tribocorum,7.702503849577468e-06,85701
Vibrio spartinae,7.367612377856708e-06,1918945
Staphylococcus arlettae,7.032720906135949e-06,29378
Mammaliicoccus sciuri,7.032720906135949e-06,1296
Neisseria polysaccharea,6.697829434415189e-06,489
Vagococcus coleopterorum,6.697829434415189e-06,2714946
