Species,RA,TAX_ID
Escherichia coli,0.527641427502533,562
Shigella flexneri,0.0825950915259626,623
Shigella dysenteriae,0.07972039189734166,622
Neisseria meningitidis,0.05503229960939514,487
Staphylococcus aureus,0.051403088985846355,1280
Neisseria gonorrhoeae,0.026996717601183235,485
Neisseria lactamica,0.02214572566761485,486
Legionella pneumophila,0.020760431592177848,446
Salmonella enterica,0.010050409147067993,28901
Neisseria cinerea,0.008966961929421759,483
Klebsiella pneumoniae,0.008479480740183353,573
Staphylococcus epidermidis,0.005838225199919938,1282
Acinetobacter baumannii,0.00562070354392583,470
Staphylococcus haemolyticus,0.0045302504560396925,1283
Morococcus cerebrosus,0.0039678701449637685,1056807
Neisseria elongata,0.003201258101439736,495
Staphylococcus capitis,0.0031272506358145692,29388
Neisseria mucosa,0.003082200767181005,488
Enterococcus faecalis,0.0025834252659194816,1351
Citrobacter amalonaticus,0.0023455228965001984,35703
Citrobacter freundii,0.0023367337138355915,546
Carnobacterium maltaromaticum,0.0020474549626570133,2751
Klebsiella oxytoca,0.0018792716170796832,571
Acinetobacter pittii,0.0018670431890245782,48296
Enterobacter cloacae,0.0017398335693957771,550
Kluyvera intermedia,0.0017182215212011645,61648
Staphylococcus cohnii,0.001649988591046464,29382
Enterobacter aerogenes,0.0014785782991768145,548
Staphylococcus warneri,0.0013309879661228385,1292
Enterococcus durans,0.0013156175114146856,53345
Staphylococcus lugdunensis,0.001247002442883263,28035
Staphylococcus saprophyticus,0.0012250931759511998,29385
Moraxella catarrhalis,0.0011223404124326088,480
Enterobacter lignolyticus,0.00111397582796436,1334193
Ruminococcus sp. Zagget7,0.0010942320118337216,1930001
Lelliottia amnigena,0.0010710064904929492,61646
Raoultella ornithinolytica,0.001040562799814094,54291
Yersinia pestis,0.0010311791796745863,632
Kluyvera ascorbata,0.001014917068754082,51288
Staphylococcus schleiferi,0.0009315259829894074,1295
Kluyvera cryocrescens,0.0008984922433127694,580
Trabulsiella odontotermitis,0.0008713604185655052,379893
Pantoea sp. PSNIH2,0.0008629533742776205,1484157
Aeromonas hydrophila,0.000840534589509928,644
Staphylococcus simiae,0.0008361187682678066,308354
Leclercia adecarboxylata,0.0008331890407129377,83655
Kosakonia sacchari,0.000831787866664957,1158459
Yokenella regensburgei,0.000818965001134951,158877
Cronobacter sakazakii,0.0008095813809954433,28141
Staphylococcus hominis,0.0007945930646640124,1290
Eikenella corrodens,0.0007491610576537264,539
Staphylococcus sp. DORA_6_22,0.0007074230549517533,1403935
Pluralibacter gergoviae,0.0006556220749961001,61647
Aerococcus viridans,0.0006380012498472508,1377
Staphylococcus pettenkoferi,0.0006072178806113093,170573
Kingella denitrificans,0.0005936307383278593,502
Neisseria weaveri,0.0005847990958436168,28091
Staphylococcus pseudintermedius,0.0005774110872269908,283734
Enterobacter sp. 638,0.00056514019935225,399742
Acinetobacter venetianus,0.0005549498426396625,52133
Streptococcus mitis,0.0005530816105756881,28037
Klebsiella sp. RIT-PI-d,0.0005529966909364165,1681196
Kingella kingae,0.0005199204914401428,504
Escherichia vulneris,0.0005132542997573252,566
Staphylococcus simulans,0.00046022198503223424,1286
Propionibacterium namnetense,0.00045223953894070733,1574624
Neisseria bacilliformis,0.00043466117361149387,267212
Shimwellia blattae,0.0004321985040726185,563
Atlantibacter hermannii,0.0004228573437527466,565
Franconibacter pulveris,0.00042115895096731535,435910
Cedecea neteri,0.00039063034064918854,158822
Listeria monocytogenes,0.00037742533674246055,1639
Siccibacter turicensis,0.00036587626580152804,357233
Lactobacillus amylotrophicus,0.00035186452532172017,376807
Haemophilus influenzae,0.00031577367863130603,727
Corynebacterium diphtheriae,0.00031224951360153615,1717
Staphylococcus arlettae,0.0002935247331421566,29378
Jeotgalibaca sp. PTS2502,0.0002930152153065272,1903686
Enterococcus sp. HMSC064A12,0.0002911469832425528,1715019
Staphylococcus sp. HMSC062B11,0.0002793431533838056,1739493
Bergeriella denitrificans,0.00027739000168055963,494
Obesumbacterium proteus,0.00027301664025807415,82983
Neisseria sp. 74A18,0.00026524649326472617,1696094
Staphylococcus succinus,0.0002451205387573658,61015
Staphylococcus gallinarum,0.00024189359246504645,1293
Staphylococcus condimenti,0.00023234013304699564,70255
Staphylococcus xylosus,0.00022796677162451016,1288
Staphylococcus hyicus,0.0002239755485787467,1284
Mangrovibacter sp. MFB070,0.0002216827183184145,1224318
Staphylococcus equorum,0.0002207910621060631,246432
Kingella oralis,0.00021832839256718777,505
Methyloglobulus morosus,0.0002165026203228492,1410681
Edwardsiella ictaluri,0.00020775589747787823,67780
Macrococcus caseolyticus,0.00020172660308959728,69966
Simonsiella muelleri,0.00020087740669688165,72
Staphylococcus vitulinus,0.0001993913130096293,71237
Buttiauxella ferragutiae,0.00019497549176750802,82989
Streptobacillus notomytis,0.0001939139962766135,1712031
Staphylococcus massiliensis,0.0001852097332512783,555791
Enterobacteriaceae bacterium LSJC7,0.00017722728715975142,1224136
Enteractinococcus helveticum,0.00017374558194961734,1837282
Vitreoscilla sp. SN6,0.00017353328285143845,1689272
Pedobacter glucosidilyticus,0.00016627265369371984,1122941
Snodgrassella alvi,0.00015960646201090215,1196083
Jeotgalicoccus marinus,0.00015570015860441028,516700
Lamprocystis purpurea,0.00015068989988738807,61598
Staphylococcus auricularis,0.0001506474400677523,29379
Lactobacillus curvatus,0.00014368402964748414,28038
Dyella-like sp. DHo,0.00014228285559950336,1664276
Lactobacillus vaginalis,0.00014177333776387398,1633
Serratia rubidaea,0.00013926820840536288,61652
Bacillus coahuilensis,0.00013833409237337568,408580
Aliicoccus persicus,0.00013752735580029586,930138
Methanosarcina mazei,0.00013612618175231505,2209
Yersinia enterocolitica,0.00013472500770433428,630
Neisseria shayeganii,0.0001328567756403599,607712
Pantoea sp. IMH,0.00013251709708327365,1267600
Erwinia tracheiphila,0.00013120084267456442,65700
Aeromonas veronii,0.00013026672664257722,654
Raphidiopsis brookii,0.00012984212844621942,668331
Pantoea rwandensis,0.00012597828485936332,1076550
Haemophilus parainfluenzae,0.00012597828485936332,729
Acinetobacter gerneri,0.0001237703742383027,202952
Neisseria wadsworthii,0.0001223267403706861,607711
Serratia marcescens,0.00011383477644352984,615
Aeromonas salmonicida,0.00011311295950972155,645
Serratia fonticola,0.00011082012924938936,47917
Morganella morganii,0.00011069274979048202,582
Pantoea ananatis,0.00011060783015121046,553
Neisseria arctica,0.00010988601321740217,1470200
Bacillus sp. 916,0.00010844237934978561,1007654
Dickeya dadantii,0.00010729596421961951,204038
Erwinia oleae,0.00010610708926981763,796334
Aquabacterium parvum,0.00010330474117385607,70584
Acinetobacter junii,0.00010313490189531294,40215
Erwinia billingiae,0.00010309244207567715,182337
Plautia stali symbiont,0.00010232816532223309,891974
Acinetobacter indicus,0.00010007779488153667,756892
Dolosicoccus paucivorans,9.944089758699996e-05,84521
Candidatus Endobugula sertula,9.786988426047605e-05,62101
Moraxella nonliquefaciens,9.472785760742823e-05,478
Megasphaera cerevisiae,9.421833977179886e-05,39029
Serratia liquefaciens,9.307192464163275e-05,614
Acinetobacter bereziniae,9.043941582421431e-05,106648
Enterococcus faecium,8.899578195659774e-05,1352
Couchioplanes caeruleus,8.895332213696196e-05,56438
Gilliamella apicola,8.88684024976904e-05,1196095
Pantoea dispersa,8.878348285841884e-05,59814
Pectobacterium carotovorum,8.801920610497477e-05,554
Pantoea agglomerans,8.759460790861696e-05,549
Erwinia typographi,8.738230881043805e-05,371042
Erwinia amylovora,8.712754989262336e-05,552
Acinetobacter lwoffii,8.300894738795257e-05,28090
Enterococcus gallinarum,8.27117286505021e-05,1353
Brenneria goodwinii,8.249942955232319e-05,1109412
Rahnella aquatilis,8.186253225778647e-05,34038
Aeromonas enteropelogenes,8.173515279887913e-05,29489
Pantoea septica,8.1565313520336e-05,472695
Sanguibacteroides justesenii,7.95272421778185e-05,1547597
Erwinia iniecta,7.918756362073225e-05,1560201
Nosocomiicoccus massiliensis,7.876296542437444e-05,1232430
Chromobacterium violaceum,7.630029588549911e-05,536
Pseudovibrio stylochi,7.464436291970365e-05,1807766
Novosphingobium lindaniclasticum,7.082297915248332e-05,1329895
Tatumella morbirosei,7.065313987394019e-05,642227
Oceanospirillum linum,7.03983809561255e-05,966
Staphylococcus microti,6.9719023841953e-05,569857
Erwinia toletana,6.967656402231722e-05,92490
Nissabacter archeti,6.954918456340988e-05,1917880
Gallibacterium anatis,6.793571141725019e-05,750
Acinetobacter soli,6.780833195834284e-05,487316
Aeromonas eucrenophila,6.776587213870706e-05,649
Streptococcus suis,6.763849267979971e-05,1307
Crocosphaera watsonii,6.691667574599144e-05,263511
Salinicoccus albus,6.661945700854096e-05,418756
Izhakiella sp. D4N98,6.632223827109049e-05,1926881
bacteria symbiont BFo1 of Frankliniella occidentalis,6.598255971400424e-05,1628855
Acinetobacter johnsonii,6.504844368201705e-05,40214
Bacillus thermotolerans,6.394448837148673e-05,1221996
Serratia odorifera,6.262823396277752e-05,618
Acinetobacter radioresistens,6.0675082259531575e-05,40216
Conchiformibius steedae,6.042032334171688e-05,153493
Acinetobacter parvus,6.0292943882809536e-05,134533
Chania multitudinisentens,5.944374749009391e-05,1639108
Staphylococcus lentus,5.821241272065625e-05,42858
Erwinia sp. Leaf53,5.7617975245755315e-05,1736225
Alysiella crassa,5.676877885303969e-05,153491
Lactobacillus oryzae,5.579220300141671e-05,1202668
Capnocytophaga gingivalis,5.5197765526515774e-05,1017
Streptobacillus hongkongensis,5.4560868231979055e-05,1162717
Sodalis praecaptivus,5.3923970937442336e-05,1239307
Plesiomonas shigelloides,5.341445310181296e-05,703
Acinetobacter tandoii,5.3202154003634054e-05,202954
Acinetobacter haemolyticus,5.307477454472671e-05,29430
Acinetobacter gyllenbergii,5.303231472509093e-05,134534
Acinetobacter brisouii,5.226803797164686e-05,396323
Serratia sp. ATCC 39006,5.167360049674592e-05,104623
Acinetobacter beijerinckii,5.0866863923666076e-05,262668
Jeotgalicoccus halophilus,5.0866863923666076e-05,586411
Hafnia sp. HMSC23F03,5.0824404104030295e-05,1581059
Ewingella americana,5.0824404104030295e-05,41202
Acinetobacter sp. COS3,5.069702464512295e-05,1397525
Salinicoccus sp. YB14-2,5.027242644876514e-05,1572701
Dickeya solani,4.9847828252407325e-05,1089444
Conchiformibius kuhniae,4.9550609514956856e-05,211502
Acinetobacter ursingii,4.9550609514956856e-05,108980
Bibersteinia trehalosi,4.789467654916138e-05,47735
Tyzzerella nexilis,4.7767297090254035e-05,29361
Pragia fontium,4.619628376373013e-05,82985
Tumebacillus flagellatus,4.594152484591544e-05,1157490
Yersinia ruckeri,4.5134788272835595e-05,29486
Enhygromyxa salina,4.496494899429247e-05,215803
Nitrosomonas eutropha,4.4667730256841994e-05,916
Acinetobacter towneri,4.445543115866309e-05,202956
Acinetobacter bohemicus,4.390345350339793e-05,1435036
Serratia symbiotica,4.195030180015199e-05,138074
Sodalis glossinidius,4.152570360379418e-05,63612
Erwinia persicina,4.1440783964522616e-05,55211
Haemophilus parasuis,4.1101105407436365e-05,738
Prevotella pallens,4.008206973617761e-05,60133
Lonsdalea quercina,3.9954690277270264e-05,71657
Bacteroidales bacterium H10,3.923287334346198e-05,1807758
Cardiobacterium hominis,3.829875731147479e-05,2718
Providencia rettgeri,3.7746779656209636e-05,587
Erwinia mallotivora,3.7407101099123386e-05,69222
Rappaport israeli,3.6303145788593066e-05,1839807
Aeromonas schubertii,3.62182261493215e-05,652
Rouxiella chamberiensis,3.604838687077838e-05,1513468
Prevotella nigrescens,3.545394939587744e-05,28133
Tetragenococcus halophilus,3.4689672642433377e-05,51669
Piscirickettsia salmonis,3.439245390498291e-05,1238
Xenorhabdus poinarii,3.4265074446075564e-05,40577
Morganella psychrotolerans,3.405277534789666e-05,368603
Dickeya paradisiaca,3.388293606935353e-05,69223
Xenorhabdus bovienii,3.375555661044619e-05,40576
Vitreoscilla stercoraria,3.375555661044619e-05,61
Stenoxybacter acetivorans,3.3628177151538844e-05,422441
