Species,RA,TAX_ID
Salmonella enterica,0.17230842816222364,28901
Klebsiella pneumoniae,0.16690026068707103,573
Acinetobacter baumannii,0.12644961637242816,470
Escherichia coli,0.12171148137423458,562
Legionella pneumophila,0.0494576698716923,446
Acinetobacter pittii,0.04239866421492552,48296
Shigella flexneri,0.029623706059422463,623
Shigella dysenteriae,0.029144436677255834,622
Achromobacter xylosoxidans,0.026705001790994595,85698
Enterobacter aerogenes,0.015359176350697177,548
Streptococcus pyogenes,0.01498140951467324,1314
Klebsiella oxytoca,0.010965263187523111,571
Yersinia pestis,0.010800333599251368,632
Citrobacter freundii,0.008186811725018903,546
Citrobacter amalonaticus,0.007050908587558815,35703
Raoultella ornithinolytica,0.0069865176086192915,54291
Acinetobacter venetianus,0.006207945846801137,52133
Enterobacter cloacae,0.005894473596035675,550
Kluyvera intermedia,0.005343487315169936,61648
Enterobacter lignolyticus,0.005118504463605795,1334193
Lelliottia amnigena,0.0038142015653562654,61646
Kluyvera ascorbata,0.003774005400359587,51288
Kluyvera cryocrescens,0.0035404435111822453,580
Cronobacter sakazakii,0.0034715220292335044,28141
Trabulsiella odontotermitis,0.003450026238359981,379893
Pluralibacter gergoviae,0.003358645028727245,61647
Kosakonia sacchari,0.0032833615638293893,1158459
Yokenella regensburgei,0.003132698240352631,158877
Leclercia adecarboxylata,0.002992734615472111,83655
Streptobacillus notomytis,0.0028995219258994786,1712031
Acinetobacter gerneri,0.002813056794000149,202952
Pantoea sp. PSNIH2,0.0024939937097339495,1484157
Acinetobacter junii,0.0023998170833508447,40215
Streptococcus dysgalactiae,0.002286361720758302,1334
Acinetobacter indicus,0.0022010533130315387,756892
Acinetobacter bereziniae,0.0021485187568608204,106648
Enterobacter sp. 638,0.002091068122956695,399742
Escherichia vulneris,0.0020605113260647357,566
Klebsiella sp. RIT-PI-d,0.002027641080827644,1681196
Acinetobacter lwoffii,0.001983589168589078,28090
Aeromonas hydrophila,0.0019491766244552312,644
Franconibacter pulveris,0.0017041438872332738,435910
