Species,RA,TAX_ID
Escherichia,0.387989272374401,561
Shigella,0.20097579564508533,620
Achromobacter,0.13468321561488752,222
Streptococcus,0.09293825769221871,1301
Listeria,0.04052116858399236,1637
Enterococcus,0.04038440101115243,1350
Legionella,0.02329169023201788,445
Bordetella,0.00895606487334681,517
Cronobacter,0.00482585675096011,413496
Pantoea,0.004672478605393572,53335
Vibrio,0.00461169900973482,662
Citrobacter,0.0038791080359739704,544
Klebsiella,0.0033650970987747168,570
Kluyvera,0.0033476236391532122,579
Salmonella,0.0029142386961951597,590
Enterobacter,0.002242427318093061,547
Cupriavidus,0.0014811992855080789,106589
Aeromonas,0.0014773702249120085,642
Lactobacillus,0.0011088096599324996,1578
Lelliottia,0.001021172709670325,1330545
Raoultella,0.0010154560839916846,160674
Yersinia,0.0009990612329887915,629
Haemophilus,0.0009800777213012312,724
Ruminococcus,0.0008765312939145387,1263
Pseudomonas,0.000838456409677557,286
Leclercia,0.0008127855245546061,83654
Comamonas,0.0006841075163542684,283
Xenorhabdus,0.0006768269081786415,626
Acinetobacter,0.0006729439171516406,469
Trabulsiella,0.0006349768937765199,158851
Shewanella,0.000634221867743492,22
Candidimonas,0.0006169641298457099,1074468
Tistrella,0.0006148608430394177,171436
Gallibacterium,0.0006024029134944562,155493
Orrella,0.0006014321657377061,1921582
Ralstonia,0.0006010007222902614,48736
Kosakonia,0.0005894056796401891,1330547
Desulfotalea,0.00057527590673638,109168
Yokenella,0.0005689121158865729,158876
Lachnoclostridium,0.0005646516118430579,1506553
Bacillus,0.0005521936822980965,1386
Erysipelatoclostridium,0.000544751282829678,1505663
Lampropedia,0.0005337494749198419,198705
Nitrosomonas,0.000523340901750242,914
Herbaspirillum,0.0005022541032563895,963
Acidovorax,0.0004864524869937328,12916
Erwinia,0.00048327059156882924,551
Xenophilus,0.0004794415309727588,151754
Serratia,0.0004400723163934434,613
Luteimonas,0.00042691329124638455,83614
Pluralibacter,0.0004170440223860904,1330546
