Species,RA,TAX_ID
Escherichia coli,0.38716953146836236,562
Achromobacter xylosoxidans,0.1288577139304229,85698
Shigella dysenteriae,0.10240062465785832,622
Shigella flexneri,0.09833001733419093,623
Streptococcus pyogenes,0.0700112571783432,1314
Enterococcus faecalis,0.038602496099793576,1351
Listeria monocytogenes,0.03748437318459214,1639
Legionella pneumophila,0.02317037455824907,446
Streptococcus dysgalactiae,0.010488852624795967,1334
Achromobacter denitrificans,0.005661069570374817,32002
Cronobacter sakazakii,0.0048199188119305725,28141
Pantoea sp. PSNIH2,0.004270714589780374,1484157
Salmonella enterica,0.002910685420981788,28901
Streptococcus agalactiae,0.0027922908662263803,1311
Vibrio fluvialis,0.002413245151115459,676
Listeria innocua,0.00234316720946997,1642
Citrobacter freundii,0.0021216756675435655,546
Citrobacter amalonaticus,0.001752702646581535,35703
Klebsiella oxytoca,0.0014828406268706192,571
Bordetella bronchiseptica,0.0014383484056568034,518
Streptococcus ictaluri,0.0014015588329097865,380397
Bordetella petrii,0.0013771042706445657,94624
Bordetella parapertussis,0.00137214872058201,519
Bordetella pertussis,0.001296253394080477,520
Kluyvera intermedia,0.0012607027088490988,61648
Cupriavidus metallidurans,0.0011782897567218131,119219
Kluyvera cryocrescens,0.0011522192542188026,580
Enterobacter cloacae,0.0011153219521225994,550
Bordetella hinzii,0.0011014248660776063,103855
Lelliottia amnigena,0.0010198737487438084,61646
Raoultella ornithinolytica,0.0010141640932369508,54291
Aeromonas hydrophila,0.0009572829968667458,644
Kluyvera ascorbata,0.0009305122535940262,51288
Yersinia pestis,0.0008889825894828254,632
Bordetella trematum,0.0008841886334440486,123899
Ruminococcus sp. Zagget7,0.0008735234278746351,1930001
Klebsiella pneumoniae,0.0008288157479624475,573
Leclercia adecarboxylata,0.0008117945107910604,83655
Streptococcus urinalis,0.000744732990922779,149016
Enterobacter lignolyticus,0.000742847727312024,1334193
Bordetella sp. N,0.0007204400226813372,1746199
Enterobacter aerogenes,0.0006710461160795587,548
Trabulsiella odontotermitis,0.0006342026786579487,379893
Enterococcus durans,0.0006325328737455658,53345
Streptococcus pseudoporcinus,0.0006258536540960342,361101
Streptococcus iniae,0.0006229988263426053,1346
Candidimonas bauzanensis,0.0006162118773438876,658167
Tistrella mobilis,0.0006141111550347607,171437
Streptococcus uberis,0.0006022609266243013,1349
Gallibacterium anatis,0.0006016145505291854,750
Streptococcus thermophilus,0.0006009143097594765,1308
Orrella dioscoreae,0.0006006988510611045,1851544
Xenorhabdus nematophila,0.0006001063396405815,628
Kosakonia sacchari,0.0005886870286268661,1158459
Lactobacillus sakei,0.0005802841393903586,1599
Haemophilus ducreyi,0.0005782911464304177,730
Desulfotalea psychrophila,0.0005745206192089078,84980
Shewanella pealeana,0.0005685955050036782,70864
Yokenella regensburgei,0.0005682184522815271,158877
Clostridium scindens,0.0005620240147033325,29347
Erysipelatoclostridium ramosum,0.0005438177546908994,1547
Lampropedia cohaerens,0.000533098684446893,1610491
Eubacterium dolichum,0.0005210329973380617,31971
Streptococcus parauberis,0.0005187706810051558,1348
Listeria seeligeri,0.000514946289109053,1640
Nitrosomonas eutropha,0.0004987868867311539,916
Xenophilus azovorans,0.00047885695713174484,151755
Ralstonia mannitolilytica,0.00043495724733845216,105219
Bordetella holmesii,0.0004273084635462466,35814
Pluralibacter gergoviae,0.00041653552862764713,61647
Luteimonas huabeiensis,0.00040290776595561885,1244513
Streptococcus halotolerans,0.00039278120713213537,1814128
Streptococcus didelphis,0.0003851862880145228,102886
Enterobacter sp. 638,0.00038152349014219895,399742
Bacillus coahuilensis,0.000381254166769234,408580
Pseudomonas alcaligenes,0.0003769449928017942,43263
Klebsiella sp. RIT-PI-d,0.0003751674585402253,1681196
Herbaspirillum chlorophenolicum,0.00036891915628743763,211589
Haemophilus sputorum,0.00036159356054279003,1078480
Escherichia vulneris,0.00034634985763297183,566
Hydrogenophaga intermedia,0.00033229117756419953,65786
Bordetella sp. FB-8,0.00032782040957298077,1159870
Shimwellia blattae,0.00031957911436025224,563
Comamonas granuli,0.0003175861214003113,290309
Streptococcus phocae,0.0003085907207432808,119224
Streptococcus salivarius,0.0003029887945856091,1304
Lamprocystis purpurea,0.0003026656065380511,61598
Acinetobacter bereziniae,0.0003025578771888651,106648
Microcystis aeruginosa,0.00030029556085595923,1126
Atlantibacter hermannii,0.00029959532008625025,565
Franconibacter pulveris,0.0002992182673640993,435910
Aquabacterium parvum,0.00027492529912265755,70584
Cedecea neteri,0.0002700774784092878,158822
Parvibaculum lavamentivorans,0.00026442168757702313,256618
Methanosarcina mazei,0.00026366758213272113,2209
Siccibacter turicensis,0.00026183618319655926,357233
Sanguibacteroides justesenii,0.00025477991082487663,1547597
Streptococcus henryi,0.00024503040472354415,439219
Vibrio alginolyticus,0.00023727389158215254,663
Streptococcus gallolyticus,0.0002327492589163408,315405
Castellaniella defragrans,0.0002303253485596559,75697
Stenotrophomonas acidaminiphila,0.00022536979849710018,128780
Acidovorax ebreus,0.0002250466104495422,721785
Streptococcus suis,0.0002229458881404153,1307
Brachymonas chironomi,0.00020064591285891446,491919
Vibrio vulnificus,0.0001882031730279321,672
Vibrio tubiashii,0.00018588699202043324,29498
Enterococcus faecium,0.00018507902190153828,1352
Mangrovibacter sp. MFB070,0.00018238578817188843,1224318
Ideonella sakaiensis,0.00017990801314061056,1547922
Streptococcus mutans,0.00017845366692659963,1309
Vibrio parahaemolyticus,0.00016272518194544445,670
Streptococcus intermedius,0.00016040900093794558,1338
Streptococcus gordonii,0.00015987035419201561,1302
Vibrio cholerae,0.00015550731554998283,666
Nissabacter archeti,0.00014715829098806827,1917880
Aeromonas veronii,0.0001466735089167313,654
Methyloglobulus morosus,0.00014177182352876857,1410681
Diaphorobacter nitroreducens,0.00013703173216458482,164759
Obesumbacterium proteus,0.00013590057399813187,82983
Enterococcus avium,0.00013482328050627192,33945
Buttiauxella ferragutiae,0.00013099888861016913,82989
Vibrio metschnikovii,0.00013019091849127417,28172
Acinetobacter venetianus,0.00012916748967400723,52133
Massilia timonae,0.00012862884292807723,47229
Streptococcus porci,0.00012862884292807723,502567
Cupriavidus taiwanensis,0.00012631266192057836,164546
Streptococcus parasanguinis,0.0001256662858254624,1318
Vibrio campbellii,0.00012475058635738146,680
Aeromonas salmonicida,0.00012442739830982347,645
Enterococcus massiliensis,0.00012291918742121956,1640685
Enterobacteriaceae bacterium LSJC7,0.00012065687108831367,1224136
Lactobacillus vaginalis,0.00011699407321598986,1633
Kerstersia gyiorum,0.00011510880960523495,206506
Streptococcus caballi,0.000114139245462561,439220
Enterococcus italicus,0.00011386992208959602,246144
Streptococcus mitis,0.00011112282368535317,28037
Streptococcus sanguinis,0.00010993780084430723,1305
Vibrio sp. JCM 18905,0.00010923756007459827,1298600
Enterococcus haemoperoxidus,0.00010713683776547137,155618
Bibersteinia trehalosi,0.00010568249155146045,47735
Acidovorax radicis,0.00010406655131367054,758826
Morganella morganii,0.00010115785888564869,582
Streptococcus plurextorum,0.00010045761811593973,456876
Acinetobacter baumannii,0.00010018829474297473,470
Comamonas testosteroni,9.954191864785878e-05,285
Pedobacter glucosidilyticus,9.954191864785878e-05,1122941
