Species,RA,TAX_ID
Enterococcus,0.4022808803331551,1350
Listeria,0.39979473310690744,1637
Escherichia,0.06488340240498736,561
Vibrio,0.04511353393364787,662
Legionella,0.023443098803579872,445
Shigella,0.01996736417728408,620
Neisseria,0.013983971847424708,482
Staphylococcus,0.009207275117581383,1279
Lactobacillus,0.001691788496544695,1578
Aeromonas,0.0015865558673227433,642
Photobacterium,0.0008466059920070651,657
Carnobacterium,0.0008462369397001745,2747
Streptococcus,0.0007635692229566773,1301
Bacillus,0.0007318307245640847,1386
Clostridium,0.0006605509075760692,1485
Kluyvera,0.0006586529242834889,579
Bavariicoccus,0.0006025042518779885,697279
Citrobacter,0.000515407907451804,544
Salmonella,0.0004918940033270593,590
Klebsiella,0.0004821404780735217,570
Aliivibrio,0.0004711743523830577,511678
Atopostipes,0.00045261629352227265,292480
Morococcus,0.00043727426190724863,212742
Lactococcus,0.000427520736653711,1357
Enterobacter,0.0003651508967891975,547
Tetragenococcus,0.00034596017683088563,51668
Pediococcus,0.0003162251052471277,1253
Clostridioides,0.0003082113980117887,1870884
Pantoea,0.00026102542448791754,53335
Salinivibrio,0.00025643863153084845,51366
Shewanella,0.000247634097923601,22
Peptostreptococcus,0.00021526293843348156,1257
Aerococcus,0.0002054566914218167,1375
Trichococcus,0.00020097534198100213,82802
Melissococcus,0.00019195992134124574,33969
Pseudoalteromonas,0.0001720838185272799,53246
Grimontia,0.00016359561546879582,246861
Achromobacter,0.00016227757151561506,222
Kingella,0.0001415579205716135,32257
Moraxella,0.000138236449809598,475
Ruminococcus,0.0001337023786106562,1263
Serratia,0.00013185711707620312,613
Tyzzerella,0.00012716488060287963,1506577
Jeotgalibaca,0.0001240015751152458,1470540
Ferrimonas,0.00011730591183308755,44011
Yersinia,0.00011567153733114342,629
Lelliottia,0.00011561881557301618,1330545
Alteromonas,0.00011493343271736219,226
Raoultella,0.0001099248656952753,160674
Haemophilus,9.205218969014421e-05,724
Cronobacter,9.131408507636299e-05,413496
Pluralibacter,9.120864156010853e-05,1330546
Erwinia,9.115591980198129e-05,551
Kosakonia,9.010148463943669e-05,1330547
Eubacterium,8.551469168236764e-05,1730
Trabulsiella,8.45657000360775e-05,158851
Enterovibrio,8.382759542229628e-05,188143
Leclercia,7.950441125586338e-05,83654
Eikenella,7.776459323766479e-05,538
Yokenella,7.713193214013802e-05,158876
Catenovulum,6.948727721168962e-05,1172191
Kurthia,6.700935457970979e-05,1649
Acinetobacter,6.674574578907363e-05,469
Idiomarina,6.590219765903795e-05,135575
Alloscardovia,6.584947590091072e-05,419014
Marinomonas,6.326610975267643e-05,28253
Atopococcus,5.994463899066092e-05,269773
Ignavigranum,5.477790669419234e-05,89092
Arcanobacterium,5.256359285284867e-05,28263
Psychromonas,5.256359285284867e-05,67572
Butyrivibrio,5.224726230408529e-05,830
Tolumonas,5.161460120655853e-05,43947
Brevibacillus,5.129827065779514e-05,55080
Leuconostoc,5.092921835090453e-05,1243
Shimwellia,5.050744428588669e-05,1335483
Rummeliibacillus,5.024383549525053e-05,648802
Morganella,4.982206143023269e-05,581
Cutibacterium,4.6131538361326563e-05,1912216
Corynebacterium,4.449716385938243e-05,1716
Lysinibacillus,4.4286276826873506e-05,400634
Atlantibacter,4.186107595302091e-05,1903434
Weissella,4.1333858371748604e-05,46255
Macrococcus,4.1281136613621376e-05,69965
