Species,RA,TAX_ID
Enterococcus faecalis,0.38520639988430005,1351
Listeria monocytogenes,0.37085474904678795,1639
Escherichia coli,0.06481167295922073,562
Vibrio fluvialis,0.02462613353201339,676
Legionella pneumophila,0.02334791072342077,446
Listeria innocua,0.02259695745866621,1642
Shigella flexneri,0.010152152365508054,623
Shigella dysenteriae,0.009809195256176365,622
Enterococcus durans,0.0065469126006985215,53345
Neisseria meningitidis,0.006344732875572293,487
Staphylococcus aureus,0.006046997404446626,1280
Listeria seeligeri,0.005039155719393515,1640
Neisseria gonorrhoeae,0.003176688319293016,485
Neisseria lactamica,0.002549330324460511,486
Vibrio alginolyticus,0.0020325492491574176,663
Vibrio vulnificus,0.0018957248053545794,672
Enterococcus faecium,0.0018167187031741267,1352
Vibrio tubiashii,0.0016301926220422913,29498
Vibrio cholerae,0.0015210914669298587,666
Vibrio parahaemolyticus,0.0014632204194354379,670
Vibrio metschnikovii,0.001316803506922231,28172
Enterococcus massiliensis,0.0012402218748553883,1640685
Enterococcus avium,0.0012379555223578837,33945
Vibrio campbellii,0.0012079131752979384,680
Enterococcus italicus,0.001123004015449567,246144
Aeromonas hydrophila,0.0010172233302753386,644
Neisseria cinerea,0.001014693448417659,483
Enterococcus haemoperoxidus,0.0010072619204607252,155618
Vibrio sp. JCM 18905,0.0010003574512241413,1298600
Vibrio nigripulchritudo,0.0008921522959363035,28173
Vibrio anguillarum,0.0008902021786710087,55601
Vibrio coralliilyticus,0.0008867235911166994,190893
Vibrio orientalis,0.0008661683010230526,28175
Vibrio proteolyticus,0.0008359678363470024,671
Vibrio diazotrophicus,0.0007104751550316873,685
Staphylococcus epidermidis,0.0006725796330385284,1282
Bavariicoccus seileri,0.0006023227056158845,549685
Vibrio scophthalmi,0.0005787631808162432,45658
Enterococcus mundtii,0.0005614756547887659,53346
Staphylococcus haemolyticus,0.0005532008328792723,1283
Enterococcus dispar,0.0005475613045715282,44009
Salmonella enterica,0.000491745786086472,28901
Atopostipes suicloacalis,0.0004524799114204032,180295
Clostridium ihumii,0.0004451010893355044,1470356
Morococcus cerebrosus,0.00043714250265822067,1056807
Enterococcus asini,0.0004131613308822995,57732
Enterococcus sulfureus,0.00040773262606269534,1356
Staphylococcus capitis,0.00038870580625806334,29388
Vibrio breoganii,0.0003882841592817834,553239
Neisseria elongata,0.0003713655743585511,495
Kluyvera cryocrescens,0.0003611933410557977,580
Enterococcus gilvus,0.00035460510705142374,160453
Neisseria mucosa,0.00034322063869186555,488
Lactococcus lactis,0.0003222437016219389,1358
Vibrio tasmaniensis,0.0003157081734895999,212663
Vibrio bivalvicida,0.0003156554676175649,1276888
Clostridioides difficile,0.00030743335158010625,1496
Carnobacterium maltaromaticum,0.00030163570565625714,2751
Enterococcus casseliflavus,0.00029604888322054806,37734
Enterococcus phoeniculicola,0.000289987707936524,154621
Vibrio pacinii,0.0002855604146855847,170674
Vibrio mexicanus,0.0002783397102167908,1004326
Citrobacter freundii,0.00026579571267246286,546
Citrobacter amalonaticus,0.0002494568923416154,35703
Enterococcus columbae,0.00024682159873986583,1355
Tetragenococcus halophilus,0.00024307948182538143,51669
Enterococcus gallinarum,0.00023548983625234265,1353
Listeria newyorkensis,0.00023464654229978277,1497681
Aliivibrio salmonicida,0.00023290724852262807,40269
Enterococcus sp. HMSC064A12,0.0002289016022479687,1715019
Carnobacterium gallinarum,0.0002251594853334843,2749
Vibrio mediterranei,0.0002155670166231158,689
Staphylococcus cohnii,0.00020407713651948763,29382
Vibrio maritimus,0.000195380667633714,990268
Aerococcus viridans,0.00019258725641585944,1377
Melissococcus plutonius,0.00019190208007940457,33970
Kluyvera intermedia,0.00019126960961498465,61648
Klebsiella oxytoca,0.00019063713915056475,571
Lactobacillus amylotrophicus,0.00018905596298951502,376807
Photobacterium damselae,0.00018731666921236028,38293
Listeria grayi,0.00018172984677665118,1641
Enterococcus pallens,0.0001802540823596714,160454
Enterobacter cloacae,0.00017951620015118152,550
Vibrio crassostreae,0.00017535243626041718,246167
Streptococcus pseudoporcinus,0.00017292796614680757,361101
Vibrio litoralis,0.00017050349603319796,335972
Aeromonas veronii,0.00016908043748825317,654
Lactobacillus curvatus,0.00016881690812807823,28038
Listeria booriae,0.00016744655545516843,1552123
Lactobacillus concavus,0.00016612890865429366,287844
Staphylococcus warneri,0.00015537691075915536,1292
Achromobacter xylosoxidans,0.00015342679349386067,85698
Enterococcus saccharolyticus,0.00015168749971670594,41997
Listeria rocourtiae,0.00014979008832344623,647910
Salinivibrio socompensis,0.0001479980886742565,1510206
Staphylococcus saprophyticus,0.00014646961838524176,29385
Staphylococcus lugdunensis,0.0001463642066411718,28035
Aeromonas salmonicida,0.00014003950199697278,645
Listeria weihenstephanensis,0.00014003950199697278,1006155
Clostridium cadaveris,0.00013851103170795803,1529
Vibrio genomosp. F6,0.0001330823268883539,723172
Photobacterium ganghwense,0.00013229173880782903,320778
Ruminococcus sp. Zagget7,0.00013155385659933914,1930001
Aliivibrio fischeri,0.00012828609253316966,668
Tyzzerella nexilis,0.00012691573986025988,29361
Enterobacter aerogenes,0.00012612515177973498,548
Listeria floridensis,0.0001248075049788602,1494962
Jeotgalibaca sp. PTS2502,0.00012396421102630034,1903686
Lactobacillus plantarum,0.0001191679766711161,1590
Moraxella catarrhalis,0.00011895715318297613,480
Pediococcus damnosus,0.00011869362382280117,51663
Grimontia hollisae,0.00011821927097448625,673
Trichococcus flocculiformis,0.00011695433004564644,82803
Lelliottia amnigena,0.00011558397737273667,61646
Peptostreptococcus anaerobius,0.00011516233039645673,1261
Staphylococcus schleiferi,0.00011315950725912706,1295
Pantoea sp. PSNIH2,0.00011273786028284712,1484157
Vibrio rhizosphaerae,0.00011273786028284712,398736
Ferrimonas balearica,0.00011142021348197232,44012
Enterobacter lignolyticus,0.00010999715493702755,1334193
Raoultella ornithinolytica,0.00010989174319295757,54291
Aliivibrio wodanis,0.00010983903732092257,80852
Photobacterium gaetbulicola,0.00010936468447260765,1295392
Klebsiella pneumoniae,0.00010862680226411777,573
Vibrio genomosp. F10,0.00010762539069545293,723171
Kluyvera ascorbata,0.0001059388027903332,51288
Tetragenococcus muriaticus,0.0001027764504682337,64642
Listeria fleischmannii,0.00010051009797072906,1069827
Lactococcus piscium,9.776939262490949e-05,1364
Streptococcus pyogenes,9.750586326473453e-05,1314
Peptostreptococcus anaerobius CAG:621,9.64517458240347e-05,1263100
Staphylococcus hominis,9.32893935019352e-05,1290
Staphylococcus simiae,9.313127588583023e-05,308354
Cronobacter sakazakii,9.128657036460551e-05,28141
Pluralibacter gergoviae,9.118115862053554e-05,61647
Kosakonia sacchari,9.007433530780071e-05,1158459
Yersinia pestis,8.791339455436605e-05,632
Streptococcus suis,8.649033600942128e-05,1307
Carnobacterium divergens,8.580515967296639e-05,2748
Trabulsiella odontotermitis,8.454021874412659e-05,379893
Listeria aquatica,8.432939525598662e-05,1494960
Photobacterium profundum,8.411857176784666e-05,74109
Enterovibrio calviensis,8.38023365356367e-05,91359
Aeromonas enteropelogenes,8.369692479156672e-05,29489
Eubacterium eligens,8.295904258307684e-05,39485
Leclercia adecarboxylata,7.94804550287674e-05,83655
Eikenella corrodens,7.774116125161266e-05,539
Trichococcus sp. DSM 22150,7.763574950754268e-05,1855308
Yokenella regensburgei,7.710869078719277e-05,158877
Staphylococcus sp. DORA_6_22,7.615998509056291e-05,1403935
Enterobacter sp. 638,7.552751462614302e-05,399742
Lactobacillus oryzae,7.457880892951317e-05,1202668
Streptococcus mitis,7.394633846509327e-05,28037
Lactobacillus coryniformis,7.384092672102328e-05,1610
Pantoea sp. IMH,7.289222102439344e-05,1267600
Lactobacillus acidipiscis,7.24705740481135e-05,89059
Catenovulum agarivorans,6.893928062176907e-05,1172192
Aeromonas eucrenophila,6.820139841327918e-05,649
Lactobacillus hokkaidonensis,6.74635162047893e-05,1193095
Enterococcus cecorum,6.735810446071932e-05,44008
Staphylococcus pettenkoferi,6.604045765984452e-05,170573
Alloscardovia omnicolens,6.582963417170455e-05,419015
Streptococcus thermophilus,6.572422242763458e-05,1308
Staphylococcus pseudintermedius,6.567151655559958e-05,283734
Aeromonas schubertii,6.535528132338963e-05,652
Neisseria weaveri,6.403763452251484e-05,28091
Lactobacillus saniviri,6.314163469791998e-05,931533
Kingella denitrificans,6.266728184960506e-05,502
Bacillus azotoformans,6.245645836146509e-05,1454
Pediococcus inopinatus,6.140234092076526e-05,114090
Pediococcus cellicola,6.134963504873026e-05,319652
Pediococcus ethanolidurans,6.092798807245034e-05,319653
Alteromonas mediterranea,6.019010586396045e-05,314275
Atopococcus tabaci,5.9926576503785494e-05,269774
bacterium LF-3,5.9663047143610536e-05,1504823
Lactobacillus malefermentans,5.760751813424586e-05,176292
Kingella kingae,5.760751813424586e-05,504
Photobacterium marinum,5.6711518309651003e-05,1056511
Klebsiella sp. RIT-PI-d,5.61317537172661e-05,1681196
Lactobacillus parafarraginis,5.592093022912613e-05,390842
Carnobacterium inhibens,5.54465773808112e-05,147709
Ignavigranum ruoffiae,5.4761401044356313e-05,89093
Lactobacillus sakei,5.433975406807638e-05,1599
Kurthia huakuii,5.3812695347726466e-05,1421019
Lactobacillus paraplantarum,5.2811283779061623e-05,60520
Arcanobacterium haemolyticum,5.244234267481668e-05,28264
Staphylococcus simulans,5.238963680278169e-05,1286
