SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,20,0.0749,0.0240,4.8516,0.7602,0.0336,89.4737,6.4245,bio3
SRR17380242,20,0.0712,0.0237,5.2122,0.7631,0.0332,89.4737,6.4792,bio3
SRR17380243,20,0.0619,0.0236,4.5115,0.7644,0.0334,89.4737,6.9590,bio3
SRR17380244,20,0.0709,0.0243,4.2882,0.7569,0.0336,89.4737,6.3814,bio3
SRR17380245,20,0.0818,0.0236,4.5283,0.7637,0.0332,89.4737,6.2467,bio3
SRR17380246,20,0.0727,0.0240,4.1667,0.7597,0.0336,89.4737,6.3996,bio3
Average,20,0.0722,0.0239,4.5931,0.7614,0.0334,89.4737,6.4817,bio3
SRR17380241,20,0.1406,0.0108,2.6382,0.8915,0.0207,94.7368,6.3568,biobakery4
SRR17380242,20,0.1431,0.0112,3.9238,0.8878,0.0207,94.7368,6.3653,biobakery4
SRR17380243,20,0.1408,0.0109,2.6350,0.8915,0.0207,94.7368,6.4018,biobakery4
SRR17380244,20,0.1431,0.0107,2.4096,0.8925,0.0207,94.7368,6.3937,biobakery4
SRR17380245,20,0.1305,0.0108,3.2602,0.8920,0.0208,94.7368,6.4467,biobakery4
SRR17380246,20,0.1412,0.0108,2.5495,0.8925,0.0206,94.7368,6.3387,biobakery4
Average,20,0.1399,0.0109,2.9027,0.8913,0.0207,94.7368,6.3839,biobakery4
SRR17380241,23,0.4474,0.0165,8.5171,0.8098,0.0210,100.0000,0.1507,jams
SRR17380242,22,0.3819,0.0174,6.8501,0.8088,0.0217,100.0000,0.1207,jams
SRR17380243,23,0.4465,0.0167,7.7390,0.8085,0.0211,100.0000,0.1641,jams
SRR17380244,23,0.4460,0.0166,9.0502,0.8090,0.0211,100.0000,0.0958,jams
SRR17380245,23,0.4484,0.0165,7.5563,0.8102,0.0210,100.0000,0.1551,jams
SRR17380246,22,0.3811,0.0174,5.1927,0.8088,0.0216,100.0000,0.1559,jams
Average,23,0.4252,0.0168,7.4842,0.8092,0.0212,100.0000,0.1404,jams
SRR17380241,21,0.2982,0.0181,3.7169,0.8099,0.0220,100.0000,0.1424,jams202212
SRR17380242,21,0.2966,0.0182,4.4778,0.8088,0.0222,100.0000,0.1151,jams202212
SRR17380243,22,0.3826,0.0174,4.8489,0.8082,0.0216,100.0000,0.1488,jams202212
SRR17380244,22,0.3824,0.0174,8.0192,0.8091,0.0216,100.0000,0.0967,jams202212
SRR17380245,22,0.3875,0.0172,6.6120,0.8107,0.0214,100.0000,0.1314,jams202212
SRR17380246,22,0.3814,0.0174,7.2781,0.8090,0.0215,100.0000,0.1690,jams202212
Average,22,0.3548,0.0176,5.8255,0.8093,0.0217,100.0000,0.1339,jams202212
SRR17380241,41,0.3448,0.0145,15.3880,0.7034,0.0264,100.0000,17.8583,wgsa
SRR17380242,41,0.3382,0.0146,14.7132,0.7016,0.0267,100.0000,18.0035,wgsa
SRR17380243,41,0.3467,0.0145,14.2680,0.7037,0.0264,100.0000,17.7761,wgsa
SRR17380244,42,0.3510,0.0141,14.9068,0.7037,0.0262,100.0000,17.9031,wgsa
SRR17380245,40,0.3370,0.0148,14.3751,0.7043,0.0267,100.0000,17.8164,wgsa
SRR17380246,41,0.3450,0.0144,14.1482,0.7040,0.0264,100.0000,17.8496,wgsa
Average,41,0.3438,0.0145,14.6332,0.7034,0.0265,100.0000,17.8678,wgsa
SRR17380241,106,0.3883,0.0083,19.0534,0.5600,0.0203,94.7368,21.0333,woltka
SRR17380242,109,0.3922,0.0081,18.5865,0.5606,0.0199,94.7368,21.5245,woltka
SRR17380243,106,0.3887,0.0083,18.3382,0.5599,0.0203,94.7368,21.0512,woltka
SRR17380244,107,0.3879,0.0082,16.6509,0.5592,0.0203,94.7368,20.9866,woltka
SRR17380245,107,0.3883,0.0082,15.0333,0.5592,0.0203,94.7368,20.9474,woltka
SRR17380246,106,0.3873,0.0083,20.0470,0.5589,0.0204,94.7368,20.9465,woltka
Average,107,0.3888,0.0082,17.9516,0.5596,0.0202,94.7368,21.0816,woltka
