SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,24,0.7203,0.0018,6.6381,0.8682,0.0030,100.0000,12.1819,bio4
SRR17380242,24,0.7228,0.0019,7.0430,0.8627,0.0030,100.0000,12.4963,bio4
SRR17380243,24,0.7262,0.0018,7.6601,0.8661,0.0030,100.0000,12.2389,bio4
SRR17380244,24,0.7173,0.0018,7.0797,0.8695,0.0030,100.0000,12.0707,bio4
SRR17380245,24,0.7233,0.0018,6.8140,0.8689,0.0030,100.0000,12.2145,bio4
SRR17380246,24,0.7191,0.0018,6.6955,0.8673,0.0030,100.0000,12.1812,bio4
Average,24,0.7215,0.0018,6.9884,0.8671,0.0030,100.0000,12.2306,bio4
SRR17380241,39,0.6300,0.0019,11.6763,0.7733,0.0030,100.0000,7.3202,jams
SRR17380242,42,0.6461,0.0018,13.1171,0.7762,0.0029,100.0000,6.6536,jams
SRR17380243,35,0.5914,0.0021,10.7320,0.7779,0.0033,100.0000,6.5015,jams
SRR17380244,40,0.6313,0.0019,12.2247,0.7757,0.0030,100.0000,6.9000,jams
SRR17380245,41,0.6465,0.0018,11.7698,0.7764,0.0029,100.0000,6.6238,jams
SRR17380246,39,0.6255,0.0019,9.5038,0.7726,0.0031,100.0000,7.1669,jams
Average,39,0.6285,0.0019,11.5040,0.7753,0.0030,100.0000,6.8610,jams
SRR17380241,181,0.5627,0.0005,25.2203,0.7114,0.0021,100.0000,20.6208,wgsa
SRR17380242,177,0.5535,0.0005,24.8051,0.7094,0.0021,100.0000,20.7591,wgsa
SRR17380243,178,0.5645,0.0005,25.0421,0.7119,0.0021,100.0000,20.4707,wgsa
SRR17380244,177,0.5606,0.0005,24.9740,0.7122,0.0021,100.0000,20.6121,wgsa
SRR17380245,178,0.5630,0.0005,24.9871,0.7124,0.0021,100.0000,20.5554,wgsa
SRR17380246,178,0.5627,0.0005,24.9116,0.7122,0.0021,100.0000,20.5949,wgsa
Average,178,0.5612,0.0005,24.9901,0.7116,0.0021,100.0000,20.6022,wgsa
SRR17380241,603,0.5120,0.0003,39.0782,0.5345,0.0012,100.0000,26.9495,woltka
SRR17380242,633,0.5155,0.0002,40.0843,0.5348,0.0012,100.0000,27.5639,woltka
SRR17380243,614,0.5130,0.0003,39.4366,0.5349,0.0012,100.0000,26.9640,woltka
SRR17380244,613,0.5104,0.0003,39.4497,0.5334,0.0012,100.0000,26.9637,woltka
SRR17380245,616,0.5109,0.0003,39.5478,0.5336,0.0012,100.0000,26.9033,woltka
SRR17380246,604,0.5102,0.0003,39.0440,0.5333,0.0012,100.0000,26.9341,woltka
Average,614,0.5120,0.0003,39.4401,0.5341,0.0012,100.0000,27.0464,woltka
