genus,RA,genus_lineage
BIFIDOBACTERIUM,0.1069757,1678
STREPTOCOCCUS,0.0740961,1301
RUMINOCOCCUS,0.0736621,2316020
ESCHERICHIA,0.071751,561
CLOSTRIDIUM,0.0647925,2719313
ANAEROSTIPES,0.0646024,207244
PARABACTEROIDES,0.0631853,375288
BACTEROIDES,0.0597631,816
CUTIBACTERIUM,0.0592427,1912216
BLAUTIA,0.0581595,572511
AKKERMANSIA,0.0499986999999999,239934
STAPHYLOCOCCUS,0.0499134,1279
COLLINSELLA,0.046608300000000005,102106
LACTOBACILLUS,0.0444174,1578
FLAVONIFRACTOR,0.0393124,946234
BACILLUS,0.0364858,2893059
MEGAMONAS,0.013059999999999999,158846
MEGASPHAERA,0.0109302,906
PSEUDOMONAS,0.0070782999999999,286
BACILLUS,0.0059653,1386
COLLINSELLA,0.0,1472762
