species,SRR17380244,tax_id
AKKERMANSIA_MUCINIPHILA,0.0483675,239935
ANAEROSTIPES_CACCAE,0.0661527,105841
BACILLUS_INTESTINALIS,0.0054001,1963032
BACILLUS_MURIMARTINI,0.0371252,171685
BACTEROIDES_UNIFORMIS,0.0600937,820
BIFIDOBACTERIUM_LONGUM,0.10355779999999999,216816
BLAUTIA_COCCOIDES,0.0004976,1532
BLAUTIA_PRODUCTA,0.059743899999999996,33035
CLOSTRIDIUM_CLOSTRIDIIFORME,0.0638131,1531
COLLINSELLA_AEROFACIENS,0.0485793,74426
COLLINSELLA_MASSILIENSIS,7e-06,1232426
COLLINSELLA_STERCORIS,4.1599999999999995e-05,147206
CUTIBACTERIUM_ACNES,0.0584605,1747
ESCHERICHIA_COLI,0.0701034,562
FLAVONIFRACTOR_PLAUTII,0.038900899999999995,292800
LACTOBACILLUS_DELBRUECKII,0.043416699999999996,1584
MEGAMONAS_FUNIFORMIS,0.0069628,437897
MEGAMONAS_FUNIFORMIS_CAG-377,0.00033210000000000005,1263086
MEGAMONAS_HYPERMEGALE,0.0006811,158847
MEGASPHAERA_SP._DISK-18,0.0098783,1776081
MEGASPHAERA_SP._MJR8396C,0.0,1603888
PARABACTEROIDES_DISTASONIS,0.0631744,823
PSEUDOMONAS_PUTIDA_GROUP,0.007006,136845
RUMINOCOCCUS_GNAVUS,0.0730181,33038
STAPHYLOCOCCUS_EPIDERMIDIS,0.0551471,1282
STREPTOCOCCUS_MUTANS,0.079539,1309
