genus,RA,genus_lineage
BIFIDOBACTERIUM,0.0985771,1678
STREPTOCOCCUS,0.0685309,1301
RUMINOCOCCUS,0.0640178,2316020
ESCHERICHIA,0.0615505,561
MEGASPHAERA,0.0597891,906
ENTEROCLOSTER,0.0560429,2719313
PARABACTEROIDES,0.0559223,375288
CUTIBACTERIUM,0.0535644,1912216
AKKERMANSIA,0.0531204,239934
ANAEROSTIPES,0.0528379,207244
BACTEROIDES,0.0525153,816
BACILLUS,0.0511801,1386
STAPHYLOCOCCUS,0.0481278,1279
BLAUTIA,0.0473963,572511
PSEUDOMONAS,0.0435648,286
LACTOBACILLUS,0.03605,1578
FLAVONIFRACTOR,0.0355185,946234
COLLINSELLA,0.0317977,102106
MEGAMONAS,0.0298964,158846
