Species,RA
Bacteroides uniformis,0.047
Blautia sp. NBRC 113351,0.045
Enterocloster clostridioformis,0.053
Parabacteroides distasonis,0.048
Bacillus subtilis,0.052
Streptococcus mutans,0.069
Pseudomonas putida,0.039
Lactobacillus delbrueckii,0.036
Escherichia coli,0.056
Flavonifractor plautii,0.037
Staphylococcus epidermidis,0.048
Cutibacterium acnes,0.05
Bifidobacterium longum,0.10
Anaerostipes caccae,0.053
Ruminococcus gnavus,0.056
Megasphaera massiliensis,0.048
Megamonas funiformis,0.037
Collinsella aerofaciens,0.062
Akkermansia muciniphila,0.06
