Genus,RA,TAX_ID
unclassified,0.09914147019241754,12908
Pseudomonas,0.0746263815368416,286
Parabacteroides,0.07207864875168223,375288
Bifidobacterium,0.06825856449025472,1678
Bacteroides,0.06410270348400453,816
Enterocloster,0.059671484159945935,2719313
Mediterraneibacter,0.0480226688512354,2316020
Anaerostipes,0.04269372794348685,207244
Blautia,0.04158837371238797,572511
Akkermansia,0.04064128367948577,239934
Bacillus,0.039872419095003254,1386
Streptococcus,0.03493557417377801,1301
Cutibacterium,0.03444687999421124,1912216
Staphylococcus,0.030607012708009147,1279
Flavonifractor,0.030057721875979684,946234
Collinsella,0.027890856874093168,102106
Megamonas,0.02220172233508844,158846
Lactobacillus,0.019580204214283307,1578
Escherichia,0.01922963475724179,561
Megasphaera,0.009404244011313038,906
Lachnoclostridium,0.004302540550299588,1506553
Clostridioides,0.001164703305422634,1870884
Coprococcus,0.0008804337151932383,33042
Roseburia,0.0006785042821337364,841
Oscillibacter,0.0006654938243990995,459786
Dysosmobacter,0.0005799456091576513,2591381
Faecalibacterium,0.0005132892914486895,216851
Anaerobutyricum,0.0002730413869789557,2569097
Paenibacillus,0.00021903907610779146,44249
Clostridium,0.00021476166534571906,1485
Longicatena,0.0002065632947184136,1918536
Lacrimispora,0.00020032540402372466,2719231
Eubacterium,0.00019266170974167825,1730
Citrobacter,0.0001744827140028705,544
Ruthenibacterium,0.00016824482330818157,1905344
Faecalibacillus,0.00014418438777152426,2678885
Enterococcus,0.00013990697700945183,1350
Shigella,0.00012618361748113616,620
Enterobacter,0.0001238666866516803,547
Erysipelatoclostridium,0.00010283608373815759,1505663
Streptomyces,9.82022220792458e-05,1883
Klebsiella,9.535061490453087e-05,570
Selenomonas,9.481593855927181e-05,970
Faecalicatena,8.412241165409078e-05,2005359
Olsenella,7.84191973046609e-05,133925
Intestinimonas,7.538936468152628e-05,1392389
Acidaminococcus,6.416116143108619e-05,904
Flintibacter,6.255713239530904e-05,1918454
Salmonella,6.220068149846967e-05,590
Campylobacter,5.899262342691536e-05,194
Massilistercora,5.774504528797757e-05,2717089
Hungatella,5.542811445852168e-05,1649459
Aminipila,5.4893438113262626e-05,2060094
Phocaeicola,5.400231087116421e-05,909656
Amedibacterium,5.328940907748547e-05,2749267
Caproiciproducens,5.2398281835387055e-05,1738645
Christensenella,4.509103845018002e-05,990721
Rothia,4.188298037862571e-05,32207
Rhizobium,3.7249118719713925e-05,379
Anaerocolumna,3.671444237445487e-05,1843210
Solibaculum,3.404106064815962e-05,2842531
Ruminococcus,3.368460975132025e-05,1263
Nocardioides,3.2258806163962776e-05,1839
Parolsenella,3.2080580715543094e-05,2082587
Desulfovibrio,3.190235526712341e-05,872
Veillonella,3.172412981870373e-05,29465
Corynebacterium,3.136767892186436e-05,1716
Butyrivibrio,3.0833002576605305e-05,830
Pelosinus,3.065477712818562e-05,365348
Homo,3.0120100782926573e-05,9605
Dehalobacter,2.9763649886087205e-05,56112
Vibrio,2.8694297195569102e-05,662
Acutalibacter,2.8516071747149416e-05,1918385
Acinetobacter,2.7981395401890366e-05,469
Treponema,2.7981395401890366e-05,157
Kosakonia,2.7446719056631313e-05,1330547
Faecalitalea,2.7446719056631313e-05,1573534
Bradyrhizobium,2.6555591814532895e-05,374
Chryseobacterium,2.406043553665732e-05,59732
Phascolarctobacterium,2.406043553665732e-05,33024
Mahella,2.388221008823764e-05,252965
Leclercia,2.388221008823764e-05,83654
Microbacterium,2.3703984639817953e-05,33882
Fusobacterium,2.3703984639817953e-05,848
Mesorhizobium,2.263463194929985e-05,68287
Desulfitobacterium,2.1565279258781746e-05,36853
Prevotella,2.085237746510301e-05,838
Planococcus,1.9248348429325857e-05,1372
Geobacter,1.907012298090617e-05,28231
Dialister,1.889189753248649e-05,39948
Mammaliicoccus,1.853544663564712e-05,2803850
Raoultella,1.8357221187227436e-05,160674
Pantoea,1.7466093945129018e-05,53335
Longibaculum,1.710964304828965e-05,1918538
Synechococcus,1.6931417599869968e-05,1129
Halomonas,1.6931417599869968e-05,2745
Alistipes,1.6931417599869968e-05,239759
Burkholderia,1.65749667030306e-05,32008
Shewanella,1.65749667030306e-05,22
Mycolicibacterium,1.6218515806191233e-05,1866885
Weizmannia,1.6040290357771547e-05,2817139
Mycobacterium,1.6040290357771547e-05,1763
Lachnospira,1.5505614012512497e-05,28050
Cohnella,1.479271221883376e-05,329857
Rhodococcus,1.4614486770414076e-05,1827
Brevibacillus,1.4436261321994392e-05,55080
Agrobacterium,1.4436261321994392e-05,357
Cronobacter,1.4258035873574708e-05,413496
Plasmodium,1.4079810425155024e-05,5820
Brevundimonas,1.4079810425155024e-05,41275
Priestia,1.390158497673534e-05,2800373
Serratia,1.390158497673534e-05,613
Geobacillus,1.3545134079895973e-05,129337
Yersinia,1.3545134079895973e-05,629
Dickeya,1.3010457734636923e-05,204037
Moorella,1.3010457734636923e-05,44260
Desulfotomaculum,1.2832232286217239e-05,1562
Nostoc,1.2832232286217239e-05,1177
Caproicibacterium,1.2654006837797555e-05,2834348
Flavobacterium,1.2654006837797555e-05,237
Gordonibacter,1.2654006837797555e-05,644652
Pedobacter,1.2654006837797555e-05,84567
Nocardia,1.2475781389377871e-05,1817
Peribacillus,1.2475781389377871e-05,2675229
Deinococcus,1.2475781389377871e-05,1298
Slackia,1.2297555940958187e-05,84108
Arthrobacter,1.2119330492538503e-05,1663
Cellulosilyticum,1.1762879595699135e-05,698776
Micromonospora,1.1762879595699135e-05,1873
Adlercreutzia,1.1762879595699135e-05,447020
Stenotrophomonas,1.1762879595699135e-05,40323
Filifactor,1.1584654147279451e-05,44259
Virgibacillus,1.1584654147279451e-05,84406
Massilia,1.1406428698859768e-05,149698
Sphingomonas,1.10499778020204e-05,13687
Aeromonas,1.10499778020204e-05,642
Novosphingobium,1.0871752353600716e-05,165696
Desulfococcus,1.0693526905181032e-05,896
Polaribacter,1.0693526905181032e-05,52959
Spirosoma,1.0515301456761348e-05,107
Hymenobacter,1.0515301456761348e-05,89966
Brevibacterium,1.0337076008341664e-05,1696
Polynucleobacter,1.0337076008341664e-05,44013
Xanthomonas,1.0337076008341664e-05,338
Alicyclobacillus,1.015885055992198e-05,29330
Pseudoalteromonas,1.015885055992198e-05,53246
Paraburkholderia,9.802399663082612e-06,1822464
Lacticaseibacillus,9.802399663082612e-06,2759736
Metabacillus,9.802399663082612e-06,2675233
Sporomusa,9.624174214662929e-06,2375
Sinorhizobium,9.445948766243245e-06,28105
Atopobium,9.445948766243245e-06,1380
Morganella,9.26772331782356e-06,581
Exiguobacterium,9.089497869403877e-06,33986
Pluralibacter,9.089497869403877e-06,1330546
Lelliottia,9.089497869403877e-06,1330545
Aureimonas,9.089497869403877e-06,414371
Acetobacterium,8.911272420984193e-06,33951
Peptoniphilus,8.911272420984193e-06,162289
Desulfosporosinus,8.911272420984193e-06,79206
Monoglobus,8.733046972564509e-06,2039302
Thermoanaerobacterium,8.733046972564509e-06,28895
Alkalibacter,8.554821524144825e-06,274470
Levilactobacillus,8.554821524144825e-06,2767886
Sporosarcina,8.554821524144825e-06,1569
Neisseria,8.554821524144825e-06,482
Aerococcus,8.554821524144825e-06,1375
Achromobacter,8.376596075725141e-06,222
Listeria,8.198370627305457e-06,1637
Capnocytophaga,8.198370627305457e-06,1016
Leptotrichia,7.84191973046609e-06,32067
Kaistella,7.84191973046609e-06,2782231
Bordetella,7.84191973046609e-06,517
Fictibacillus,7.84191973046609e-06,1329200
Dehalobacterium,7.663694282046406e-06,51514
Rossellomorea,7.663694282046406e-06,2837508
Cupriavidus,7.663694282046406e-06,106589
Lactococcus,7.663694282046406e-06,1357
Cedecea,7.485468833626722e-06,158483
Erysipelothrix,7.485468833626722e-06,1647
Leishmania,7.485468833626722e-06,5658
Desulfosarcina,7.485468833626722e-06,2299
Sphingobacterium,7.485468833626722e-06,28453
Actinoalloteichus,7.307243385207038e-06,65496
Alcaligenes,7.307243385207038e-06,507
Gimesia,7.129017936787354e-06,1649453
Lachnoanaerobaculum,7.129017936787354e-06,1164882
Azoarcus,7.129017936787354e-06,12960
Helicobacter,7.129017936787354e-06,209
Caldicellulosiruptor,6.95079248836767e-06,44000
Sutcliffiella,6.95079248836767e-06,2837511
Actinoplanes,6.772567039947986e-06,1865
Marinobacter,6.772567039947986e-06,2742
Lysobacter,6.594341591528303e-06,68
Yokenella,6.594341591528303e-06,158876
Lysinibacillus,6.594341591528303e-06,400634
Acetobacter,6.594341591528303e-06,434
Ensifer,6.594341591528303e-06,106591
Brucella,6.416116143108619e-06,234
Ligilactobacillus,6.416116143108619e-06,2767887
Microbulbifer,6.416116143108619e-06,48073
Jonquetella,6.416116143108619e-06,428711
Ralstonia,6.416116143108619e-06,48736
Desulfuromonas,6.416116143108619e-06,890
Paracoccus,6.2378906946889355e-06,265
Candidatus Formimonas,6.2378906946889355e-06,2840454
Acetivibrio,6.2378906946889355e-06,35829
Leuconostoc,6.2378906946889355e-06,1243
Terriglobus,6.0596652462692516e-06,392733
Methylobacterium,6.0596652462692516e-06,407
Pectinatus,6.0596652462692516e-06,864
Azotobacter,6.0596652462692516e-06,352
Caulobacter,5.881439797849568e-06,75
Erwinia,5.881439797849568e-06,551
Nitrospira,5.881439797849568e-06,1234
Variovorax,5.881439797849568e-06,34072
Ruminiclostridium,5.881439797849568e-06,1508657
Phoenicibacter,5.881439797849568e-06,1981050
Latilactobacillus,5.881439797849568e-06,2767885
Legionella,5.881439797849568e-06,445
Xanthobacter,5.881439797849568e-06,279
Labrenzia,5.881439797849568e-06,478070
Alkalihalobacillus,5.881439797849568e-06,2675234
Granulicella,5.703214349429884e-06,940557
Alkaliphilus,5.703214349429884e-06,114627
Limosilactobacillus,5.703214349429884e-06,2742598
Vagococcus,5.703214349429884e-06,2737
Pediococcus,5.703214349429884e-06,1253
Salinispira,5.703214349429884e-06,1616789
Dehalogenimonas,5.703214349429884e-06,670486
Rhodopseudomonas,5.5249889010102e-06,1073
Geosporobacter,5.5249889010102e-06,390805
Ethanoligenens,5.5249889010102e-06,253238
Serpentinomonas,5.5249889010102e-06,2490452
Xenorhabdus,5.346763452590516e-06,626
Proteus,5.346763452590516e-06,583
Schleiferilactobacillus,5.346763452590516e-06,2767891
Mucilaginibacter,5.346763452590516e-06,423349
Glutamicibacter,5.346763452590516e-06,1742989
Tissierella,5.346763452590516e-06,41273
Phytobacter,5.168538004170832e-06,447792
Mycobacteroides,5.168538004170832e-06,670516
Salinimonas,5.168538004170832e-06,288793
Olivibacter,5.168538004170832e-06,376469
Sphingopyxis,5.168538004170832e-06,165697
Brenneria,5.168538004170832e-06,71655
Maribacter,5.168538004170832e-06,252356
Thermotoga,5.168538004170832e-06,2335
Barnesiella,5.168538004170832e-06,397864
Providencia,5.168538004170832e-06,586
Gardnerella,5.168538004170832e-06,2701
Collimonas,4.990312555751148e-06,202907
Tessaracoccus,4.990312555751148e-06,72763
Furfurilactobacillus,4.990312555751148e-06,2767882
Moraxella,4.990312555751148e-06,475
Catenulispora,4.990312555751148e-06,414878
Comamonas,4.990312555751148e-06,283
Coriobacterium,4.990312555751148e-06,33870
Buchnera,4.990312555751148e-06,32199
Tetragenococcus,4.812087107331464e-06,51668
Methanospirillum,4.812087107331464e-06,2202
Caldibacillus,4.812087107331464e-06,1276290
Pyricularia,4.812087107331464e-06,48558
Kluyvera,4.812087107331464e-06,579
Sphingobium,4.812087107331464e-06,165695
Parageobacillus,4.812087107331464e-06,1906945
Gordonia,4.812087107331464e-06,2053
Glaesserella,4.812087107331464e-06,2094023
Pseudolabrys,4.812087107331464e-06,556257
Pandoraea,4.63386165891178e-06,93217
Alcanivorax,4.63386165891178e-06,59753
Jejubacter,4.63386165891178e-06,2815296
Azospirillum,4.63386165891178e-06,191
Methylomusa,4.63386165891178e-06,2093783
Solimonas,4.63386165891178e-06,413435
Sulfurimonas,4.63386165891178e-06,202746
Faecalibaculum,4.63386165891178e-06,1729679
Rhodoluna,4.63386165891178e-06,529883
Pseudoleptotrichia,4.63386165891178e-06,2755140
Niallia,4.63386165891178e-06,2837506
Hydrogenophaga,4.4556362104920965e-06,47420
Aspergillus,4.4556362104920965e-06,5052
Jeotgalibaca,4.4556362104920965e-06,1470540
Carnobacterium,4.4556362104920965e-06,2747
Anaerotignum,4.4556362104920965e-06,2039240
Azorhizobium,4.4556362104920965e-06,6
Rufibacter,4.4556362104920965e-06,1379908
Sulfitobacter,4.4556362104920965e-06,60136
Psychrobacter,4.4556362104920965e-06,497
Janthinobacterium,4.4556362104920965e-06,29580
Opitutus,4.277410762072413e-06,178440
Neobacillus,4.277410762072413e-06,2675232
Fervidobacterium,4.277410762072413e-06,2422
Buttiauxella,4.277410762072413e-06,82976
Mannheimia,4.277410762072413e-06,75984
Stanieria,4.277410762072413e-06,102115
Psychroflexus,4.277410762072413e-06,83612
Tistrella,4.277410762072413e-06,171436
Cloacibacillus,4.277410762072413e-06,508459
Halarcobacter,4.099185313652729e-06,2321115
Herbinix,4.099185313652729e-06,1663717
Pontibacter,4.099185313652729e-06,323449
Candidatus Reidiella,4.099185313652729e-06,2738850
Alteromonas,4.099185313652729e-06,226
Nonlabens,4.099185313652729e-06,363408
Arachnia,4.099185313652729e-06,2801844
Bartonella,4.099185313652729e-06,773
Ectothiorhodospira,4.099185313652729e-06,1051
Oenococcus,4.099185313652729e-06,46254
Anoxybacillus,3.920959865233045e-06,150247
Thiomonas,3.920959865233045e-06,32012
Mycoplasma,3.920959865233045e-06,2093
Dolichospermum,3.920959865233045e-06,748770
Romboutsia,3.920959865233045e-06,1501226
Thermoanaerobacter,3.920959865233045e-06,1754
Carboxydothermus,3.920959865233045e-06,129957
Martelella,3.920959865233045e-06,293088
Sarcina,3.920959865233045e-06,1266
Calothrix,3.920959865233045e-06,1186
Intestinibaculum,3.920959865233045e-06,2679910
Chitinophaga,3.920959865233045e-06,79328
Mogibacterium,3.920959865233045e-06,86331
Marinilactibacillus,3.742734416813361e-06,191769
Haemophilus,3.742734416813361e-06,724
Orrella,3.742734416813361e-06,1921582
Anaerolinea,3.742734416813361e-06,233189
Winogradskyella,3.742734416813361e-06,286104
Eggerthella,3.742734416813361e-06,84111
Thauera,3.742734416813361e-06,33057
Edwardsiella,3.742734416813361e-06,635
Salimicrobium,3.742734416813361e-06,351195
Pseudanabaena,3.742734416813361e-06,1152
Weissella,3.742734416813361e-06,46255
Companilactobacillus,3.742734416813361e-06,2767879
Sodalis,3.742734416813361e-06,84565
Brachyspira,3.742734416813361e-06,29521
Borrelia,3.742734416813361e-06,138
Thermosipho,3.742734416813361e-06,2420
Xylanimonas,3.742734416813361e-06,186188
Candidatus Arthromitus,3.742734416813361e-06,49082
Muribaculum,3.742734416813361e-06,1918540
Roseivivax,3.564508968393677e-06,93682
Phaeobacter,3.564508968393677e-06,302485
Pseudescherichia,3.564508968393677e-06,2055880
Stackebrandtia,3.564508968393677e-06,283810
Carboxydocella,3.564508968393677e-06,178898
Rahnella,3.564508968393677e-06,34037
Sediminibacillus,3.564508968393677e-06,482460
Thalassospira,3.564508968393677e-06,168934
Francisella,3.564508968393677e-06,262
Trueperella,3.564508968393677e-06,1069494
Agrococcus,3.564508968393677e-06,46352
Marinomonas,3.564508968393677e-06,28253
Diaphorobacter,3.386283519973993e-06,238749
Sutterella,3.386283519973993e-06,40544
Odoribacter,3.386283519973993e-06,283168
Stieleria,3.386283519973993e-06,2795973
Arcobacter,3.386283519973993e-06,28196
Fusarium,3.386283519973993e-06,5506
Desulfonema,3.386283519973993e-06,45654
Colletotrichum,3.386283519973993e-06,5455
Evansella,3.386283519973993e-06,2837485
Curtobacterium,3.386283519973993e-06,2034
Starkeya,3.386283519973993e-06,152053
Lentilactobacillus,3.386283519973993e-06,2767893
Tumebacillus,3.2080580715543097e-06,432330
