Species,RA,TAX_ID
unclassified,0.1003278726443189,12908
Pseudomonas putida,0.07068740038353764,303
Parabacteroides distasonis,0.06129724106719761,823
Bifidobacterium longum,0.060904025197467716,216816
Enterocloster clostridioformis,0.05675760645969674,1531
Bacteroides uniformis,0.04788924947203465,820
Ruminococcus gnavus,0.04740199048794985,33038
Anaerostipes caccae,0.04212538047135383,105841
Akkermansia muciniphila,0.040428039213239564,239935
Streptococcus mutans,0.034555670632404945,1309
Cutibacterium acnes,0.0337085217365898,1747
Flavonifractor plautii,0.029990318733114467,292800
Staphylococcus epidermidis,0.029402777528382606,1282
Collinsella aerofaciens,0.027600132329922724,74426
Blautia producta,0.022934954729957786,33035
Megamonas funiformis,0.02260382557650103,437897
Lactobacillus delbrueckii,0.0194536855922601,1584
Escherichia coli,0.016734348288826188,562
Blautia sp. YL58,0.014386313896437531,1796616
Megasphaera elsdenii,0.008027751544787501,907
Lachnoclostridium sp. YL32,0.003527529828254143,1834196
Bacillus subtilis,0.0034546388059628814,1423
Blautia argi,0.0016375371417041039,1912897
Enterocloster bolteae,0.0015722547856227862,208479
Clostridioides difficile,0.0011081261468162144,1496
Megasphaera stantonii,0.0010270177650182136,2144175
Bifidobacterium breve,0.0008734748809015478,1685
Blautia sp. SC05B48,0.0007156711437073135,2479767
Anaerostipes rhamnosivorans,0.0005590847931066701,1229621
Coprococcus comes,0.0005070415162306545,410072
Faecalibacterium prausnitzii,0.0004921285304591648,853
Clostridium scindens,0.0004772155446876749,29347
Roseburia intestinalis,0.0004671721052905491,166486
Oscillibacter sp. PEA192,0.0004425200267703312,2109687
Ruminococcus torques,0.00034360736604106183,33039
Dysosmobacter welbionis,0.0003385856463424989,2093857
Coprococcus catus,0.0003241291805436057,116085
Blautia obeum,0.0002851728095486935,40520
Anaerobutyricum hallii,0.00027710762336615304,39488
Bacillus vallismortis,0.00026462941078184523,72361
Bacillus tequilensis,0.0002559555313025093,227866
Blautia hansenii,0.00024789034511996886,1322
Bifidobacterium bifidum,0.00023434691926626892,1681
Megamonas hypermegale,0.0002250643464901375,158847
Dysosmobacter sp. Marseille-Q4140,0.0002250643464901375,2830675
Longicatena caecimuris,0.00020756441420726677,1796635
Roseburia hominis,0.0001978253214585387,301301
Ruthenibacterium lactatiformans,0.00017545584280130393,1550024
Lachnoclostridium phocaeense,0.00016510805675578038,1871021
Lacrimispora saccharolytica,0.00015856460381522873,84030
Faecalibacillus intestinalis,0.0001543037507376602,1982626
Anaerostipes hadrus,0.00011580389971534457,649756
Staphylococcus aureus,9.952135402606485e-05,1280
Oscillibacter sp. MM50,9.936918070186598e-05,2714355
Escherichia albertii,9.465180765170082e-05,208962
Faecalicatena sp. Marseille-Q4148,8.795618138695028e-05,2823316
Escherichia fergusonii,7.806491531402335e-05,564
Bifidobacterium adolescentis,7.760839534142672e-05,1680
Oscillibacter sp. MM59,7.745622201722784e-05,2714358
Escherichia marmotae,7.669535539623346e-05,1499973
Bifidobacterium catenulatum,7.654318207203459e-05,1686
Bacillus mojavensis,7.623883542363684e-05,72360
Enterococcus faecium,7.486927550584695e-05,1352
Clostridium innocuum,7.441275553325033e-05,1522
Intestinimonas butyriciproducens,7.365188891225595e-05,1297617
Bacillus inaquosorum,7.319536893965932e-05,483913
Bacillus halotolerans,7.304319561546045e-05,260554
Clostridium perfringens,7.228232899446607e-05,1502
Olsenella sp. GAM18,7.091276907667618e-05,2109685
Escherichia sp. E4742,6.19345429489425e-05,2044467
Staphylococcus haemolyticus,5.9651943085959365e-05,1283
Flintibacter sp. KGMB00164,5.934759643756161e-05,2610895
Salmonella enterica,5.919542311336274e-05,28901
Bacillus sp. MBGLi79,5.6151956629385216e-05,2070759
Bacillus velezensis,5.584760998098746e-05,492670
Hungatella hathewayi,5.5543263332589716e-05,154046
Amedibacterium intestinale,5.2499796848612194e-05,2583452
Eubacterium sp. NSJ-61,5.219545020021444e-05,2764325
Massilistercora timonensis,4.9912850337231305e-05,2086584
Eubacterium limosum,4.93041570404358e-05,1736
Bifidobacterium pseudocatenulatum,4.823894377104367e-05,28026
Aminipila sp. JN-18,4.717373050165154e-05,2507160
Clostridium hylemonae,4.54998239354639e-05,89153
Eubacterium callanderi,4.473895731446952e-05,53442
Bacillus spizizenii,4.139114418209425e-05,96241
Caproiciproducens sp. 7D4C2,4.0478104236901e-05,2721621
Bacillus atrophaeus,4.0021584264304366e-05,1452
Christensenella sp. Marseille-P3954,3.9412890967508865e-05,2086585
Bacillus sp. JS,3.895637099491224e-05,1127744
Shigella flexneri,3.834767769811673e-05,623
Shigella boydii,3.8043331049718984e-05,621
Faecalitalea cylindroides,3.7130291104525724e-05,39483
Blautia sp. LZLJ-3,3.652159780773022e-05,2779518
Streptococcus troglodytae,3.5912904510934716e-05,1111760
Lacrimispora sphenoides,3.560855786253697e-05,29370
Pelosinus fermentans,3.408682462054821e-05,365349
Shigella dysenteriae,3.408682462054821e-05,622
Bacillus sp. MD-5,3.34781313237527e-05,2009331
Rothia mucilaginosa,3.34781313237527e-05,43675
Homo sapiens,3.2412918054360574e-05,9606
Selenomonas ruminantium,3.195639808176395e-05,971
Bacteroides xylanisolvens,3.180422475756507e-05,371601
Staphylococcus hominis,3.119553146076957e-05,1290
Coprococcus sp. ART55/1,3.119553146076957e-05,751585
Acidaminococcus fermentans,3.089118481237181e-05,905
Solibaculum mannosilyticum,3.073901148817294e-05,2780922
Acidaminococcus intestini,3.0434664839775186e-05,187327
Bacteroides eggerthii,3.0434664839775186e-05,28111
Phocaeicola dorei,3.0130318191377433e-05,357276
Eubacterium maltosivorans,2.8456411625189798e-05,2041044
Bacteroides cellulosilyticus,2.8456411625189798e-05,246787
Acutalibacter muris,2.799989165259317e-05,1796620
Cutibacterium avidum,2.6782505059002164e-05,33010
Bacteroides sp. HF-162,2.647815841060441e-05,2785531
Parolsenella catena,2.6325985086405537e-05,2003188
Dehalobacter restrictus,2.5869465113808907e-05,55583
Erysipelatoclostridium ramosum,2.5717291789610033e-05,1547
Campylobacter jejuni,2.541294514121228e-05,197
Bacteroides fragilis,2.4956425168615653e-05,817
Staphylococcus sp. SB1-57,2.46520785202179e-05,2813777
Streptococcus oralis,2.434773187182015e-05,1303
Oscillibacter sp. NSJ-62,2.434773187182015e-05,2763056
Bifidobacterium dentium,2.3739038575024645e-05,1689
Clostridium sp. SY8519,2.0695572091047127e-05,1042156
Oscillibacter sp. MM35,2.054339876684825e-05,2714353
Citrobacter freundii,1.9934705470052746e-05,546
Selenomonas sp. oral taxon 478,1.9934705470052746e-05,712538
Mahella australiensis,1.978253214585387e-05,252966
Bacillus sp. WR11,1.947818549745612e-05,2448811
Enterococcus casseliflavus,1.8869492200660615e-05,37734
Enterococcus saigonensis,1.841297222806399e-05,1805431
Staphylococcus saprophyticus,1.841297222806399e-05,29385
Bacillus amyloliquefaciens,1.841297222806399e-05,1390
Cutibacterium modestum,1.826079890386511e-05,2559073
Staphylococcus capitis,1.7804278931268485e-05,29388
Butyrivibrio fibrisolvens,1.7652105607069608e-05,831
Streptococcus suis,1.7652105607069608e-05,1307
Eubacterium cellulosolvens,1.749993228287073e-05,29322
Mammaliicoccus sciuri,1.6891238986075227e-05,1296
Lachnospira eligens,1.673906566187635e-05,39485
Bacillus glycinifermentans,1.6586892337677477e-05,1664069
Bacillus intestinalis,1.6282545689279724e-05,1963032
Bacillus sp. LJBS06,1.6282545689279724e-05,2809036
Phascolarctobacterium sp. Marseille-Q4147,1.6282545689279724e-05,2823317
Bifidobacterium imperatoris,1.6130372365080847e-05,2020965
Nocardioides humi,1.5978199040881974e-05,449461
Clostridium botulinum,1.5826025716683097e-05,1491
Longibaculum sp. KGMB06250,1.5521679068285343e-05,2584943
Bacteroides helcogenes,1.4912985771489841e-05,290053
Streptococcus pyogenes,1.4456465798893213e-05,1314
Christensenella minuta,1.4456465798893213e-05,626937
Bacteroides sp. A1C1,1.3847772502097709e-05,2528203
Staphylococcus cohnii,1.3391252529501082e-05,29382
Parabacteroides goldsteinii,1.3239079205302205e-05,328812
Selenomonas sputigena,1.308690588110333e-05,69823
Klebsiella pneumoniae,1.308690588110333e-05,573
Bacteroides thetaiotaomicron,1.2934732556904453e-05,818
Bacillus paralicheniformis,1.2934732556904453e-05,1648923
Weizmannia coagulans,1.2782559232705578e-05,1398
Ruminococcus bicirculans,1.2478212584307826e-05,1160721
Enterobacter cloacae,1.2478212584307826e-05,550
Bacteroides sp. CACC 737,1.232603926010895e-05,2755405
Ruminococcus champanellensis,1.2173865935910074e-05,1161942
Anaerocolumna cellulosilytica,1.2021692611711198e-05,433286
Caproicibacterium amylolyticum,1.1869519287512323e-05,2766537
Phascolarctobacterium faecium,1.1717345963313446e-05,33025
Bifidobacterium pullorum,1.156517263911457e-05,78448
Anaerocolumna sedimenticola,1.1412999314915694e-05,2696063
Lactobacillus iners,1.1260825990716819e-05,147802
Gordonibacter pamelaeae,1.1260825990716819e-05,471189
Bacteroides zoogleoformans,1.1108652666517942e-05,28119
Oscillibacter valericigenes,1.0956479342319067e-05,351091
Anaerocolumna sp. CTTW,1.080430601812019e-05,2736602
Cohnella sp. MFER-1,1.080430601812019e-05,2728023
Bacillus sp. NSP9.1,1.0347786045523563e-05,1071078
Monoglobus pectinilyticus,1.0195612721324687e-05,1981510
Atopobium sp. oral taxon 416,1.0043439397125811e-05,712157
Parabacteroides merdae,9.891266072926935e-06,46503
Streptococcus ratti,9.891266072926935e-06,1341
Staphylococcus lugdunensis,9.891266072926935e-06,28035
Staphylococcus equorum,9.73909274872806e-06,246432
Bacteroides heparinolyticus,9.73909274872806e-06,28113
Priestia megaterium,9.73909274872806e-06,1404
Desulfitobacterium hafniense,9.73909274872806e-06,49338
Bifidobacterium angulatum,9.586919424529183e-06,1683
Desulfosarcina ovata,9.586919424529183e-06,83564
Citrobacter sp. RHB25-C09,9.586919424529183e-06,2742624
Clostridium drakei,9.434746100330308e-06,332101
Pseudomonas stutzeri,9.130399451932556e-06,316
Paenibacillus xylanilyticus,9.130399451932556e-06,248903
Enterobacter hormaechei,9.130399451932556e-06,158836
Levilactobacillus brevis,9.130399451932556e-06,1580
Lachnoclostridium phytofermentans,8.826052803534804e-06,66219
Veillonella rodentium,8.826052803534804e-06,248315
Bacteroides intestinalis,8.826052803534804e-06,329854
Butyrivibrio proteoclasticus,8.826052803534804e-06,43305
Bifidobacterium scardovii,8.826052803534804e-06,158787
Bacillus gobiensis,8.673879479335927e-06,1441095
Shigella sonnei,8.673879479335927e-06,624
Lelliottia amnigena,8.673879479335927e-06,61646
Veillonella parvula,8.673879479335927e-06,29466
Filifactor alocis,8.673879479335927e-06,143361
Staphylococcus delphini,8.521706155137052e-06,53344
Enterobacter roggenkampii,8.521706155137052e-06,1812935
Pectinatus frisingensis,8.2173595067393e-06,865
Bacillus sonorensis,8.065186182540423e-06,119858
Klebsiella variicola,7.913012858341548e-06,244366
Phocaeicola vulgatus,7.913012858341548e-06,821
Klebsiella huaxiensis,7.913012858341548e-06,2153354
Bacillus sp. PAMC26543,7.913012858341548e-06,2762329
Streptococcus lutetiensis,7.913012858341548e-06,150055
Paenibacillus sp. FSL R5-0912,7.760839534142672e-06,1536771
Bacteroides zhangwenhongi,7.760839534142672e-06,2650157
Bacillus cereus,7.760839534142672e-06,1396
Caproiciproducens sp. NJN-50,7.760839534142672e-06,2507162
Clostridium butyricum,7.6086662099437965e-06,1492
