Species,RA,TAX_ID
Streptococcus mutans,0.12371187683514452,1309
Escherichia coli,0.12150260615550844,562
Staphylococcus epidermidis,0.09670078036523319,1282
Clostridium clostridioforme,0.08033034140848239,1531
Bacillus subtilis,0.06474031028783184,1423
Cutibacterium acnes,0.05189018844544812,1747
Akkermansia muciniphila,0.027420084397912256,239935
Shigella flexneri,0.02277981426138581,623
Parabacteroides distasonis,0.022408394353286485,823
Bifidobacterium longum,0.0218624187073557,216816
Clostridium clostridioforme CAG:132,0.021543206727944367,1263065
Bacteroides uniformis,0.02102697565859547,820
Ruminococcus gnavus,0.020851141833489007,33038
Clostridium clostridioforme CAG:511,0.020114692453665366,1263066
Shigella dysenteriae,0.019886495780201213,622
Anaerostipes sp. CAG:276,0.018529012174478433,1262699
Anaerostipes caccae,0.016480431922235902,105841
Collinsella aerofaciens,0.015817608115435915,74426
Megasphaera massiliensis,0.010987445193777977,1232428
Akkermansia sp. 54_46,0.01094472609485894,1896967
Flavonifractor plautii,0.01069689335326065,292800
Akkermansia muciniphila CAG:154,0.010593484473737688,1263034
Staphylococcus sp. HMSC062B11,0.010560718963596704,1739493
Akkermansia sp. UNK.MGS-1,0.010244101888652804,1638783
Megamonas funiformis,0.009630348887229441,437897
Akkermansia sp. Phil8,0.009450525880628275,1929996
Lactobacillus delbrueckii,0.008043274331015232,1584
Staphylococcus sp. DORA_6_22,0.006036290010086432,1403935
Pseudomonas putida,0.004617070915989271,303
Collinsella sp. CAG:166,0.004253280801622536,1262850
Clostridium bolteae,0.003847197617428432,208479
Bacillus sp. BSC154,0.0036683428587628744,1549811
Bacteroides coprocola,0.003189757269150424,310298
Clostridium bolteae CAG:59,0.0024851051515321575,1263064
Bifidobacterium breve,0.0023692639685159852,1685
Bacteroides fragilis,0.0020754975448524396,817
Bacillus amyloliquefaciens,0.0019822746336120764,1390
Blautia producta,0.0016904447058197472,33035
Tyzzerella nexilis,0.001427817135765363,29361
Bacteroides plebeius,0.0013692962305371999,310297
Bacteroides stercoris,0.001305779165961298,46506
