Species,RA,TAX_ID
Streptococcus,0.12638688851431795,1301
Escherichia,0.12226037950845849,561
Staphylococcus,0.11819148737519244,1279
Lachnoclostridium,0.08707046573942927,1506553
Bacillus,0.07421228132352688,1386
Akkermansia,0.07024124279632216,239934
Cutibacterium,0.05261896068213205,1912216
Clostridium,0.045017640841212424,1485
Shigella,0.042958455648756284,620
Bacteroides,0.036126159425468124,816
Anaerostipes,0.03533176917151995,207244
Bifidobacterium,0.027289214376257802,1678
Blautia,0.025637150385856202,572511
Parabacteroides,0.02486462792183623,375288
Collinsella,0.020494911061036198,102106
Megasphaera,0.012313467276525734,906
Flavonifractor,0.010713695827256781,946234
Megamonas,0.009874314972465029,158846
Lactobacillus,0.009621637413712077,1578
Pseudomonas,0.008093135944139549,286
Prevotella,0.002874036091589302,838
Ruminococcus,0.002522630215177912,1263
Eubacterium,0.0019950269983537547,1730
Tyzzerella,0.0016442296169664537,1506577
Roseburia,0.0016349500678490968,841
Coprococcus,0.0013515815413186567,33042
Fusicatenibacter,0.0010301060139046437,1407607
Dorea,0.0010013926549554447,189330
Alistipes,0.0009281070354917274,239759
Erysipelatoclostridium,0.0008875660545117985,1505663
Prevotellamassilia,0.0007627485126955451,1926672
Holdemania,0.0007311067714429178,61170
Emergencia,0.0006998453395803461,1926556
Clostridioides,0.0006825792932718211,1870884
Citrobacter,0.0006314657112483461,544
Ruthenibacterium,0.0005570771945534675,1905344
Klebsiella,0.0005518669559097056,570
Anaerotruncus,0.0005350572808692473,244127
Kluyvera,0.0005311020632126689,579
Propionibacterium,0.0005074087882122039,1743
Hungatella,0.00048128153311538307,1649459
Treponema,0.000478771491141016,157
Coprobacillus,0.0004713174270959259,100883
Corynebacterium,0.00043488378752859784,1716
Enterobacter,0.0004008080661796146,547
Obesumbacterium,0.00038901847508789045,82982
Barnesiella,0.00038852407288081814,397864
Salmonella,0.00037217076910842664,590
Faecalitalea,0.00035950646641957456,1573534
Odoribacter,0.00035558927970200175,283168
Solobacterium,0.00034505470959746116,123375
Ruminiclostridium,0.00033105932404341447,1508657
Oscillibacter,0.00032531665225357464,459786
Lactonifactor,0.0003224643318281575,420345
Cronobacter,0.0002933706634889028,413496
Anaerosporobacter,0.00028888301268624656,653683
Phascolarctobacterium,0.00027013375975650465,33024
Fournierella,0.00026233741726036446,1940255
Angelakisella,0.0002609302725171587,1935176
Streptomyces,0.0002495970526935013,1883
Pseudoflavonifractor,0.0002412682770512833,1017280
Subdoligranulum,0.0002342325533352544,292632
Bariatricus,0.0002327493467140375,1924081
Stomatobaculum,0.00022210068379248022,1213720
Lamprocystis,0.00021803137331888512,53452
Faecalibacterium,0.00021571148603954587,216851
Intestinimonas,0.0002059375347151165,1392389
Butyricicoccus,0.00020589950377611094,580596
Acinetobacter,0.00020209640987555477,469
Gabonia,0.00019753269719488737,1923867
Lelliottia,0.0001860093226762022,1330545
Porphyromonas,0.00018547688953012432,836
Lachnoanaerobaculum,0.00018258653816570163,1164882
Culturomica,0.0001684390288556327,1926651
Enterococcus,0.00016581489406424893,1350
Intestinibacter,0.00016303863551684293,1505657
Mediterranea,0.00016014828415242025,1926659
Sellimonas,0.00015033630188898532,1769710
Riemerella,0.00014463166103815108,34084
Pantoea,0.00014269208314886744,53335
Rikenella,0.0001397637008454392,28138
Coprobacter,0.00013892702018731683,1348911
Holdemanella,0.00013470558595769948,1573535
Bittarella,0.00013352662684852707,1929297
Veillonella,0.00013017990421603764,29465
Rhodococcus,0.00012881079041183742,1827
Leclercia,0.00012709939815658714,83654
Hymenobacter,0.00012314418050000874,89966
Eisenbergiella,0.00012303008768299204,1432051
Trabulsiella,0.00012055807664763054,158851
Achromatium,0.00012025382913558604,44937
Oribacterium,0.0001199876125625471,265975
Butyrivibrio,0.00011728741589315222,830
Kosakonia,0.00011713529213712998,1330547
Hespellia,0.00011660285899105212,241189
Criibacterium,0.00011508162143082965,1937664
Acetivibrio,0.00011420690983370173,35829
Neglecta,0.00011234339382242921,1924105
Actinomyces,0.00011093624907922343,1654
Massilioclostridium,0.00011089821814021787,1935927
