TAX_ID,genus,RA,Source,SampleID
239934,AKKERMANSIA,0.0018,Expected,expected
239759,ALISTIPES,0.013,Expected,expected
207244,ANAEROSTIPES,0.0175,Expected,expected
816,BACTEROIDES,0.0877,Expected,expected
1678,BIFIDOBACTERIUM,0.3702,Expected,expected
572511,BLAUTIA,0.0011,Expected,expected
1485,CLOSTRIDIUM,0.1059,Expected,expected
102106,COLLINSELLA,0.0199,Expected,expected
561,ESCHERICHIA,0.0933,Expected,expected
1730,EUBACTERIUM,0.0148,Expected,expected
216851,FAECALIBACTERIUM,0.0016,Expected,expected
1578,LACTOBACILLUS,0.0026,Expected,expected
375288,PARABACTEROIDES,0.101,Expected,expected
838,PREVOTELLA,0.1537,Expected,expected
841,ROSEBURIA,0.0146,Expected,expected
1263,RUMINOCOCCUS,0.0012,Expected,expected
239934,AKKERMANSIA,0.0015837,biobakery4,SRR11487931
239759,ALISTIPES,0.0105852,biobakery4,SRR11487931
2569097,ANAEROBUTYRICUM,0.0064684,biobakery4,SRR11487931
207244,ANAEROSTIPES,0.0115497999999999,biobakery4,SRR11487931
816,BACTEROIDES,0.0720142,biobakery4,SRR11487931
1678,BIFIDOBACTERIUM,0.5082115,biobakery4,SRR11487931
572511,BLAUTIA,0.0005024,biobakery4,SRR11487931
1485,CLOSTRIDIUM,0.019614,biobakery4,SRR11487931
102106,COLLINSELLA,0.0094181,biobakery4,SRR11487931
561,ESCHERICHIA,0.1262839,biobakery4,SRR11487931
216851,FAECALIBACTERIUM,0.000795,biobakery4,SRR11487931
1578,LACTOBACILLUS,0.0005855,biobakery4,SRR11487931
375288,PARABACTEROIDES,0.1022762,biobakery4,SRR11487931
838,PREVOTELLA,0.1167591,biobakery4,SRR11487931
841,ROSEBURIA,0.0121732,biobakery4,SRR11487931
1263,RUMINOCOCCUS,0.0011798,biobakery4,SRR11487931
239934,AKKERMANSIA,0.0014256,biobakery4,SRR11487932
239759,ALISTIPES,0.0106962,biobakery4,SRR11487932
2569097,ANAEROBUTYRICUM,0.0075279,biobakery4,SRR11487932
207244,ANAEROSTIPES,0.0115372,biobakery4,SRR11487932
816,BACTEROIDES,0.071341,biobakery4,SRR11487932
1678,BIFIDOBACTERIUM,0.5049035,biobakery4,SRR11487932
572511,BLAUTIA,0.000525,biobakery4,SRR11487932
