TAX_ID,genus,RA,Source,SampleID
239934,AKKERMANSIA,0.0637,Expected,expected
239759,ALISTIPES,0.0454,Expected,expected
207244,ANAEROSTIPES,0.0611,Expected,expected
816,BACTEROIDES,0.0635,Expected,expected
1678,BIFIDOBACTERIUM,0.1291999999999999,Expected,expected
572511,BLAUTIA,0.0377,Expected,expected
1485,CLOSTRIDIUM,0.037,Expected,expected
102106,COLLINSELLA,0.0695,Expected,expected
561,ESCHERICHIA,0.0326,Expected,expected
1730,EUBACTERIUM,0.0516,Expected,expected
216851,FAECALIBACTERIUM,0.0549,Expected,expected
1578,LACTOBACILLUS,0.0897,Expected,expected
375288,PARABACTEROIDES,0.0352,Expected,expected
838,PREVOTELLA,0.1017,Expected,expected
841,ROSEBURIA,0.086,Expected,expected
1263,RUMINOCOCCUS,0.0413,Expected,expected
239934,AKKERMANSIA,0.1408252,biobakery4,SRR11487941
239759,ALISTIPES,0.0989248,biobakery4,SRR11487941
2569097,ANAEROBUTYRICUM,0.0783822,biobakery4,SRR11487941
207244,ANAEROSTIPES,0.090653,biobakery4,SRR11487941
816,BACTEROIDES,0.1580881999999999,biobakery4,SRR11487941
1678,BIFIDOBACTERIUM,0.4270468,biobakery4,SRR11487941
572511,BLAUTIA,0.0743436,biobakery4,SRR11487941
1485,CLOSTRIDIUM,0.0174306,biobakery4,SRR11487941
102106,COLLINSELLA,0.084795,biobakery4,SRR11487941
561,ESCHERICHIA,0.0799092,biobakery4,SRR11487941
216851,FAECALIBACTERIUM,0.0840224,biobakery4,SRR11487941
1578,LACTOBACILLUS,0.0736516,biobakery4,SRR11487941
375288,PARABACTEROIDES,0.0822676,biobakery4,SRR11487941
838,PREVOTELLA,0.262028,biobakery4,SRR11487941
841,ROSEBURIA,0.161937,biobakery4,SRR11487941
1263,RUMINOCOCCUS,0.0856952,biobakery4,SRR11487941
239934,AKKERMANSIA,0.1432978,biobakery4,SRR11487937
239759,ALISTIPES,0.0977846,biobakery4,SRR11487937
2569097,ANAEROBUTYRICUM,0.0745752,biobakery4,SRR11487937
207244,ANAEROSTIPES,0.0875032,biobakery4,SRR11487937
816,BACTEROIDES,0.1585379999999999,biobakery4,SRR11487937
1678,BIFIDOBACTERIUM,0.421025,biobakery4,SRR11487937
572511,BLAUTIA,0.0751382,biobakery4,SRR11487937
1485,CLOSTRIDIUM,0.0195048,biobakery4,SRR11487937
102106,COLLINSELLA,0.0819449999999999,biobakery4,SRR11487937
561,ESCHERICHIA,0.0841901999999999,biobakery4,SRR11487937
216851,FAECALIBACTERIUM,0.081829,biobakery4,SRR11487937
1578,LACTOBACILLUS,0.0799086,biobakery4,SRR11487937
375288,PARABACTEROIDES,0.0843126,biobakery4,SRR11487937
838,PREVOTELLA,0.2584766,biobakery4,SRR11487937
841,ROSEBURIA,0.1639644,biobakery4,SRR11487937
1263,RUMINOCOCCUS,0.0880066,biobakery4,SRR11487937
239934,AKKERMANSIA,0.1385852,biobakery4,SRR11487939
239759,ALISTIPES,0.0973758,biobakery4,SRR11487939
2569097,ANAEROBUTYRICUM,0.0765264,biobakery4,SRR11487939
207244,ANAEROSTIPES,0.088778,biobakery4,SRR11487939
816,BACTEROIDES,0.1620286,biobakery4,SRR11487939
1678,BIFIDOBACTERIUM,0.4312624,biobakery4,SRR11487939
572511,BLAUTIA,0.0725942,biobakery4,SRR11487939
1485,CLOSTRIDIUM,0.0168532,biobakery4,SRR11487939
102106,COLLINSELLA,0.0860724,biobakery4,SRR11487939
561,ESCHERICHIA,0.0876507999999999,biobakery4,SRR11487939
216851,FAECALIBACTERIUM,0.079935,biobakery4,SRR11487939
1578,LACTOBACILLUS,0.0716234,biobakery4,SRR11487939
375288,PARABACTEROIDES,0.0771354,biobakery4,SRR11487939
838,PREVOTELLA,0.2592546,biobakery4,SRR11487939
841,ROSEBURIA,0.165365,biobakery4,SRR11487939
1263,RUMINOCOCCUS,0.0889596,biobakery4,SRR11487939
239934,AKKERMANSIA,0.1471276,biobakery4,SRR11487938
239759,ALISTIPES,0.0990742,biobakery4,SRR11487938
2569097,ANAEROBUTYRICUM,0.0706144,biobakery4,SRR11487938
207244,ANAEROSTIPES,0.0861194,biobakery4,SRR11487938
816,BACTEROIDES,0.1605486,biobakery4,SRR11487938
1678,BIFIDOBACTERIUM,0.4330118,biobakery4,SRR11487938
572511,BLAUTIA,0.072205,biobakery4,SRR11487938
