TAX_ID,genus,RA,Source,SampleID
239934,AKKERMANSIA,0.06,Expected,expected
207244,ANAEROSTIPES,0.053,Expected,expected
1386,BACILLUS,0.052,Expected,expected
816,BACTEROIDES,0.047,Expected,expected
1678,BIFIDOBACTERIUM,0.104,Expected,expected
572511,BLAUTIA,0.045,Expected,expected
102106,COLLINSELLA,0.062,Expected,expected
1912216,CUTIBACTERIUM,0.05,Expected,expected
2719313,ENTEROCLOSTER,0.053,Expected,expected
561,ESCHERICHIA,0.056,Expected,expected
946234,FLAVONIFRACTOR,0.037,Expected,expected
1578,LACTOBACILLUS,0.036,Expected,expected
158846,MEGAMONAS,0.037,Expected,expected
906,MEGASPHAERA,0.048,Expected,expected
375288,PARABACTEROIDES,0.048,Expected,expected
286,PSEUDOMONAS,0.039,Expected,expected
1263,RUMINOCOCCUS,0.056,Expected,expected
1279,STAPHYLOCOCCUS,0.048,Expected,expected
1301,STREPTOCOCCUS,0.069,Expected,expected
239934,AKKERMANSIA,0.053305,biobakery4,SRR17380244
207244,ANAEROSTIPES,0.0527086,biobakery4,SRR17380244
1386,BACILLUS,0.0501555,biobakery4,SRR17380244
816,BACTEROIDES,0.05305,biobakery4,SRR17380244
1678,BIFIDOBACTERIUM,0.0989462,biobakery4,SRR17380244
572511,BLAUTIA,0.0469466,biobakery4,SRR17380244
102106,COLLINSELLA,0.0312085,biobakery4,SRR17380244
1912216,CUTIBACTERIUM,0.0522146,biobakery4,SRR17380244
2719313,ENTEROCLOSTER,0.0557024,biobakery4,SRR17380244
561,ESCHERICHIA,0.0618146,biobakery4,SRR17380244
946234,FLAVONIFRACTOR,0.0362537,biobakery4,SRR17380244
1578,LACTOBACILLUS,0.0363162999999999,biobakery4,SRR17380244
2316020,MEDITERRANEIBACTER,0.0639375,biobakery4,SRR17380244
158846,MEGAMONAS,0.0309676,biobakery4,SRR17380244
906,MEGASPHAERA,0.0584480999999999,biobakery4,SRR17380244
375288,PARABACTEROIDES,0.0563561,biobakery4,SRR17380244
286,PSEUDOMONAS,0.0431756,biobakery4,SRR17380244
1279,STAPHYLOCOCCUS,0.0483336,biobakery4,SRR17380244
1301,STREPTOCOCCUS,0.0701596,biobakery4,SRR17380244
239934,AKKERMANSIA,0.0531393,biobakery4,SRR17380241
207244,ANAEROSTIPES,0.0528668,biobakery4,SRR17380241
1386,BACILLUS,0.0516014999999999,biobakery4,SRR17380241
816,BACTEROIDES,0.0526171,biobakery4,SRR17380241
1678,BIFIDOBACTERIUM,0.0986327999999999,biobakery4,SRR17380241
572511,BLAUTIA,0.047301,biobakery4,SRR17380241
102106,COLLINSELLA,0.0308019,biobakery4,SRR17380241
1912216,CUTIBACTERIUM,0.0513099,biobakery4,SRR17380241
2719313,ENTEROCLOSTER,0.0582552999999999,biobakery4,SRR17380241
561,ESCHERICHIA,0.0604665,biobakery4,SRR17380241
946234,FLAVONIFRACTOR,0.0358084,biobakery4,SRR17380241
1578,LACTOBACILLUS,0.0357694,biobakery4,SRR17380241
2316020,MEDITERRANEIBACTER,0.0635681,biobakery4,SRR17380241
158846,MEGAMONAS,0.0305279,biobakery4,SRR17380241
906,MEGASPHAERA,0.0599689,biobakery4,SRR17380241
375288,PARABACTEROIDES,0.0558496,biobakery4,SRR17380241
286,PSEUDOMONAS,0.0440568,biobakery4,SRR17380241
1279,STAPHYLOCOCCUS,0.0490719,biobakery4,SRR17380241
1301,STREPTOCOCCUS,0.0683869,biobakery4,SRR17380241
239934,AKKERMANSIA,0.0542212,biobakery4,SRR17380242
207244,ANAEROSTIPES,0.0528753,biobakery4,SRR17380242
1386,BACILLUS,0.0535944,biobakery4,SRR17380242
816,BACTEROIDES,0.0528936,biobakery4,SRR17380242
1678,BIFIDOBACTERIUM,0.0992732,biobakery4,SRR17380242
572511,BLAUTIA,0.0475919,biobakery4,SRR17380242
102106,COLLINSELLA,0.0312347999999999,biobakery4,SRR17380242
1912216,CUTIBACTERIUM,0.0522628,biobakery4,SRR17380242
2719313,ENTEROCLOSTER,0.0582287,biobakery4,SRR17380242
561,ESCHERICHIA,0.0621139,biobakery4,SRR17380242
946234,FLAVONIFRACTOR,0.0352366,biobakery4,SRR17380242
1578,LACTOBACILLUS,0.0375611,biobakery4,SRR17380242
2316020,MEDITERRANEIBACTER,0.0636534,biobakery4,SRR17380242
158846,MEGAMONAS,0.0290879,biobakery4,SRR17380242
906,MEGASPHAERA,0.0591772999999999,biobakery4,SRR17380242
375288,PARABACTEROIDES,0.0565699,biobakery4,SRR17380242
286,PSEUDOMONAS,0.042548,biobakery4,SRR17380242
1279,STAPHYLOCOCCUS,0.0457616,biobakery4,SRR17380242
1301,STREPTOCOCCUS,0.0661142,biobakery4,SRR17380242
239934,AKKERMANSIA,0.0531204,biobakery4,SRR17380243
207244,ANAEROSTIPES,0.0528379,biobakery4,SRR17380243
1386,BACILLUS,0.0511801,biobakery4,SRR17380243
816,BACTEROIDES,0.0525153,biobakery4,SRR17380243
1678,BIFIDOBACTERIUM,0.0985771,biobakery4,SRR17380243
572511,BLAUTIA,0.0473963,biobakery4,SRR17380243
102106,COLLINSELLA,0.0317977,biobakery4,SRR17380243
1912216,CUTIBACTERIUM,0.0535644,biobakery4,SRR17380243
2719313,ENTEROCLOSTER,0.0560429,biobakery4,SRR17380243
561,ESCHERICHIA,0.0615505,biobakery4,SRR17380243
946234,FLAVONIFRACTOR,0.0355185,biobakery4,SRR17380243
1578,LACTOBACILLUS,0.03605,biobakery4,SRR17380243
2316020,MEDITERRANEIBACTER,0.0640178,biobakery4,SRR17380243
158846,MEGAMONAS,0.0298964,biobakery4,SRR17380243
906,MEGASPHAERA,0.0597891,biobakery4,SRR17380243
375288,PARABACTEROIDES,0.0559223,biobakery4,SRR17380243
286,PSEUDOMONAS,0.0435648,biobakery4,SRR17380243
1279,STAPHYLOCOCCUS,0.0481278,biobakery4,SRR17380243
1301,STREPTOCOCCUS,0.0685309,biobakery4,SRR17380243
239934,AKKERMANSIA,0.0539397,biobakery4,SRR17380246
207244,ANAEROSTIPES,0.0538117999999999,biobakery4,SRR17380246
1386,BACILLUS,0.0523429,biobakery4,SRR17380246
816,BACTEROIDES,0.0518909,biobakery4,SRR17380246
1678,BIFIDOBACTERIUM,0.0973565,biobakery4,SRR17380246
572511,BLAUTIA,0.0465238999999999,biobakery4,SRR17380246
102106,COLLINSELLA,0.0312772,biobakery4,SRR17380246
1912216,CUTIBACTERIUM,0.0518796,biobakery4,SRR17380246
2719313,ENTEROCLOSTER,0.0568505,biobakery4,SRR17380246
561,ESCHERICHIA,0.061584,biobakery4,SRR17380246
946234,FLAVONIFRACTOR,0.034354,biobakery4,SRR17380246
1578,LACTOBACILLUS,0.0362679999999999,biobakery4,SRR17380246
2316020,MEDITERRANEIBACTER,0.0633872,biobakery4,SRR17380246
158846,MEGAMONAS,0.0315646,biobakery4,SRR17380246
906,MEGASPHAERA,0.0595732999999999,biobakery4,SRR17380246
375288,PARABACTEROIDES,0.0570241,biobakery4,SRR17380246
286,PSEUDOMONAS,0.043143,biobakery4,SRR17380246
1279,STAPHYLOCOCCUS,0.0480983,biobakery4,SRR17380246
1301,STREPTOCOCCUS,0.0691306,biobakery4,SRR17380246
239934,AKKERMANSIA,0.0534238,biobakery4,SRR17380245
207244,ANAEROSTIPES,0.0529894999999999,biobakery4,SRR17380245
1386,BACILLUS,0.0541559,biobakery4,SRR17380245
816,BACTEROIDES,0.0523661,biobakery4,SRR17380245
1678,BIFIDOBACTERIUM,0.097091,biobakery4,SRR17380245
572511,BLAUTIA,0.0472367999999999,biobakery4,SRR17380245
102106,COLLINSELLA,0.0305171,biobakery4,SRR17380245
1912216,CUTIBACTERIUM,0.0517505,biobakery4,SRR17380245
2719313,ENTEROCLOSTER,0.0551585,biobakery4,SRR17380245
561,ESCHERICHIA,0.0605992,biobakery4,SRR17380245
946234,FLAVONIFRACTOR,0.0349078,biobakery4,SRR17380245
1578,LACTOBACILLUS,0.0362125,biobakery4,SRR17380245
2316020,MEDITERRANEIBACTER,0.0644671,biobakery4,SRR17380245
158846,MEGAMONAS,0.0320271,biobakery4,SRR17380245
906,MEGASPHAERA,0.0586298,biobakery4,SRR17380245
375288,PARABACTEROIDES,0.0552874,biobakery4,SRR17380245
286,PSEUDOMONAS,0.0442267,biobakery4,SRR17380245
1279,STAPHYLOCOCCUS,0.0496035,biobakery4,SRR17380245
1301,STREPTOCOCCUS,0.0693495,biobakery4,SRR17380245
572511,BLAUTIA,0.0842911685823371,jams202212,SRR17380244
2719313,ENTEROCLOSTER,0.0815691631383262,jams202212,SRR17380244
375288,PARABACTEROIDES,0.0755431510863021,jams202212,SRR17380244
561,ESCHERICHIA,0.0754951509903019,jams202212,SRR17380244
286,PSEUDOMONAS,0.0728931457862915,jams202212,SRR17380244
816,BACTEROIDES,0.0708151416302832,jams202212,SRR17380244
1678,BIFIDOBACTERIUM,0.0666981333962667,jams202212,SRR17380244
1263,RUMINOCOCCUS,0.064509129018258,jams202212,SRR17380244
1386,BACILLUS,0.056508113016226,jams202212,SRR17380244
207244,ANAEROSTIPES,0.0481580963161926,jams202212,SRR17380244
906,MEGASPHAERA,0.0418270836541673,jams202212,SRR17380244
239934,AKKERMANSIA,0.0408360816721633,jams202212,SRR17380244
946234,FLAVONIFRACTOR,0.0378930757861515,jams202212,SRR17380244
1301,STREPTOCOCCUS,0.0361290722581445,jams202212,SRR17380244
1912216,CUTIBACTERIUM,0.0337750675501351,jams202212,SRR17380244
1279,STAPHYLOCOCCUS,0.0317050634101268,jams202212,SRR17380244
102106,COLLINSELLA,0.0300650601301202,jams202212,SRR17380244
158846,MEGAMONAS,0.0254810509621019,jams202212,SRR17380244
1578,LACTOBACILLUS,0.0193550387100774,jams202212,SRR17380244
1870884,CLOSTRIDIOIDES,0.0006230012460024,jams202212,SRR17380244
12908,UNCLASSIFIED,0.0002390004780009,jams202212,SRR17380244
909656,PHOCAEICOLA,0.0001000002000004,jams202212,SRR17380244
2811390,SPOROFACIENS,7.7000154000308e-05,jams202212,SRR17380244
2981639,MURIVENTRICOLA,5.9000118000236e-05,jams202212,SRR17380244
1730,EUBACTERIUM,5.1000102000204e-05,jams202212,SRR17380244
44249,PAENIBACILLUS,0.0,jams202212,SRR17380244
2316020,MEDITERRANEIBACTER,0.0,jams202212,SRR17380244
497,PSYCHROBACTER,0.0,jams202212,SRR17380244
1350,ENTEROCOCCUS,0.0,jams202212,SRR17380244
572511,BLAUTIA,0.0839890839890839,jams202212,SRR17380241
2719313,ENTEROCLOSTER,0.07999207999208,jams202212,SRR17380241
375288,PARABACTEROIDES,0.0752880752880752,jams202212,SRR17380241
561,ESCHERICHIA,0.0749620749620749,jams202212,SRR17380241
286,PSEUDOMONAS,0.0729850729850729,jams202212,SRR17380241
816,BACTEROIDES,0.0708030708030708,jams202212,SRR17380241
1678,BIFIDOBACTERIUM,0.067042067042067,jams202212,SRR17380241
1263,RUMINOCOCCUS,0.0644310644310644,jams202212,SRR17380241
1386,BACILLUS,0.0564710564710564,jams202212,SRR17380241
207244,ANAEROSTIPES,0.0489070489070489,jams202212,SRR17380241
906,MEGASPHAERA,0.0421910421910421,jams202212,SRR17380241
239934,AKKERMANSIA,0.0408120408120408,jams202212,SRR17380241
946234,FLAVONIFRACTOR,0.0374990374990375,jams202212,SRR17380241
1301,STREPTOCOCCUS,0.036059036059036,jams202212,SRR17380241
1912216,CUTIBACTERIUM,0.0339090339090339,jams202212,SRR17380241
1279,STAPHYLOCOCCUS,0.0302390302390302,jams202212,SRR17380241
102106,COLLINSELLA,0.0299460299460299,jams202212,SRR17380241
158846,MEGAMONAS,0.0251190251190251,jams202212,SRR17380241
1578,LACTOBACILLUS,0.0194380194380194,jams202212,SRR17380241
12908,UNCLASSIFIED,0.0007330007330007,jams202212,SRR17380241
1870884,CLOSTRIDIOIDES,0.0006790006790006,jams202212,SRR17380241
