TAX_ID,species,RA,Source,SampleID
239935,AKKERMANSIA_MUCINIPHILA,0.0637,Expected,expected
214856,ALISTIPES_FINEGOLDII,0.0454,Expected,expected
649756,ANAEROSTIPES_HADRUS,0.0611,Expected,expected
818,BACTEROIDES_THETAIOTAOMICRON,0.0269,Expected,expected
820,BACTEROIDES_UNIFORMIS,0.0366,Expected,expected
216816,BIFIDOBACTERIUM_LONGUM,0.1292,Expected,expected
418240,BLAUTIA_WEXLERAE,0.0377,Expected,expected
1492,CLOSTRIDIUM_BUTYRICUM,0.037,Expected,expected
74426,COLLINSELLA_AEROFACIENS,0.0695,Expected,expected
562,ESCHERICHIA_COLI,0.0326,Expected,expected
39488,EUBACTERIUM_HALLII,0.0516,Expected,expected
853,FAECALIBACTERIUM_PRAUSNITZII,0.0549,Expected,expected
1596,LACTOBACILLUS_GASSERI,0.0897,Expected,expected
823,PARABACTEROIDES_DISTASONIS,0.0352,Expected,expected
165179,PREVOTELLA_COPRI,0.0483,Expected,expected
28132,PREVOTELLA_MELANINOGENICA,0.0534,Expected,expected
301301,ROSEBURIA_HOMINIS,0.0472,Expected,expected
166486,ROSEBURIA_INTESTINALIS,0.0388,Expected,expected
438033,RUMINOCOCCUS_GAUVREAUII,0.0413,Expected,expected
239935,AKKERMANSIA_MUCINIPHILA,0.0728268,bio4,SRR11487938
214856,ALISTIPES_FINEGOLDII,0.0011104,bio4,SRR11487938
649756,ANAEROSTIPES_HADRUS,0.0494792,bio4,SRR11487938
818,BACTEROIDES_THETAIOTAOMICRON,0.0483222,bio4,SRR11487938
820,BACTEROIDES_UNIFORMIS,0.0459813,bio4,SRR11487938
216816,BIFIDOBACTERIUM_LONGUM,0.1646294,bio4,SRR11487938
418240,BLAUTIA_WEXLERAE,0.0331017,bio4,SRR11487938
1492,CLOSTRIDIUM_BUTYRICUM,0.0066701999999999,bio4,SRR11487938
74426,COLLINSELLA_AEROFACIENS,0.0800102,bio4,SRR11487938
562,ESCHERICHIA_COLI,0.0525441,bio4,SRR11487938
39488,EUBACTERIUM_HALLII,0.0453333,bio4,SRR11487938
853,FAECALIBACTERIUM_PRAUSNITZII,0.0400108,bio4,SRR11487938
1596,LACTOBACILLUS_GASSERI,0.0089392,bio4,SRR11487938
2107999,LACTOBACILLUS_PARAGASSERI,0.0349265,bio4,SRR11487938
823,PARABACTEROIDES_DISTASONIS,0.0512713,bio4,SRR11487938
165179,PREVOTELLA_COPRI,0.0534187,bio4,SRR11487938
28132,PREVOTELLA_MELANINOGENICA,0.1095923,bio4,SRR11487938
