Species,RA,TAX_ID
Escherichia coli,0.66,562
Shigella flexneri,0.12,623
Shigella dysenteriae,0.09714285714285714,622
Enterococcus faecalis,0.011428571428571429,1351
Enterobacter sp. 638,0.005714285714285714,399742
Kluyvera intermedia,0.005714285714285714,61648
Kluyvera ascorbata,0.005714285714285714,51288
Escherichia vulneris,0.005714285714285714,566
Klebsiella oxytoca,0.005714285714285714,571
Bacillus coahuilensis,0.005714285714285714,408580
Enterobacter lignolyticus,0.005714285714285714,1334193
Citrobacter amalonaticus,0.005714285714285714,35703
Siccibacter turicensis,0.005714285714285714,357233
Salmonella enterica,0.005714285714285714,28901
Olsenella sp. SIT9,0.005714285714285714,1622075
Azovibrio restrictus,0.005714285714285714,146938
Enterococcus faecium,0.005714285714285714,1352
Enterobacter aerogenes,0.005714285714285714,548
Klebsiella pneumoniae,0.002857142857142857,573
Palaeococcus ferrophilus,0.002857142857142857,83868
Pyrobaculum arsenaticum,0.002857142857142857,121277
Novosphingobium acidiphilum,0.002857142857142857,505248
Streptomyces acidiscabies,0.002857142857142857,42234
Neorhizobium galegae,0.002857142857142857,399
Skermanella aerolata,0.002857142857142857,393310
Anaeromassilibacillus senegalensis,0.002857142857142857,1673717
Listeria monocytogenes,0.002857142857142857,1639
Limnochorda pilosa,0.002857142857142857,1555112
Achromobacter xylosoxidans,0.002857142857142857,85698
